"group","slot_start_utc","phase","asset","outcome","slug","market_id","condition_id","token_id","checkpoint_status","formula_limit_price","accepted_hypothetically","accepted_limit_price","accepted_attempt","terminal_reason","target_utc","formula_request_started_utc","formula_response_received_utc","formula_request_offset_from_target_ms","formula_best_bid","formula_best_ask","tick_size","formula_book_age_ms","accepted_at_utc","accepted_request_started_utc","accepted_request_offset_from_target_ms","identity_note"
"EARLY_FIRST_ACCEPTING","2026-08-10T15:30:00.0000000Z","first_accepting","BTC","Up","btc-updown-5m-1786375800","3450996","0x92da1e1c57d1adabf6a84d3d8c03dc1a3a803e458f7d08480ffdc7c86dd0d9d4","50286136095332890197547215273495485235672794011008826848005239107725210539567","FORMULA_ONLY_S0_NOT_CURRENT","0.50","false",,,"maker_gtd_s0_book_not_current",,"2026-08-09T15:41:25.4656012Z","2026-08-09T15:41:25.5843895Z",,"0.50","0.51","0.01","2054.3895",,,,"Earliest computable formula snapshot across watcher restarts; S0/S1 did not pass."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:30:00.0000000Z","first_accepting","BTC","Down","btc-updown-5m-1786375800","3450996","0x92da1e1c57d1adabf6a84d3d8c03dc1a3a803e458f7d08480ffdc7c86dd0d9d4","98328074382991639738355964067316434403642377616574117869498405265838378310776","FORMULA_ONLY_S0_NOT_CURRENT","0.49","false",,,"maker_gtd_s0_book_not_current",,"2026-08-09T15:41:25.4656252Z","2026-08-09T15:41:25.5697279Z",,"0.49","0.50","0.01","2039.7279",,,,"Earliest computable formula snapshot across watcher restarts; S0/S1 did not pass."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:30:00.0000000Z","first_accepting","ETH","Up","eth-updown-5m-1786375800","3450995","0x6ff8a69c27da6b962fe8714a1f61448501bbb6c16a5b0f633f017d0018c2c305","107758288010374962290151846816473952217108215787318720635761984923801492713577","FORMULA_ONLY_S0_NOT_CURRENT","0.02","false",,,"maker_gtd_s0_book_not_current",,"2026-08-09T15:41:25.4648263Z","2026-08-09T15:41:25.5739961Z",,"0.01","0.99","0.01","21336.9961",,,,"Earliest computable formula snapshot across watcher restarts; S0/S1 did not pass."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:30:00.0000000Z","first_accepting","ETH","Down","eth-updown-5m-1786375800","3450995","0x6ff8a69c27da6b962fe8714a1f61448501bbb6c16a5b0f633f017d0018c2c305","104452609154027688983356723192922832235203312040777757742305502789376460690623","FORMULA_ONLY_S0_NOT_CURRENT","0.02","false",,,"maker_gtd_s0_book_not_current",,"2026-08-09T15:41:25.4651792Z","2026-08-09T15:41:25.5696422Z",,"0.01","0.99","0.01","21332.6422",,,,"Earliest computable formula snapshot across watcher restarts; S0/S1 did not pass."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:30:00.0000000Z","first_accepting","SOL","Up","sol-updown-5m-1786375800","3451008","0xf429f424c6b0b94ab9d7dfb99d097befeeca461fc8650522a6934a53f8e8d604","110510110796072682635913187480567403308842947222797207521332052838499674344018","FORMULA_ONLY_S0_NOT_CURRENT","0.50","false",,,"maker_gtd_s0_book_not_current",,"2026-08-09T15:41:25.4659917Z","2026-08-09T15:41:25.5743129Z",,"0.50","0.51","0.01","140414.3129",,,,"Earliest computable formula snapshot across watcher restarts; S0/S1 did not pass."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:30:00.0000000Z","first_accepting","SOL","Down","sol-updown-5m-1786375800","3451008","0xf429f424c6b0b94ab9d7dfb99d097befeeca461fc8650522a6934a53f8e8d604","52547477905965531703350638274693465392669896864199053840494137868397124428481","FORMULA_ONLY_S0_NOT_CURRENT","0.49","false",,,"maker_gtd_s0_book_not_current",,"2026-08-09T15:41:25.4660222Z","2026-08-09T15:41:25.5821687Z",,"0.49","0.50","0.01","140422.1687",,,,"Earliest computable formula snapshot across watcher restarts; S0/S1 did not pass."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:35:00.0000000Z","first_accepting","BTC","Up","btc-updown-5m-1786376100","3451059","0xd2dd9ba004d670e4104821d8775129c7cba2c08d79fca6e36379f321c13af9b9","34827010201398271770200432768428027226142422032682779928652390974823309919218","MISSED",,,,,"MISSED_FIRST_ACCEPTING_CHECKPOINT",,,,,,,,,,,,"Identifiers were discovered later; no late quote replaces the missed checkpoint."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:35:00.0000000Z","first_accepting","BTC","Down","btc-updown-5m-1786376100","3451059","0xd2dd9ba004d670e4104821d8775129c7cba2c08d79fca6e36379f321c13af9b9","57191808496266682008492555854083410787478468997744036897342297340636497277118","MISSED",,,,,"MISSED_FIRST_ACCEPTING_CHECKPOINT",,,,,,,,,,,,"Identifiers were discovered later; no late quote replaces the missed checkpoint."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:35:00.0000000Z","first_accepting","ETH","Up","eth-updown-5m-1786376100","3451060","0xc354ffaf80b2f2a3226c255a7a681d6f9e38284af44e859cd1ae639a516501c4","103427630602262311783292859341154807975146587916925426620252823031771380361245","MISSED",,,,,"MISSED_FIRST_ACCEPTING_CHECKPOINT",,,,,,,,,,,,"Identifiers were discovered later; no late quote replaces the missed checkpoint."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:35:00.0000000Z","first_accepting","ETH","Down","eth-updown-5m-1786376100","3451060","0xc354ffaf80b2f2a3226c255a7a681d6f9e38284af44e859cd1ae639a516501c4","17636819530154833258855998743044392223112148152959337724595038244923007760220","MISSED",,,,,"MISSED_FIRST_ACCEPTING_CHECKPOINT",,,,,,,,,,,,"Identifiers were discovered later; no late quote replaces the missed checkpoint."
