"Asset","StrategyName","Side","N","TriggerCondition","BetOutcome","Price","StakeUsd","Bets","Wins","Losses","WinRatePct","PnlUsd","RoiPct","FirstBetUtc","LastBetUtc","MaxConsecutiveWins","MaxConsecutiveLosses"
"BTC","BTC Down 1 Diff","Down","1","-Diff >= 1","Up","0.5","1","41","25","16","60.9756","9","21.9512","2026-04-07T18:40:00Z","2026-06-06T20:15:00Z","9","4"
"BTC","BTC Down 2 Diff","Down","2","-Diff >= 2","Up","0.5","1","27","16","11","59.2593","5","18.5185","2026-04-07T18:45:00Z","2026-04-07T21:35:00Z","3","3"
"BTC","BTC Down 3 Diff","Down","3","-Diff >= 3","Up","0.5","1","15","11","4","73.3333","7","46.6667","2026-04-07T18:50:00Z","2026-04-07T21:30:00Z","5","2"
"BTC","BTC Down 4 Diff","Down","4","-Diff >= 4","Up","0.5","1","5","4","1","80","3","60","2026-04-07T18:55:00Z","2026-04-07T20:55:00Z","3","1"
"BTC","BTC Down 5 Diff","Down","5","-Diff >= 5","Up","0.5","1","1","1","0","100","1","100","2026-04-07T19:40:00Z","2026-04-07T19:40:00Z","1","0"
"BTC","BTC Down 6 Diff","Down","6","-Diff >= 6","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 7 Diff","Down","7","-Diff >= 7","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 8 Diff","Down","8","-Diff >= 8","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 9 Diff","Down","9","-Diff >= 9","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 10 Diff","Down","10","-Diff >= 10","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 11 Diff","Down","11","-Diff >= 11","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 12 Diff","Down","12","-Diff >= 12","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 13 Diff","Down","13","-Diff >= 13","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 14 Diff","Down","14","-Diff >= 14","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 15 Diff","Down","15","-Diff >= 15","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 16 Diff","Down","16","-Diff >= 16","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 17 Diff","Down","17","-Diff >= 17","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 18 Diff","Down","18","-Diff >= 18","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 19 Diff","Down","19","-Diff >= 19","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 20 Diff","Down","20","-Diff >= 20","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 21 Diff","Down","21","-Diff >= 21","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 22 Diff","Down","22","-Diff >= 22","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 23 Diff","Down","23","-Diff >= 23","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 24 Diff","Down","24","-Diff >= 24","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 25 Diff","Down","25","-Diff >= 25","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 26 Diff","Down","26","-Diff >= 26","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 27 Diff","Down","27","-Diff >= 27","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 28 Diff","Down","28","-Diff >= 28","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 29 Diff","Down","29","-Diff >= 29","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 30 Diff","Down","30","-Diff >= 30","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 31 Diff","Down","31","-Diff >= 31","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 32 Diff","Down","32","-Diff >= 32","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 33 Diff","Down","33","-Diff >= 33","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 34 Diff","Down","34","-Diff >= 34","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
"BTC","BTC Down 35 Diff","Down","35","-Diff >= 35","Up","0.5","1","0","0","0","0","0","0",,,"0","0"
