"Asset","StrategyName","Side","N","TriggerCondition","BetOutcome","Price","StakeUsd","Bets","Wins","Losses","WinRatePct","PnlUsd","RoiPct","FirstBetUtc","LastBetUtc","MaxConsecutiveWins","MaxConsecutiveLosses"
"ETH","ETH Down 140 Diff","Down","140","-Diff >= 140","Up","0.5","1","4","4","0","100","4","100","2026-06-06T10:40:00Z","2026-06-06T20:20:00Z","4","0"
"BTC","BTC Down 5 Diff","Down","5","-Diff >= 5","Up","0.5","1","1","1","0","100","1","100","2026-04-07T19:40:00Z","2026-04-07T19:40:00Z","1","0"
"ETH","ETH Up 106 Diff","Up","106","Diff >= 106","Down","0.5","1","1","1","0","100","1","100","2026-04-27T20:40:00Z","2026-04-27T20:40:00Z","1","0"
"BTC","BTC Up 148 Diff","Up","148","Diff >= 148","Down","0.5","1","1","1","0","100","1","100","2026-05-01T08:25:00Z","2026-05-01T08:25:00Z","1","0"
"SOL","SOL Down 16 Diff","Down","16","-Diff >= 16","Up","0.5","1","1","1","0","100","1","100","2026-06-06T16:35:00Z","2026-06-06T16:35:00Z","1","0"
"ETH","ETH Up 105 Diff","Up","105","Diff >= 105","Down","0.5","1","6","5","1","83.3333","4","66.6667","2026-04-17T19:45:00Z","2026-04-27T20:45:00Z","3","1"
"BTC","BTC Up 147 Diff","Up","147","Diff >= 147","Down","0.5","1","6","5","1","83.3333","4","66.6667","2026-05-01T08:20:00Z","2026-06-01T04:05:00Z","5","1"
"BTC","BTC Down 4 Diff","Down","4","-Diff >= 4","Up","0.5","1","5","4","1","80","3","60","2026-04-07T18:55:00Z","2026-04-07T20:55:00Z","3","1"
"ETH","ETH Up 104 Diff","Up","104","Diff >= 104","Down","0.5","1","22","17","5","77.2727","12","54.5455","2026-04-17T14:50:00Z","2026-04-27T20:50:00Z","5","2"
"BTC","BTC Up 146 Diff","Up","146","Diff >= 146","Down","0.5","1","20","15","5","75","10","50","2026-05-01T07:55:00Z","2026-06-01T05:00:00Z","7","2"
"SOL","SOL Down 14 Diff","Down","14","-Diff >= 14","Up","0.5","1","12","9","3","75","6","50","2026-06-06T15:25:00Z","2026-06-06T20:05:00Z","5","2"
"SOL","SOL Down 15 Diff","Down","15","-Diff >= 15","Up","0.5","1","4","3","1","75","2","50","2026-06-06T16:30:00Z","2026-06-06T17:10:00Z","3","1"
"BTC","BTC Down 3 Diff","Down","3","-Diff >= 3","Up","0.5","1","15","11","4","73.3333","7","46.6667","2026-04-07T18:50:00Z","2026-04-07T21:30:00Z","5","2"
"SOL","SOL Down 13 Diff","Down","13","-Diff >= 13","Up","0.5","1","33","24","9","72.7273","15","45.4545","2026-06-06T10:40:00Z","2026-06-06T20:50:00Z","6","3"
"ETH","ETH Up 103 Diff","Up","103","Diff >= 103","Down","0.5","1","53","36","17","67.9245","19","35.8491","2026-04-17T14:45:00Z","2026-04-27T20:55:00Z","5","3"
"ETH","ETH Down 139 Diff","Down","139","-Diff >= 139","Up","0.5","1","12","8","4","66.6667","4","33.3333","2026-06-06T10:35:00Z","2026-06-06T20:25:00Z","3","1"
"BTC","BTC Up 145 Diff","Up","145","Diff >= 145","Down","0.5","1","42","27","15","64.2857","12","28.5714","2026-05-01T07:40:00Z","2026-06-01T05:15:00Z","6","3"
"ETH","ETH Down 136 Diff","Down","136","-Diff >= 136","Up","0.5","1","50","32","18","64","14","28","2026-06-06T07:30:00Z","2026-06-06T20:50:00Z","6","4"
"BTC","BTC Up 143 Diff","Up","143","Diff >= 143","Down","0.5","1","91","58","33","63.7363","25","27.4725","2026-04-30T03:30:00Z","2026-06-01T05:45:00Z","12","4"
"ETH","ETH Up 102 Diff","Up","102","Diff >= 102","Down","0.5","1","97","61","36","62.8866","25","25.7732","2026-04-17T14:40:00Z","2026-04-27T21:00:00Z","9","4"
"ETH","ETH Down 135 Diff","Down","135","-Diff >= 135","Up","0.5","1","84","52","32","61.9048","20","23.8095","2026-06-06T03:05:00Z","2026-06-06T20:55:00Z","5","5"
"BTC","BTC Down 1 Diff","Down","1","-Diff >= 1","Up","0.5","1","41","25","16","60.9756","9","21.9512","2026-04-07T18:40:00Z","2026-06-06T20:15:00Z","9","4"
"ETH","ETH Up 101 Diff","Up","101","Diff >= 101","Down","0.5","1","154","93","61","60.3896","32","20.7792","2026-04-17T14:05:00Z","2026-04-27T21:35:00Z","8","5"
"BTC","BTC Up 142 Diff","Up","142","Diff >= 142","Down","0.5","1","146","88","58","60.274","30","20.5479","2026-04-30T02:15:00Z","2026-06-01T09:30:00Z","8","4"
"SOL","SOL Down 11 Diff","Down","11","-Diff >= 11","Up","0.5","1","75","45","30","60","15","20","2026-06-06T07:30:00Z","2026-06-06T22:30:00Z","6","5"
"ETH","ETH Down 137 Diff","Down","137","-Diff >= 137","Up","0.5","1","30","18","12","60","6","20","2026-06-06T10:15:00Z","2026-06-06T20:35:00Z","8","3"
"ETH","ETH Down 138 Diff","Down","138","-Diff >= 138","Up","0.5","1","20","12","8","60","4","20","2026-06-06T10:20:00Z","2026-06-06T20:30:00Z","3","2"
"ETH","ETH Down 134 Diff","Down","134","-Diff >= 134","Up","0.5","1","129","77","52","59.6899","25","19.3798","2026-06-06T02:20:00Z","2026-06-06T21:00:00Z","5","6"
"BTC","BTC Down 2 Diff","Down","2","-Diff >= 2","Up","0.5","1","27","16","11","59.2593","5","18.5185","2026-04-07T18:45:00Z","2026-04-07T21:35:00Z","3","3"
"SOL","SOL Up 150 Diff","Up","150","Diff >= 150","Down","0.5","1","85","50","35","58.8235","15","17.6471","2026-05-10T22:15:00Z","2026-05-11T10:45:00Z","6","4"
