asset,offset_seconds,depth,threshold_bps,month,settled_trades,wins,losses,ties,win_rate_pct,roi_pct_at_0_50,pnl_units
BTC,5,100,0,2025-12,3426,1791,1635,30,52.2767,4.5139,156
BTC,5,100,0,2026-01,8849,4544,4305,79,51.3504,2.677,239
BTC,5,100,0,2026-02,8061,4176,3885,3,51.805,3.6086,291
BTC,5,100,0,2026-03,8926,4577,4349,2,51.2772,2.5538,228
BTC,5,100,0,2026-04,8632,4494,4138,8,52.0621,4.1204,356
BTC,5,100,0,2026-05,8913,4512,4401,15,50.6227,1.2433,111
BTC,5,100,0,2026-06,5469,2787,2682,3,50.96,1.9189,105
BTC,5,100,5,2025-12,2461,1300,1161,9,52.8241,5.6275,139
BTC,5,100,5,2026-01,6713,3541,3172,33,52.7484,5.4699,369
BTC,5,100,5,2026-02,7067,3676,3391,3,52.0164,4.0311,285
BTC,5,100,5,2026-03,7672,3958,3714,2,51.5902,3.1796,244
BTC,5,100,5,2026-04,6862,3586,3276,5,52.2588,4.5143,310
BTC,5,100,5,2026-05,6777,3442,3335,12,50.7894,1.5761,107
BTC,5,100,5,2026-06,4715,2425,2290,3,51.4316,2.8614,135
BTC,5,100,10,2025-12,1669,897,772,2,53.7448,7.4806,125
BTC,5,100,10,2026-01,4904,2608,2296,11,53.1811,6.3479,312
BTC,5,100,10,2026-02,6060,3170,2890,2,52.3102,4.6189,280
BTC,5,100,10,2026-03,6453,3366,3087,0,52.1618,4.3236,279
BTC,5,100,10,2026-04,5319,2811,2508,3,52.8483,5.6933,303
BTC,5,100,10,2026-05,4920,2534,2386,8,51.5041,3.0032,148
BTC,5,100,10,2026-06,3958,2059,1899,2,52.0212,4.0404,160
BTC,5,100,15,2025-12,1157,627,530,1,54.1919,8.3765,97
BTC,5,100,15,2026-01,3640,1951,1689,4,53.5989,7.1899,262
BTC,5,100,15,2026-02,5216,2749,2467,2,52.7032,5.4044,282
BTC,5,100,15,2026-03,5358,2811,2547,0,52.4636,4.9272,264
BTC,5,100,15,2026-04,4029,2150,1879,1,53.3631,6.7246,271
BTC,5,100,15,2026-05,3444,1794,1650,4,52.0906,4.1763,144
BTC,5,100,15,2026-06,3341,1744,1597,2,52.1999,4.3972,147
BTC,5,100,20,2025-12,802,449,353,1,55.985,11.9552,96
BTC,5,100,20,2026-01,2704,1447,1257,3,53.5133,7.0188,190
BTC,5,100,20,2026-02,4415,2339,2076,1,52.9785,5.9556,263
BTC,5,100,20,2026-03,4435,2367,2068,0,53.3709,6.7418,299
BTC,5,100,20,2026-04,3086,1658,1428,1,53.7265,7.4506,230
BTC,5,100,20,2026-05,2424,1260,1164,2,51.9802,3.9571,96
BTC,5,100,20,2026-06,2747,1434,1313,2,52.2024,4.4016,121
BTC,5,100,25,2025-12,559,320,239,0,57.2451,14.4902,81
BTC,5,100,25,2026-01,2064,1104,960,2,53.4884,6.97,144
BTC,5,100,25,2026-02,3758,1989,1769,1,52.9271,5.8526,220
BTC,5,100,25,2026-03,3596,1954,1642,0,54.3382,8.6763,312
BTC,5,100,25,2026-04,2386,1295,1091,1,54.2749,8.5463,204
BTC,5,100,25,2026-05,1759,930,829,1,52.8709,5.7386,101
BTC,5,100,25,2026-06,2272,1181,1091,0,51.9806,3.9613,90
BTC,5,100,30,2025-12,421,240,181,0,57.0071,14.0143,59
BTC,5,100,30,2026-01,1645,885,760,2,53.7994,7.5896,125
BTC,5,100,30,2026-02,3220,1734,1486,1,53.8509,7.6995,248
BTC,5,100,30,2026-03,2947,1604,1343,0,54.4282,8.8565,261
BTC,5,100,30,2026-04,1861,1014,847,1,54.4868,8.9689,167
BTC,5,100,30,2026-05,1286,683,603,0,53.1104,6.2208,80
BTC,5,100,30,2026-06,1888,996,892,0,52.7542,5.5085,104
BTC,5,100,35,2025-12,320,180,140,0,56.25,12.5,40
BTC,5,100,35,2026-01,1344,729,615,0,54.2411,8.4821,114
BTC,5,100,35,2026-02,2767,1499,1268,1,54.1742,8.3454,231
BTC,5,100,35,2026-03,2398,1315,1083,0,54.8374,9.6747,232
BTC,5,100,35,2026-04,1423,798,625,1,56.0787,12.1489,173
BTC,5,100,35,2026-05,958,512,446,0,53.4447,6.8894,66
BTC,5,100,35,2026-06,1554,841,713,0,54.1184,8.2368,128
BTC,5,100,40,2025-12,252,141,111,0,55.9524,11.9048,30
BTC,5,100,40,2026-01,1099,591,508,0,53.7762,7.5523,83
BTC,5,100,40,2026-02,2391,1301,1090,0,54.4124,8.8248,211
BTC,5,100,40,2026-03,1942,1061,881,0,54.6344,9.2688,180
BTC,5,100,40,2026-04,1078,613,465,0,56.8646,13.7291,148
BTC,5,100,40,2026-05,726,383,343,0,52.7548,5.5096,40
BTC,5,100,40,2026-06,1285,704,581,0,54.786,9.572,123
BTC,5,100,45,2025-12,201,110,91,0,54.7264,9.4527,19
BTC,5,100,45,2026-01,920,509,411,0,55.3261,10.6522,98
BTC,5,100,45,2026-02,2086,1137,949,0,54.5062,9.0125,188
BTC,5,100,45,2026-03,1599,880,719,0,55.0344,10.0688,161
BTC,5,100,45,2026-04,829,471,358,0,56.8154,13.6309,113
BTC,5,100,45,2026-05,551,296,255,0,53.7205,7.441,41
BTC,5,100,45,2026-06,1052,572,480,0,54.3726,8.7452,92
BTC,5,100,50,2025-12,178,97,81,0,54.4944,8.9888,16
BTC,5,100,50,2026-01,757,414,343,0,54.6896,9.3791,71
BTC,5,100,50,2026-02,1804,988,816,0,54.7672,9.5344,172
BTC,5,100,50,2026-03,1309,730,579,0,55.7678,11.5355,151
BTC,5,100,50,2026-04,679,382,297,0,56.2592,12.5184,85
BTC,5,100,50,2026-05,413,223,190,0,53.9952,7.9903,33
BTC,5,100,50,2026-06,872,470,402,0,53.8991,7.7982,68
BTC,5,100,55,2025-12,139,71,68,0,51.0791,2.1583,3
BTC,5,100,55,2026-01,632,337,295,0,53.3228,6.6456,42
BTC,5,100,55,2026-02,1570,873,697,0,55.6051,11.2102,176
BTC,5,100,55,2026-03,1105,622,483,0,56.2896,12.5792,139
BTC,5,100,55,2026-04,560,313,247,0,55.8929,11.7857,66
BTC,5,100,55,2026-05,323,174,149,0,53.87,7.7399,25
BTC,5,100,55,2026-06,732,392,340,0,53.5519,7.1038,52
BTC,5,100,60,2025-12,120,61,59,0,50.8333,1.6667,2
BTC,5,100,60,2026-01,531,284,247,0,53.484,6.968,37
BTC,5,100,60,2026-02,1373,767,606,0,55.8631,11.7261,161
BTC,5,100,60,2026-03,893,507,386,0,56.7749,13.5498,121
BTC,5,100,60,2026-04,462,251,211,0,54.329,8.658,40
BTC,5,100,60,2026-05,258,135,123,0,52.3256,4.6512,12
BTC,5,100,60,2026-06,641,340,301,0,53.0421,6.0842,39
BTC,5,100,65,2025-12,100,48,52,0,48,-4,-4
BTC,5,100,65,2026-01,449,241,208,0,53.6748,7.3497,33
BTC,5,100,65,2026-02,1195,671,524,0,56.1506,12.3013,147
BTC,5,100,65,2026-03,762,427,335,0,56.0367,12.0735,92
BTC,5,100,65,2026-04,390,214,176,0,54.8718,9.7436,38
BTC,5,100,65,2026-05,196,104,92,0,53.0612,6.1224,12
BTC,5,100,65,2026-06,550,287,263,0,52.1818,4.3636,24
BTC,5,100,70,2025-12,85,43,42,0,50.5882,1.1765,1
BTC,5,100,70,2026-01,377,204,173,0,54.1114,8.2228,31
BTC,5,100,70,2026-02,1028,573,455,0,55.7393,11.4786,118
BTC,5,100,70,2026-03,643,353,290,0,54.8989,9.7978,63
BTC,5,100,70,2026-04,331,182,149,0,54.9849,9.9698,33
BTC,5,100,70,2026-05,157,84,73,0,53.5032,7.0064,11
BTC,5,100,70,2026-06,478,243,235,0,50.8368,1.6736,8
BTC,5,100,75,2025-12,72,33,39,0,45.8333,-8.3333,-6
BTC,5,100,75,2026-01,320,175,145,0,54.6875,9.375,30
BTC,5,100,75,2026-02,914,509,405,0,55.6893,11.3786,104
BTC,5,100,75,2026-03,553,309,244,0,55.877,11.7541,65
BTC,5,100,75,2026-04,288,159,129,0,55.2083,10.4167,30
BTC,5,100,75,2026-05,134,72,62,0,53.7313,7.4627,10
BTC,5,100,75,2026-06,409,215,194,0,52.5672,5.1345,21
BTC,5,100,80,2025-12,52,23,29,0,44.2308,-11.5385,-6
BTC,5,100,80,2026-01,273,151,122,0,55.3114,10.6227,29
BTC,5,100,80,2026-02,814,460,354,0,56.5111,13.0221,106
BTC,5,100,80,2026-03,472,269,203,0,56.9915,13.9831,66
BTC,5,100,80,2026-04,236,132,104,0,55.9322,11.8644,28
BTC,5,100,80,2026-05,116,59,57,0,50.8621,1.7241,2
BTC,5,100,80,2026-06,346,180,166,0,52.0231,4.0462,14
BTC,5,100,85,2025-12,43,18,25,0,41.8605,-16.2791,-7
BTC,5,100,85,2026-01,232,124,108,0,53.4483,6.8966,16
BTC,5,100,85,2026-02,735,416,319,0,56.5986,13.1973,97
BTC,5,100,85,2026-03,399,223,176,0,55.8897,11.7794,47
BTC,5,100,85,2026-04,198,106,92,0,53.5354,7.0707,14
BTC,5,100,85,2026-05,94,46,48,0,48.9362,-2.1277,-2
BTC,5,100,85,2026-06,303,153,150,0,50.495,0.9901,3
BTC,5,100,90,2025-12,39,17,22,0,43.5897,-12.8205,-5
BTC,5,100,90,2026-01,197,106,91,0,53.8071,7.6142,15
BTC,5,100,90,2026-02,650,359,291,0,55.2308,10.4615,68
BTC,5,100,90,2026-03,344,194,150,0,56.3953,12.7907,44
BTC,5,100,90,2026-04,169,92,77,0,54.4379,8.8757,15
BTC,5,100,90,2026-05,72,35,37,0,48.6111,-2.7778,-2
BTC,5,100,90,2026-06,271,139,132,0,51.2915,2.583,7
BTC,5,100,95,2025-12,35,14,21,0,40,-20,-7
BTC,5,100,95,2026-01,169,92,77,0,54.4379,8.8757,15
BTC,5,100,95,2026-02,573,318,255,0,55.4974,10.9948,63
BTC,5,100,95,2026-03,304,170,134,0,55.9211,11.8421,36
BTC,5,100,95,2026-04,146,77,69,0,52.7397,5.4795,8
BTC,5,100,95,2026-05,58,28,30,0,48.2759,-3.4483,-2
BTC,5,100,95,2026-06,244,126,118,0,51.6393,3.2787,8
BTC,5,100,100,2025-12,28,12,16,0,42.8571,-14.2857,-4
BTC,5,100,100,2026-01,145,79,66,0,54.4828,8.9655,13
BTC,5,100,100,2026-02,510,276,234,0,54.1176,8.2353,42
BTC,5,100,100,2026-03,256,143,113,0,55.8594,11.7188,30
BTC,5,100,100,2026-04,125,62,63,0,49.6,-0.8,-1
BTC,5,100,100,2026-05,47,26,21,0,55.3191,10.6383,5
BTC,5,100,100,2026-06,209,103,106,0,49.2823,-1.4354,-3
BTC,5,90,0,2025-12,3426,1779,1647,30,51.9264,3.8194,132
BTC,5,90,0,2026-01,8849,4586,4263,79,51.8251,3.6178,323
BTC,5,90,0,2026-02,8061,4182,3879,3,51.8794,3.7574,303
BTC,5,90,0,2026-03,8926,4576,4350,2,51.266,2.5314,226
BTC,5,90,0,2026-04,8632,4493,4139,8,52.0505,4.0972,354
BTC,5,90,0,2026-05,8913,4513,4400,15,50.6339,1.2657,113
BTC,5,90,0,2026-06,5469,2790,2679,3,51.0148,2.0285,111
BTC,5,90,5,2025-12,2413,1278,1135,9,52.9631,5.9042,143
BTC,5,90,5,2026-01,6661,3509,3152,27,52.6798,5.3379,357
BTC,5,90,5,2026-02,7016,3665,3351,3,52.2377,4.4736,314
