asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct_at_0_50,pnl_units,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,avg_abs_deviation_bps,avg_signed_deviation_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
BTC,5,100,0,1,52416,52276,26881,25395,140,51.4213,2.835,1486,0.5142,-1.1129,50.9928,6.4993,23.7244,-0.5816,-0.0515,288,82,15,7,7,1.2433,4.5139,"watch_only"
BTC,5,100,5,2,42334,42267,21928,20339,67,51.8797,3.7535,1589,0.5188,-0.2313,51.4032,7.729,28.7864,-0.7192,-0.031,232.6044,82,15,7,7,1.5761,5.6275,"research_candidate"
BTC,5,100,10,2,33311,33283,17445,15838,28,52.4141,4.8242,1607,0.5241,0.7964,51.8774,8.8086,34.5693,-0.9816,-0.0251,183.0275,46,13,7,7,3.0032,7.4806,"research_candidate"
BTC,5,100,15,2,26199,26185,13826,12359,14,52.8012,5.5995,1467,0.528,1.5408,52.1962,9.0658,40.5881,-1.3891,-0.0023,143.9505,45,12,7,7,4.1763,8.3765,"research_candidate"
BTC,5,100,20,2,20623,20613,10954,9659,10,53.1412,6.2794,1295,0.5314,2.1947,52.4595,9.0198,46.8587,-1.8724,0.0312,113.3132,52,12,7,7,3.9571,11.9552,"research_candidate"
BTC,5,100,25,2,16399,16394,8773,7621,5,53.5135,7.0248,1152,0.5351,2.9105,52.7492,8.9973,53.1685,-2.1792,0.0808,90.1044,41,12,7,7,3.9613,14.4902,"research_candidate"
BTC,5,100,30,2,13272,13268,7156,6112,4,53.9343,7.8662,1044,0.5393,3.7198,53.0851,9.0635,59.2401,-2.6107,0.241,72.9231,37,11,7,7,5.5085,14.0143,"research_candidate"
BTC,5,100,35,2,10766,10764,5874,4890,2,54.5708,9.1399,984,0.5457,4.9438,53.6287,9.4844,65.4832,-2.8678,0.2448,59.1538,37,11,7,7,6.8894,12.5,"research_candidate"
BTC,5,100,40,2,8773,8773,4794,3979,0,54.6449,9.2899,815,0.5464,5.0864,53.6014,8.7013,71.8526,-3.5442,0.1146,48.2033,38,10,7,7,5.5096,13.7291,"research_candidate"
BTC,5,100,45,2,7238,7238,3975,3263,0,54.9185,9.837,712,0.5492,5.6125,53.7699,8.3689,78.0964,-3.9028,0.1729,39.7692,38,9,7,7,7.441,13.6309,"research_candidate"
BTC,5,100,50,2,6012,6012,3304,2708,0,54.9568,9.9135,596,0.5496,5.6861,53.6963,7.6866,84.3584,-4.5463,0.173,33.033,28,9,7,7,7.7982,12.5184,"research_candidate"
