"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"BTC","5","100","0","1","52416","52276","26881","25395","140","51.4213","-6.4893","-1870.8","0.5142","50.9928","6.4993","23.7244","-0.5816","288","82","15","7","0","-7.9454","-4.9085","reject"
"BTC","5","100","5","2","42334","42267","21928","20339","67","51.8797","-5.6643","-1318.85","0.5188","51.4032","7.729","28.7864","-0.7192","232.6044","82","15","7","0","-7.642","-3.9418","reject"
"BTC","5","100","10","2","33311","33283","17445","15838","28","52.4141","-4.6976","-860.65","0.5241","51.8774","8.8086","34.5693","-0.9816","183.0275","46","13","7","0","-6.3459","-2.2795","reject"
"BTC","5","100","15","2","26199","26185","13826","12359","14","52.8012","-3.9956","-575.75","0.528","52.1962","9.0658","40.5881","-1.3891","143.9505","45","12","7","0","-5.2837","-1.468","reject"
"BTC","5","100","20","2","20623","20613","10954","9659","10","53.1412","-3.378","-383.15","0.5314","52.4595","9.0198","46.8587","-1.8724","113.3132","52","12","7","1","-5.486","1.7887","reject"
"BTC","5","100","25","2","16399","16394","8773","7621","5","53.5135","-2.7019","-243.7","0.5351","52.7492","8.9973","53.1685","-2.1792","90.1044","41","12","7","1","-5.4898","4.082","reject"
"BTC","5","100","30","2","13272","13268","7156","6112","4","53.9343","-1.9371","-141.4","0.5393","53.0851","9.0635","59.2401","-2.6107","72.9231","37","11","7","1","-4.0832","3.6493","reject"
"BTC","5","100","35","2","10766","10764","5874","4890","2","54.5708","-0.7802","-46.2","0.5457","53.6287","9.4844","65.4832","-2.8678","59.1538","37","11","7","2","-2.8279","2.2727","reject"
"BTC","5","100","40","2","8773","8773","4794","3979","0","54.6449","-0.6456","-31.15","0.5464","53.6014","8.7013","71.8526","-3.5442","48.2033","38","10","7","2","-4.0821","3.3901","reject"
"BTC","5","100","45","2","7238","7238","3975","3263","0","54.9185","-0.1482","-5.9","0.5492","53.7699","8.3689","78.0964","-3.9028","39.7692","38","9","7","3","-2.3263","3.3008","reject"
"BTC","5","100","50","2","6012","6012","3304","2708","0","54.9568","-0.0786","-2.6","0.5496","53.6963","7.6866","84.3584","-4.5463","33.033","28","9","7","2","-2.0017","2.2895","reject"
