rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
1,SOL,10,10,65,2,512,57.6172,14.9712,0.5762,10.8023,53.2956,3.4471,5,5,"research_candidate"
2,SOL,5,10,60,2,696,57.3276,14.4068,0.5733,10.2454,53.6227,3.8663,6,6,"research_candidate"
3,SOL,10,20,80,2,749,57.2764,14.3045,0.5728,10.1469,53.7054,3.9828,6,6,"research_candidate"
4,SOL,15,10,60,2,635,57.0079,13.7558,0.5701,9.6305,53.1265,3.5319,6,6,"research_candidate"
5,SOL,15,20,75,2,895,56.9832,13.7212,0.5698,9.5832,53.7165,4.1783,6,6,"research_candidate"
6,SOL,5,40,95,2,1201,56.9525,13.711,0.5695,9.5241,54.1344,4.8189,7,7,"research_candidate"
7,BTC,30,10,45,2,514,56.8093,13.6187,0.5681,9.2487,52.4921,3.0876,6,5,"research_candidate"
8,SOL,25,20,70,2,1063,56.9144,13.6111,0.5691,9.4508,53.9178,4.5087,7,6,"research_candidate"
9,SOL,10,10,60,2,652,56.9018,13.5952,0.569,9.4266,53.0711,3.5247,6,6,"research_candidate"
10,SOL,5,30,90,2,946,56.871,13.5417,0.5687,9.3674,53.6935,4.2267,7,6,"research_candidate"
11,SOL,25,20,80,2,694,56.9164,13.5402,0.5692,9.4547,53.204,3.6441,6,4,"research_candidate"
12,SOL,5,20,80,2,767,56.8449,13.4615,0.5684,9.317,53.3141,3.7913,6,5,"research_candidate"
13,SOL,10,20,70,2,1089,56.7493,13.3032,0.5675,9.1333,53.7881,4.4545,7,6,"research_candidate"
14,SOL,15,20,55,2,1985,56.7254,13.2836,0.5673,9.0874,54.5349,5.9928,7,7,"research_candidate"
15,BTC,10,20,40,2,1822,56.5862,13.1723,0.5659,8.8196,54.2988,5.6226,7,6,"research_candidate"
16,SOL,30,20,70,2,1049,56.6254,13.0639,0.5663,8.8949,53.6075,4.2917,7,6,"research_candidate"
17,SOL,5,20,90,2,521,56.6219,12.9944,0.5662,8.8882,52.3331,3.0229,6,6,"research_candidate"
18,SOL,20,20,75,2,871,56.6016,12.9651,0.566,8.8492,53.2882,3.8966,6,6,"research_candidate"
19,SOL,10,20,90,2,516,56.5891,12.9278,0.5659,8.8253,52.2794,2.9935,6,6,"research_candidate"
20,SOL,10,20,75,2,907,56.5601,12.9207,0.5656,8.7694,53.3132,3.9513,6,6,"research_candidate"
21,SOL,10,30,75,2,1514,56.539,12.9074,0.5654,8.7288,54.0285,5.0886,7,6,"research_candidate"
22,BTC,10,50,45,2,3704,56.4525,12.905,0.5645,8.5625,54.8498,7.854,7,7,"research_candidate"
23,SOL,5,20,65,2,1366,56.5154,12.8613,0.5652,8.6834,53.8718,4.8161,7,6,"research_candidate"
24,SOL,20,20,80,2,716,56.5642,12.8591,0.5656,8.7774,52.908,3.5129,6,6,"research_candidate"
25,SOL,15,20,80,2,725,56.5517,12.8552,0.5655,8.7533,52.9183,3.5282,6,6,"research_candidate"
26,SOL,5,40,85,2,1602,56.4919,12.8316,0.5649,8.6382,54.0515,5.1968,7,7,"research_candidate"
27,SOL,10,10,50,2,1108,56.4982,12.8,0.565,8.6504,53.5615,4.3261,7,7,"research_candidate"
28,BTC,15,20,35,2,2417,56.3922,12.7844,0.5639,8.4466,54.4066,6.2852,7,7,"research_candidate"
29,SOL,25,10,60,2,607,56.5074,12.7832,0.5651,8.6681,52.5348,3.2065,6,5,"research_candidate"
30,SOL,15,20,70,2,1087,56.4857,12.7717,0.5649,8.6264,53.5207,4.2767,7,6,"research_candidate"
31,BTC,15,20,40,2,1812,56.3466,12.6932,0.5635,8.3588,54.0519,5.4032,7,6,"research_candidate"
32,BTC,15,40,45,2,2939,56.3457,12.6914,0.5635,8.3571,54.5455,6.8803,7,6,"research_candidate"
33,SOL,10,30,85,2,1095,56.4384,12.6913,0.5644,8.5353,53.484,4.261,7,6,"research_candidate"
34,BTC,15,30,40,2,2824,56.3385,12.6771,0.5634,8.3433,54.5019,6.7368,7,6,"research_candidate"
35,SOL,10,30,90,2,927,56.4186,12.6461,0.5642,8.4972,53.2064,3.9085,7,6,"research_candidate"
36,BTC,5,20,35,2,2486,56.3154,12.6307,0.5632,8.2988,54.3573,6.2977,7,6,"research_candidate"
37,BTC,5,20,40,2,1861,56.3138,12.6276,0.5631,8.2958,54.0496,5.4475,7,6,"research_candidate"
38,SOL,30,10,60,2,578,56.4014,12.585,0.564,8.4642,52.3295,3.078,6,6,"research_candidate"
39,BTC,30,40,45,2,2903,56.2866,12.5732,0.5629,8.2435,54.475,6.7744,7,6,"research_candidate"
40,SOL,5,10,65,2,541,56.3771,12.5227,0.5638,8.4175,52.1677,2.9665,6,5,"research_candidate"
41,BTC,25,20,40,2,1769,56.2465,12.4929,0.5625,8.1663,53.9236,5.2545,7,6,"research_candidate"
42,SOL,5,30,85,2,1115,56.3229,12.4779,0.5632,8.3132,53.3948,4.2226,7,7,"research_candidate"
43,BTC,10,20,35,2,2458,56.2246,12.4491,0.5622,8.1242,54.2551,6.1721,7,6,"research_candidate"
44,SOL,5,20,70,2,1133,56.3107,12.4456,0.5631,8.2898,53.406,4.2484,7,6,"research_candidate"
45,SOL,25,30,100,2,657,56.3166,12.4438,0.5632,8.3011,52.498,3.2381,6,6,"research_candidate"
46,SOL,15,40,75,2,2080,56.2981,12.4347,0.563,8.2655,54.1567,5.7447,7,7,"research_candidate"
47,SOL,5,30,95,2,817,56.3035,12.4246,0.563,8.2761,52.8807,3.6035,6,5,"research_candidate"
48,SOL,20,30,85,2,1089,56.2902,12.3982,0.5629,8.2503,53.3271,4.1515,7,6,"research_candidate"
49,BTC,30,60,55,2,2920,56.1986,12.3973,0.562,8.0743,54.3921,6.6991,7,6,"research_candidate"
50,SOL,30,20,80,2,691,56.2952,12.3932,0.563,8.26,52.5721,3.3096,6,5,"research_candidate"
51,SOL,15,20,85,2,595,56.3025,12.3762,0.563,8.2741,52.2891,3.0747,6,6,"research_candidate"
52,SOL,10,40,70,2,2460,56.2602,12.3744,0.5626,8.1926,54.2916,6.2099,7,7,"research_candidate"
53,SOL,10,40,85,2,1566,56.258,12.3737,0.5626,8.1884,53.7886,4.9529,7,6,"research_candidate"
54,SOL,20,20,55,2,1959,56.2532,12.3301,0.5625,8.1792,54.0463,5.5354,7,7,"research_candidate"
55,SOL,10,40,80,2,1800,56.2222,12.3145,0.5622,8.1197,53.9194,5.2797,7,6,"research_candidate"
56,SOL,5,40,90,2,1389,56.2275,12.3044,0.5623,8.1298,53.6048,4.6419,7,7,"research_candidate"
57,BTC,5,30,40,2,2861,56.1342,12.2684,0.5613,7.9504,54.3089,6.5622,7,6,"research_candidate"
58,BTC,10,40,45,2,2945,56.129,12.2581,0.5613,7.9404,54.33,6.6522,7,6,"research_candidate"
