rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
1,SOL,10,10,65,2,512,57.6172,14.9712,0.5762,10.8023,53.2956,3.4471,5,5,"research_candidate"
2,SOL,5,10,60,2,696,57.3276,14.4068,0.5733,10.2454,53.6227,3.8663,6,6,"research_candidate"
3,SOL,10,20,80,2,749,57.2764,14.3045,0.5728,10.1469,53.7054,3.9828,6,6,"research_candidate"
4,SOL,5,40,95,2,1201,56.9525,13.711,0.5695,9.5241,54.1344,4.8189,7,7,"research_candidate"
5,BTC,30,10,45,2,514,56.8093,13.6187,0.5681,9.2487,52.4921,3.0876,6,5,"research_candidate"
6,SOL,10,10,60,2,652,56.9018,13.5952,0.569,9.4266,53.0711,3.5247,6,6,"research_candidate"
7,SOL,5,30,90,2,946,56.871,13.5417,0.5687,9.3674,53.6935,4.2267,7,6,"research_candidate"
8,SOL,5,20,80,2,767,56.8449,13.4615,0.5684,9.317,53.3141,3.7913,6,5,"research_candidate"
9,SOL,10,20,70,2,1089,56.7493,13.3032,0.5675,9.1333,53.7881,4.4545,7,6,"research_candidate"
10,BTC,10,20,40,2,1822,56.5862,13.1723,0.5659,8.8196,54.2988,5.6226,7,6,"research_candidate"
11,SOL,30,20,70,2,1049,56.6254,13.0639,0.5663,8.8949,53.6075,4.2917,7,6,"research_candidate"
12,SOL,5,20,90,2,521,56.6219,12.9944,0.5662,8.8882,52.3331,3.0229,6,6,"research_candidate"
13,SOL,10,20,90,2,516,56.5891,12.9278,0.5659,8.8253,52.2794,2.9935,6,6,"research_candidate"
14,SOL,10,20,75,2,907,56.5601,12.9207,0.5656,8.7694,53.3132,3.9513,6,6,"research_candidate"
15,SOL,10,30,75,2,1514,56.539,12.9074,0.5654,8.7288,54.0285,5.0886,7,6,"research_candidate"
16,BTC,10,50,45,2,3704,56.4525,12.905,0.5645,8.5625,54.8498,7.854,7,7,"research_candidate"
17,SOL,5,20,65,2,1366,56.5154,12.8613,0.5652,8.6834,53.8718,4.8161,7,6,"research_candidate"
18,SOL,5,40,85,2,1602,56.4919,12.8316,0.5649,8.6382,54.0515,5.1968,7,7,"research_candidate"
19,SOL,10,10,50,2,1108,56.4982,12.8,0.565,8.6504,53.5615,4.3261,7,7,"research_candidate"
20,SOL,10,30,85,2,1095,56.4384,12.6913,0.5644,8.5353,53.484,4.261,7,6,"research_candidate"
21,SOL,10,30,90,2,927,56.4186,12.6461,0.5642,8.4972,53.2064,3.9085,7,6,"research_candidate"
22,BTC,5,20,35,2,2486,56.3154,12.6307,0.5632,8.2988,54.3573,6.2977,7,6,"research_candidate"
23,BTC,5,20,40,2,1861,56.3138,12.6276,0.5631,8.2958,54.0496,5.4475,7,6,"research_candidate"
24,SOL,30,10,60,2,578,56.4014,12.585,0.564,8.4642,52.3295,3.078,6,6,"research_candidate"
25,BTC,30,40,45,2,2903,56.2866,12.5732,0.5629,8.2435,54.475,6.7744,7,6,"research_candidate"
26,SOL,5,10,65,2,541,56.3771,12.5227,0.5638,8.4175,52.1677,2.9665,6,5,"research_candidate"
27,SOL,5,30,85,2,1115,56.3229,12.4779,0.5632,8.3132,53.3948,4.2226,7,7,"research_candidate"
28,BTC,10,20,35,2,2458,56.2246,12.4491,0.5622,8.1242,54.2551,6.1721,7,6,"research_candidate"
29,SOL,5,20,70,2,1133,56.3107,12.4456,0.5631,8.2898,53.406,4.2484,7,6,"research_candidate"
30,SOL,5,30,95,2,817,56.3035,12.4246,0.563,8.2761,52.8807,3.6035,6,5,"research_candidate"
31,BTC,30,60,55,2,2920,56.1986,12.3973,0.562,8.0743,54.3921,6.6991,7,6,"research_candidate"
32,SOL,30,20,80,2,691,56.2952,12.3932,0.563,8.26,52.5721,3.3096,6,5,"research_candidate"
33,SOL,10,40,70,2,2460,56.2602,12.3744,0.5626,8.1926,54.2916,6.2099,7,7,"research_candidate"
34,SOL,10,40,85,2,1566,56.258,12.3737,0.5626,8.1884,53.7886,4.9529,7,6,"research_candidate"
35,SOL,10,40,80,2,1800,56.2222,12.3145,0.5622,8.1197,53.9194,5.2797,7,6,"research_candidate"
36,SOL,5,40,90,2,1389,56.2275,12.3044,0.5623,8.1298,53.6048,4.6419,7,7,"research_candidate"
37,BTC,5,30,40,2,2861,56.1342,12.2684,0.5613,7.9504,54.3089,6.5622,7,6,"research_candidate"
38,BTC,10,40,45,2,2945,56.129,12.2581,0.5613,7.9404,54.33,6.6522,7,6,"research_candidate"
39,SOL,10,20,85,2,601,56.2396,12.2349,0.5624,8.1531,52.2461,3.0593,6,6,"research_candidate"
40,SOL,10,20,65,2,1349,56.1898,12.2255,0.5619,8.0573,53.5282,4.5468,7,5,"research_candidate"
41,ETH,5,20,80,2,688,56.1047,12.2093,0.561,7.8936,52.3726,3.2025,6,5,"research_candidate"
42,SOL,5,40,80,2,1839,56.1718,12.2043,0.5617,8.0228,53.8935,5.2934,7,7,"research_candidate"
43,BTC,10,30,40,2,2811,56.101,12.2021,0.561,7.8866,54.2594,6.4694,7,6,"research_candidate"
44,SOL,30,30,65,2,2064,56.1531,12.1823,0.5615,7.9867,54.0029,5.5909,7,6,"research_candidate"
45,SOL,30,20,85,2,573,56.1955,12.1784,0.562,8.0682,52.1051,2.9661,6,5,"research_candidate"
46,ETH,10,20,75,2,797,56.0853,12.1706,0.5609,7.8564,52.6187,3.4359,6,5,"research_candidate"
47,ETH,10,20,80,2,674,56.0831,12.1662,0.5608,7.8521,52.3123,3.1585,6,5,"research_candidate"
48,SOL,30,30,75,2,1466,56.1392,12.1457,0.5614,7.9599,53.5862,4.7012,7,7,"research_candidate"
49,ETH,5,10,55,2,774,56.0724,12.1447,0.5607,7.8314,52.5544,3.3788,6,5,"research_candidate"
50,BTC,5,40,45,2,2948,56.0719,12.1438,0.5607,7.8306,54.2736,6.5935,7,6,"research_candidate"
51,SOL,30,20,75,2,842,56.1758,12.1354,0.5618,8.0303,52.8038,3.5841,6,6,"research_candidate"
52,SOL,5,30,80,2,1318,56.1457,12.1348,0.5615,7.9725,53.4527,4.4623,7,6,"research_candidate"
53,SOL,10,30,100,2,691,56.1505,12.1083,0.5615,7.9817,52.4268,3.2336,6,5,"research_candidate"
54,SOL,5,40,70,2,2481,56.1064,12.0525,0.5611,7.8969,54.1457,6.0832,7,7,"research_candidate"
55,SOL,10,20,55,2,2000,56.1,12.0494,0.561,7.8846,53.9154,5.456,7,7,"research_candidate"
56,BTC,30,20,40,2,1746,56.0137,12.0275,0.5601,7.7187,53.6748,5.0257,7,6,"research_candidate"
57,SOL,5,20,75,2,925,56.1081,12.0213,0.5611,7.9002,52.8913,3.7154,7,6,"research_candidate"
58,BTC,5,50,45,2,3732,56.0021,12.0043,0.56,7.6964,54.4042,7.3334,7,7,"research_candidate"
