"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"SOL","10","10","65","2","521","512","295","217","9","57.6172","4.6763","13.4","0.5762","53.2956","3.4471","92.4848","6.3912","2.8626","13","8","5","4","-5.7416","15.5425","research_candidate"
"SOL","5","10","60","2","708","696","399","297","12","57.3276","4.1602","16.2","0.5733","53.6227","3.8663","85.4269","4.7254","3.8901","9","7","6","5","-2.5974","11.811","research_candidate"
"SOL","10","20","80","2","762","749","429","320","13","57.2764","4.0682","17.05","0.5728","53.7054","3.9828","114.0539","0.246","4.1868","11","6","6","4","-2.5974","7.3741","research_candidate"
"SOL","5","40","95","2","1218","1201","684","517","17","56.9525","3.5005","23.45","0.5695","54.1344","4.8189","137.3449","-6.7333","6.6923","13","7","7","3","-5.4545","10.3765","reject"
"SOL","10","10","60","2","662","652","371","281","10","56.9018","3.4057","12.4","0.569","53.0711","3.5247","86.067","5.1262","3.6374","11","8","6","5","-2.0979","10.83","research_candidate"
"SOL","5","30","90","2","960","946","538","408","14","56.871","3.3523","17.7","0.5687","53.6935","4.2267","129.4028","-6.0444","5.2747","10","7","7","3","-9.0909","8.453","reject"
"SOL","5","20","80","2","780","767","436","331","13","56.8449","3.2984","14.15","0.5684","53.3141","3.7913","114.0241","2.6052","4.2857","11","8","6","4","-9.0909","10.8647","research_candidate"
"BTC","30","10","45","2","514","514","292","222","0","56.8093","3.2897","9.3","0.5681","52.4921","3.0876","62.5247","3.3079","2.8242","11","6","6","4","-13.4199","5.5718","research_candidate"
"SOL","10","20","70","2","1105","1089","618","471","16","56.7493","3.1345","19.05","0.5675","53.7881","4.4545","101.8385","-1.5305","6.0714","14","8","7","3","-9.0909","9.1411","reject"
"SOL","30","20","70","2","1064","1049","594","455","15","56.6254","2.9135","17.05","0.5663","53.6075","4.2917","101.1447","-1.4953","5.8462","13","5","7","5","-9.0909","6.7821","watch_only"
"SOL","5","20","90","2","531","521","295","226","10","56.6219","2.8933","8.45","0.5662","52.3331","3.0229","127.8196","-0.455","2.9176","8","8","6","4","-6.0606","15.7025","watch_only"
"BTC","10","20","40","2","1822","1822","1031","791","0","56.5862","2.8839","28.9","0.5659","54.2988","5.6226","60.6082","-1.806","10.011","18","10","7","4","-16.6667","13.6364","watch_only"
"SOL","10","20","90","2","526","516","292","224","10","56.5891","2.8344","8.2","0.5659","52.2794","2.9935","127.4499","0.3705","2.8901","7","6","6","3","-2.0661","18.5771","watch_only"
"SOL","10","20","75","2","921","907","513","394","14","56.5601","2.7934","14.15","0.5656","53.3132","3.9513","107.7296","0.9679","5.0604","11","7","6","5","-2.8851","10.5169","watch_only"
"SOL","10","30","75","2","1534","1514","856","658","20","56.539","2.7616","23.3","0.5654","54.0285","5.0886","111.1858","-6.0369","8.4286","20","8","7","5","-11.5479","7.4508","watch_only"
"SOL","5","20","65","2","1384","1366","772","594","18","56.5154","2.7194","20.7","0.5652","53.8718","4.8161","95.5929","-0.7334","7.6044","19","11","7","4","-8.9542","9.0909","watch_only"
"SOL","10","10","50","2","1125","1108","626","482","17","56.4982","2.6828","16.6","0.565","53.5615","4.3261","73.0722","1.2923","6.1813","10","7","7","5","-7.1567","19.1223","watch_only"
"SOL","5","40","85","2","1621","1602","905","697","19","56.4919","2.6807","23.9","0.5649","54.0515","5.1968","125.5721","-6.244","8.9066","14","7","7","3","-5.3549","8.3169","reject"
