offset_seconds,threshold_bps,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct,pnl_units,wilson_lower_win_rate_pct,z_score,avg_prev_move_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
5,1,23957,23875,12254,11621,82,51.3257,2.6422,633,50.6915,4.0967,12.7793,-0.059,131.6319,68,12,7,7,0.064,6.6135,"watch_only"
5,2,21820,21752,11186,10566,68,51.4252,2.8414,620,50.7608,4.2038,13.885,-0.0205,119.8901,68,11,7,6,-0.731,7.1521,"watch_only"
5,3,19837,19776,10190,9586,61,51.5271,3.0448,604,50.8303,4.295,15.024,0.0226,108.9945,73,13,7,7,0.4828,7.4771,"research_candidate"
5,4,18048,17996,9310,8686,52,51.7337,3.4574,624,51.0033,4.6515,16.1678,0.0224,99.1648,86,11,7,6,-0.969,8.1228,"research_candidate"
5,5,16289,16246,8442,7804,43,51.9636,3.9168,638,51.1949,5.0055,17.4285,0.0301,89.5,78,10,7,7,0.9734,9.37,"research_candidate"
5,6,14756,14719,7675,7044,37,52.1435,4.2762,631,51.336,5.201,18.6691,-0.0133,81.0769,80,10,7,7,0.9224,8.9017,"research_candidate"
5,7,13362,13331,6986,6345,31,52.4042,4.7972,641,51.5558,5.5517,19.9376,-0.1089,73.4176,60,11,7,7,1.5495,9.1824,"research_candidate"
5,8,12095,12071,6354,5717,24,52.6386,5.2666,637,51.7471,5.7979,21.2419,-0.1465,66.456,67,10,7,7,1.7849,11.3528,"research_candidate"
5,9,10965,10943,5799,5144,22,52.9928,5.9736,655,52.0567,6.2614,22.5566,-0.1599,60.2473,53,10,7,7,2.3563,11.7077,"research_candidate"
5,10,9944,9922,5290,4632,22,53.3159,6.6171,658,52.3331,6.6058,23.8978,-0.2257,54.6374,39,10,7,7,2.9652,11.991,"research_candidate"
5,11,9005,8987,4832,4155,18,53.7666,7.518,677,52.7343,7.1414,25.295,-0.3401,49.478,40,10,7,7,4.5968,12.066,"research_candidate"
5,12,8206,8190,4406,3784,16,53.7973,7.5798,622,52.716,6.873,26.6397,-0.2775,45.0879,46,10,7,7,4.6901,11.0801,"research_candidate"
5,13,7517,7503,4041,3462,14,53.8585,7.7025,579,52.7288,6.6844,27.9369,-0.2486,41.3022,42,11,7,7,5.735,12.6888,"research_candidate"
5,14,6848,6838,3700,3138,10,54.1094,8.2068,562,52.9263,6.7963,29.3491,-0.4418,37.6264,38,11,7,7,5.1116,12.4048,"research_candidate"
5,15,6293,6284,3387,2897,9,53.8988,7.7864,490,52.6643,6.1813,30.6605,-0.2455,34.5769,26,11,7,7,4.3682,12.5858,"research_candidate"
5,16,5789,5781,3115,2666,8,53.8834,7.7561,449,52.5962,5.9053,31.9823,-0.3168,31.8077,24,11,7,7,4.4655,12.0712,"research_candidate"
5,17,5298,5290,2869,2421,8,54.2344,8.456,448,52.8893,6.1596,33.4161,-0.3155,29.1099,24,11,7,7,4.2233,16.4894,"research_candidate"
5,18,4872,4866,2623,2243,6,53.9046,7.7997,380,52.5015,5.4475,34.8096,-0.0894,26.7692,25,12,7,7,4.7982,17.1779,"research_candidate"
5,19,4466,4461,2396,2065,5,53.7099,7.4116,331,52.2441,4.9558,36.2934,0.2031,24.5385,28,11,7,7,4.4971,14.7651,"research_candidate"
5,20,4155,4150,2242,1908,5,54.0241,8.0385,334,52.5048,5.1847,37.5511,0.0351,22.8297,28,10,7,7,4.7081,16.7939,"research_candidate"
5,21,3862,3857,2087,1770,5,54.1094,8.2082,317,52.5335,5.1043,38.8488,0.2321,21.2198,25,10,7,7,5.567,20.1681,"research_candidate"
