rank,offset_seconds,threshold_bps,settled_trades,win_rate_pct,roi_pct,pnl_units,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
1,10,41,1036,56.9498,13.8862,144,53.9144,4.4739,7,6,"research_candidate"
2,10,42,991,56.9122,13.8105,137,53.8082,4.3519,7,6,"research_candidate"
3,10,40,1100,56.6364,13.2607,146,53.6896,4.4021,7,6,"research_candidate"
4,5,35,1494,56.4257,12.8428,192,53.898,4.9674,7,7,"research_candidate"
5,5,37,1339,56.3854,12.7612,171,53.7146,4.6731,7,7,"research_candidate"
6,25,31,1789,56.3443,12.6816,227,54.0349,5.3669,7,7,"research_candidate"
7,10,43,943,56.2036,12.3941,117,53.0181,3.81,7,6,"research_candidate"
8,5,30,2041,56.1979,12.3837,253,54.0358,5.6001,7,7,"research_candidate"
9,5,36,1406,56.1878,12.3667,174,53.5809,4.6404,7,7,"research_candidate"
10,5,38,1263,56.1362,12.2627,155,53.385,4.3614,7,6,"research_candidate"
11,10,44,891,56.1167,12.2197,109,52.8389,3.6516,6,5,"research_candidate"
12,5,33,1672,56.1005,12.1937,204,53.7104,4.989,7,7,"research_candidate"
13,5,34,1573,56.0712,12.1347,191,53.6067,4.8158,7,7,"research_candidate"
14,15,30,1980,56.0606,12.1151,240,53.8648,5.3936,7,7,"research_candidate"
15,10,38,1229,56.0618,12.1138,149,53.2724,4.2502,7,6,"research_candidate"
16,5,29,2179,56.0349,12.0587,263,53.942,5.6341,7,7,"research_candidate"
17,15,31,1829,55.9869,11.9672,219,53.7017,5.1208,7,7,"research_candidate"
18,5,41,1063,55.9737,11.9361,127,52.9732,3.8953,7,6,"research_candidate"
19,10,39,1173,55.925,11.8399,139,53.069,4.0585,7,6,"research_candidate"
20,5,31,1919,55.9145,11.8229,227,53.6835,5.1819,7,7,"research_candidate"
21,25,30,1904,55.8824,11.7585,224,53.6424,5.1335,7,7,"research_candidate"
22,10,36,1371,55.8716,11.7347,161,53.2304,4.3482,7,7,"research_candidate"
23,10,35,1457,55.8682,11.7284,171,53.3064,4.4799,7,7,"research_candidate"
24,20,31,1807,55.8384,11.6704,211,53.5388,4.9637,7,7,"research_candidate"
25,5,32,1786,55.8231,11.6396,208,53.5099,4.9218,7,7,"research_candidate"
26,10,31,1876,55.8102,11.6143,218,53.5533,5.0332,7,7,"research_candidate"
27,20,30,1937,55.808,11.6099,225,53.587,5.1123,7,7,"research_candidate"
28,15,32,1722,55.8072,11.6077,200,53.4512,4.8196,7,7,"research_candidate"
29,25,33,1583,55.7802,11.553,183,53.3225,4.5995,7,7,"research_candidate"
30,5,39,1194,55.7789,11.5481,138,52.9477,3.9937,7,6,"research_candidate"
31,20,33,1596,55.7644,11.5216,184,53.3167,4.6058,7,7,"research_candidate"
32,10,30,2003,55.7164,11.4214,229,53.5322,5.1168,7,7,"research_candidate"
33,15,37,1278,55.7121,11.4152,146,52.9756,4.084,7,7,"research_candidate"
34,15,43,932,55.6867,11.3612,106,52.4806,3.4721,7,6,"research_candidate"
35,10,45,853,55.6858,11.3583,97,52.334,3.3212,6,5,"research_candidate"
36,25,32,1690,55.6805,11.3542,192,53.3018,4.6704,7,7,"research_candidate"
37,15,44,891,55.6678,11.3229,101,52.3884,3.3836,6,5,"research_candidate"
38,5,40,1121,55.6646,11.3191,127,52.742,3.7932,7,6,"research_candidate"
39,5,44,927,55.6634,11.3147,105,52.4485,3.4487,7,6,"research_candidate"
40,20,32,1705,55.6598,11.313,193,53.2916,4.6741,7,7,"research_candidate"
41,10,34,1553,55.6343,11.2613,175,53.1524,4.4407,7,7,"research_candidate"
42,10,37,1305,55.6322,11.2557,147,52.924,4.0692,7,6,"research_candidate"
43,5,28,2335,55.6317,11.2537,263,53.6089,5.4427,7,7,"research_candidate"
44,10,32,1762,55.6186,11.2309,198,53.289,4.717,7,7,"research_candidate"
45,10,46,820,55.6098,11.2058,92,52.1907,3.2128,6,5,"research_candidate"
46,5,42,1018,55.5992,11.1874,114,52.5316,3.573,7,6,"research_candidate"
47,10,33,1653,55.5959,11.185,185,53.1904,4.5503,7,7,"research_candidate"
48,15,36,1357,55.5637,11.1193,151,52.9079,4.0991,7,7,"research_candidate"
49,15,35,1431,55.5556,11.1034,159,52.9695,4.2032,7,7,"research_candidate"
50,15,45,857,55.5426,11.0723,95,52.1982,3.2451,6,6,"research_candidate"
