Betting wave duration snapshot captured at 2026-06-16T08:10:01.0401462+00:00
Host: 192.168.0.101
Database: polycopytrader
Server address: 192.168.0.101/32
Server time UTC: 2026-06-16T08:10:00Z

## Service heartbeat
service_name	status	mode	heartbeat_utc	heartbeat_age_seconds	last_error
PolyCopyTrader.Service	Running	Live	2026-06-16T08:09:36Z	24.1	<none>
PolyCopyTrader.Tests	Running	ReadOnly	2026-05-04T14:02:41Z	3694039.3	<none>

## Recent all-enabled waves
entry_due_utc	runs	still_observed	processed	entered_or_settled	skipped	entry_due_expired	full_wave_seconds	max_actual_entry_seconds	last_processed_utc
2026-06-16T08:05:00Z	1770	0	1770	148	1622	0	55.75	55.75	2026-06-16T08:05:55Z
2026-06-16T08:00:00Z	1770	0	1770	186	1586	0	56.19	56.19	2026-06-16T08:00:56Z
2026-06-16T07:55:00Z	1770	0	1770	214	1556	5	66.96	66.88	2026-06-16T07:56:06Z
2026-06-16T07:50:00Z	1770	0	1770	175	1595	5	71.36	59.28	2026-06-16T07:51:11Z
2026-06-16T07:45:00Z	1770	0	1770	178	1595	0	50.34	50.34	2026-06-16T07:45:50Z
2026-06-16T07:40:00Z	1770	0	1770	194	1578	0	47.65	47.65	2026-06-16T07:40:47Z
2026-06-16T07:35:00Z	1770	0	1770	176	1596	0	50.60	50.60	2026-06-16T07:35:50Z
2026-06-16T07:30:00Z	1770	0	1770	140	1632	0	53.07	53.07	2026-06-16T07:30:53Z
2026-06-16T07:25:00Z	1770	0	1770	146	1628	0	47.75	47.75	2026-06-16T07:25:47Z
2026-06-16T07:20:00Z	1770	0	1770	151	1619	5	65.20	57.36	2026-06-16T07:21:05Z
2026-06-16T07:15:00Z	1770	0	1770	133	1639	0	52.45	52.45	2026-06-16T07:15:52Z
2026-06-16T07:10:00Z	1770	0	1770	160	1612	1	176.11	35.39	2026-06-16T07:12:56Z
2026-06-16T07:05:00Z	1770	0	1770	137	1636	0	51.87	51.87	2026-06-16T07:05:51Z
2026-06-16T07:00:00Z	1770	0	1770	125	1648	1	211.21	31.87	2026-06-16T07:03:31Z
2026-06-16T06:55:00Z	1770	0	1770	187	1586	0	51.25	51.25	2026-06-16T06:55:51Z
2026-06-16T06:50:00Z	1770	0	1770	140	1632	0	46.41	46.41	2026-06-16T06:50:46Z
2026-06-16T06:45:00Z	1770	0	1770	108	1664	0	41.92	41.92	2026-06-16T06:45:41Z

## Recent waves by group
entry_due_utc	strategy_group	runs	still_observed	processed	entered_or_settled	skipped	entry_due_expired	full_group_seconds	max_actual_entry_seconds	last_processed_utc
2026-06-16T08:05:00Z	live	6	0	6	0	6	0	19.21	<null>	2026-06-16T08:05:19Z
2026-06-16T08:05:00Z	simple_paper	6	0	6	6	0	0	55.75	55.75	2026-06-16T08:05:55Z
2026-06-16T08:05:00Z	up_down_bps_paper	294	0	294	6	288	0	55.74	45.62	2026-06-16T08:05:55Z
2026-06-16T08:05:00Z	diff_paper	1464	0	1464	136	1328	0	38.84	38.81	2026-06-16T08:05:38Z
2026-06-16T08:00:00Z	live	6	0	6	0	6	0	1.50	<null>	2026-06-16T08:00:01Z
2026-06-16T08:00:00Z	simple_paper	6	0	6	6	2	0	56.19	56.19	2026-06-16T08:00:56Z
2026-06-16T08:00:00Z	up_down_bps_paper	294	0	294	12	282	0	56.19	46.09	2026-06-16T08:00:56Z
2026-06-16T08:00:00Z	diff_paper	1464	0	1464	168	1296	0	25.04	24.96	2026-06-16T08:00:25Z
2026-06-16T07:55:00Z	live	6	0	6	1	5	0	2.86	2.86	2026-06-16T07:55:02Z
2026-06-16T07:55:00Z	simple_paper	6	0	6	1	5	5	66.96	21.43	2026-06-16T07:56:06Z
2026-06-16T07:55:00Z	up_down_bps_paper	294	0	294	36	258	0	66.96	66.88	2026-06-16T07:56:06Z
2026-06-16T07:55:00Z	diff_paper	1464	0	1464	176	1288	0	16.44	16.21	2026-06-16T07:55:16Z
2026-06-16T07:50:00Z	live	6	0	6	0	6	0	15.90	<null>	2026-06-16T07:50:15Z
2026-06-16T07:50:00Z	simple_paper	6	0	6	1	5	5	71.36	15.90	2026-06-16T07:51:11Z
2026-06-16T07:50:00Z	up_down_bps_paper	294	0	294	16	278	0	71.36	59.28	2026-06-16T07:51:11Z
2026-06-16T07:50:00Z	diff_paper	1464	0	1464	158	1306	0	15.89	15.70	2026-06-16T07:50:15Z
2026-06-16T07:45:00Z	live	6	0	6	0	6	0	1.38	<null>	2026-06-16T07:45:01Z
2026-06-16T07:45:00Z	simple_paper	6	0	6	6	3	0	50.34	50.34	2026-06-16T07:45:50Z
2026-06-16T07:45:00Z	up_down_bps_paper	294	0	294	44	250	0	50.34	41.42	2026-06-16T07:45:50Z
2026-06-16T07:45:00Z	diff_paper	1464	0	1464	128	1336	0	18.51	18.20	2026-06-16T07:45:18Z
2026-06-16T07:40:00Z	live	6	0	6	0	6	0	4.07	<null>	2026-06-16T07:40:04Z
2026-06-16T07:40:00Z	simple_paper	6	0	6	6	2	0	47.65	47.65	2026-06-16T07:40:47Z
2026-06-16T07:40:00Z	up_down_bps_paper	294	0	294	28	266	0	47.64	47.59	2026-06-16T07:40:47Z
2026-06-16T07:40:00Z	diff_paper	1464	0	1464	160	1304	0	29.99	29.98	2026-06-16T07:40:29Z
2026-06-16T07:35:00Z	live	6	0	6	1	5	0	0.05	0.05	2026-06-16T07:35:00Z
2026-06-16T07:35:00Z	simple_paper	6	0	6	6	2	0	50.60	50.60	2026-06-16T07:35:50Z
2026-06-16T07:35:00Z	up_down_bps_paper	294	0	294	37	257	0	50.60	50.57	2026-06-16T07:35:50Z
2026-06-16T07:35:00Z	diff_paper	1464	0	1464	132	1332	0	29.53	29.40	2026-06-16T07:35:29Z
2026-06-16T07:30:00Z	live	6	0	6	0	6	0	0.44	<null>	2026-06-16T07:30:00Z
2026-06-16T07:30:00Z	simple_paper	6	0	6	6	2	0	53.07	53.07	2026-06-16T07:30:53Z
2026-06-16T07:30:00Z	up_down_bps_paper	294	0	294	24	270	0	53.07	42.12	2026-06-16T07:30:53Z
2026-06-16T07:30:00Z	diff_paper	1464	0	1464	110	1354	0	16.02	15.88	2026-06-16T07:30:16Z
2026-06-16T07:25:00Z	live	6	0	6	1	5	0	1.14	1.14	2026-06-16T07:25:01Z
2026-06-16T07:25:00Z	simple_paper	6	0	6	6	3	0	47.75	47.75	2026-06-16T07:25:47Z
2026-06-16T07:25:00Z	up_down_bps_paper	294	0	294	31	263	0	47.74	36.99	2026-06-16T07:25:47Z
2026-06-16T07:25:00Z	diff_paper	1464	0	1464	108	1357	0	31.66	31.49	2026-06-16T07:25:31Z
2026-06-16T07:20:00Z	live	6	0	6	1	5	0	9.68	9.68	2026-06-16T07:20:09Z
2026-06-16T07:20:00Z	simple_paper	6	0	6	1	5	5	65.20	9.68	2026-06-16T07:21:05Z
2026-06-16T07:20:00Z	up_down_bps_paper	294	0	294	37	257	0	65.18	57.36	2026-06-16T07:21:05Z
2026-06-16T07:20:00Z	diff_paper	1464	0	1464	112	1352	0	15.95	15.74	2026-06-16T07:20:15Z
2026-06-16T07:15:00Z	live	6	0	6	0	6	0	2.03	<null>	2026-06-16T07:15:02Z
2026-06-16T07:15:00Z	simple_paper	6	0	6	6	2	0	52.45	52.45	2026-06-16T07:15:52Z
2026-06-16T07:15:00Z	up_down_bps_paper	294	0	294	43	251	0	52.45	41.59	2026-06-16T07:15:52Z
2026-06-16T07:15:00Z	diff_paper	1464	0	1464	84	1380	0	11.00	10.84	2026-06-16T07:15:10Z
2026-06-16T07:10:00Z	live	6	0	6	0	6	0	176.11	<null>	2026-06-16T07:12:56Z
2026-06-16T07:10:00Z	simple_paper	6	0	6	5	3	1	176.11	35.39	2026-06-16T07:12:56Z
2026-06-16T07:10:00Z	up_down_bps_paper	294	0	294	43	251	0	176.11	35.36	2026-06-16T07:12:56Z
2026-06-16T07:10:00Z	diff_paper	1464	0	1464	112	1352	0	25.71	25.68	2026-06-16T07:10:25Z
2026-06-16T07:05:00Z	live	6	0	6	0	6	0	1.55	<null>	2026-06-16T07:05:01Z
2026-06-16T07:05:00Z	simple_paper	6	0	6	6	3	0	51.87	51.87	2026-06-16T07:05:51Z
2026-06-16T07:05:00Z	up_down_bps_paper	294	0	294	43	251	0	51.87	44.35	2026-06-16T07:05:51Z
2026-06-16T07:05:00Z	diff_paper	1464	0	1464	88	1376	0	23.67	23.54	2026-06-16T07:05:23Z
2026-06-16T07:00:00Z	live	6	0	6	0	6	0	211.21	<null>	2026-06-16T07:03:31Z
2026-06-16T07:00:00Z	simple_paper	6	0	6	5	4	1	211.21	31.87	2026-06-16T07:03:31Z
2026-06-16T07:00:00Z	up_down_bps_paper	294	0	294	28	266	0	211.21	24.45	2026-06-16T07:03:31Z
