DateUtc,StrategyCode,StrategyName,CurrentPnl,SimplePracticePnl,PracticeVsCurrent,Decisions,CurrentSettled,GtdLimitNotFilled,CurrentPriceAboveMaxSkipped,SimplePracticeRestingAt0.50,SimplePracticeComputable,SimplePracticeNotComputable
2026-06-04,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,7.75,10.75,3,5,2,0,3,3,5,0
2026-06-04,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,4.8448,17.7103,12.8655,13,11,0,2,5,13,0
2026-06-04,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,11.7924,26.5708,14.7784,15,9,0,6,11,10,5
2026-06-04,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,6.8474,21.3867,14.5393,7,5,0,2,6,5,2
2026-06-04,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,6.6387,26.3013,19.6626,19,12,0,7,11,14,5
2026-06-04,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,-13.1119,-14.1792,-1.0673,24,19,0,5,14,20,4
2026-06-05,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,-1.2451,-8.4394,-7.1943,19,11,2,6,14,18,1
2026-06-05,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,-8.8839,-0.6033,8.2806,26,20,0,6,13,22,4
2026-06-05,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,11.851252,50.4878,38.636548,21,13,3,5,15,19,2
2026-06-05,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,0.5438,18.9958,18.452,30,23,0,7,20,25,5
2026-06-05,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,11.66514498,65.141079,53.47593402,27,16,3,8,20,23,4
2026-06-05,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,-17.7589,-10.3786,7.3803,34,24,1,9,19,27,7
2026-06-06,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,6.17,23.1084,16.9384,6,4,0,2,4,6,0
2026-06-06,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,10.6358,32.4704,21.8346,7,3,1,3,5,6,1
2026-06-06,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,11.437091,13.7879,2.350809,18,10,2,6,10,13,5
2026-06-06,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,17.95889,52.9468,34.98791,16,12,3,1,9,16,0
