DateUtc,CurrentPnl,SimplePracticePnl,PracticeVsCurrent,Decisions,CurrentSettled,GtdLimitNotFilled,CurrentPriceAboveMaxSkipped,SimplePracticeRestingAt0.50,SimplePracticeComputable,SimplePracticeNotComputable
2026-06-04,24.7614,88.5399,63.7785,83,58,0,25,50,67,16
2026-06-05,-3.82770302,115.203379,119.03108202,157,107,9,41,101,134,23
2026-06-06,56.78626,170.456914,113.670654,100,63,12,25,55,86,14
2026-06-07,-24.626577,75.940754,100.567331,73,45,15,13,50,63,10
2026-06-08,6.15019501,38.83992599,32.68973098,115,87,9,19,69,111,4
2026-06-09,18.11678897,160.62807197,142.511283,94,67,10,17,57,94,0
2026-06-10,35.95830405,216.62499203,180.66668798,110,76,11,23,65,110,0
2026-06-11,34.65623707,197.11622105,162.45998398,82,67,7,8,53,82,0
2026-06-12,25.99310988,156.30285702,130.30974714,63,55,4,4,40,63,0
2026-06-13,-2.15752798,25.11650002,27.274028,11,10,0,1,8,11,0
