DateUtc,StrategyCode,StrategyName,CurrentPnl,FullFillPracticePnl,FillAdjustedPracticePnl,FillAdjustedVsCurrent,FullFillVsCurrent,Decisions,CurrentSettled,GtdLimitNotFilled,CurrentPriceAboveMaxSkipped,SimplePracticeRestingAt0.50,SimplePracticeComputable,SimplePracticeNotComputable
2026-06-04,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,7.75,10.75,8.01478261,0.26478261,3,5,2,0,3,3,5,0
2026-06-04,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,4.8448,17.7103,4.94595217,0.10115217,12.8655,13,11,0,2,5,13,0
2026-06-04,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,11.7924,26.5708,12.89471304,1.10231304,14.7784,15,9,0,6,11,10,5
2026-06-04,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,6.8474,21.3867,4.97539565,-1.87200435,14.5393,7,5,0,2,6,5,2
2026-06-04,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,6.6387,26.3013,4.41956087,-2.21913913,19.6626,19,12,0,7,11,14,5
2026-06-04,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,-13.1119,-14.1792,-5.97354783,7.13835217,-1.0673,24,19,0,5,14,20,4
2026-06-05,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,-1.2451,-8.4394,0.6779913,1.9230913,-7.1943,19,11,2,6,14,18,1
2026-06-05,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,-8.8839,-0.6033,-7.89721304,0.98668696,8.2806,26,20,0,6,13,22,4
2026-06-05,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,11.851252,50.4878,13.10649565,1.25524365,38.636548,21,13,3,5,15,19,2
2026-06-05,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,0.5438,18.9958,4.40797391,3.86417391,18.452,30,23,0,7,20,25,5
2026-06-05,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,11.66514498,65.141079,4.96629639,-6.69884859,53.47593402,27,16,3,8,20,23,4
2026-06-05,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,-17.7589,-10.3786,-12.20207826,5.55682174,7.3803,34,24,1,9,19,27,7
2026-06-06,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,6.17,23.1084,3.05013913,-3.11986087,16.9384,6,4,0,2,4,6,0
2026-06-06,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,10.6358,32.4704,9.67692174,-0.95887826,21.8346,7,3,1,3,5,6,1
2026-06-06,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,11.437091,13.7879,14.69963913,3.26254813,2.350809,18,10,2,6,10,13,5
2026-06-06,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,17.95889,52.9468,11.0068,-6.95209,34.98791,16,12,3,1,9,16,0
2026-06-06,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,9.07036,27.36406,6.39406,-2.6763,18.2937,25,14,1,10,16,19,6
2026-06-06,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,1.514119,20.779354,-2.01412426,-3.52824326,19.265235,28,20,5,3,11,26,2
2026-06-07,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,1.7118,54.235,2.26586957,0.55406957,52.5232,11,5,5,1,8,11,0
2026-06-07,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,-10.6008,-14.7477,-6.54204783,4.05875217,-4.1469,7,5,0,2,5,5,2
2026-06-07,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,-12.1933,1.1191,-5.26307391,6.93022609,13.3124,17,11,4,2,13,16,1
2026-06-07,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,1.0044,-6.9916,3.94926957,2.94486957,-7.996,7,4,0,3,4,4,3
2026-06-07,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,-16.871477,16.258854,-12.00505904,4.86641796,33.130331,24,14,6,4,17,21,3
2026-06-07,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,12.3228,26.0671,7.83231739,-4.49048261,13.7443,7,6,0,1,3,6,1
2026-06-08,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,7.824406,33.147,3.97134783,-3.85305817,25.322594,12,9,2,1,8,11,1
2026-06-08,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,-2.4218,-6.9587,4.8939087,7.3157087,-4.5369,11,9,0,2,8,11,0
2026-06-08,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,-14.206771,-28.827934,-3.29923835,10.90753265,-14.621163,24,16,4,4,17,23,1
2026-06-08,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,-6.6121,14.0496,-3.27344348,3.33865652,20.6617,20,17,0,3,12,19,1
2026-06-08,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,9.6367,19.4185,13.94806522,4.31136522,9.7818,24,14,3,7,16,23,1
2026-06-08,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,11.92976001,8.01145999,18.95232956,7.02256955,-3.91830002,24,22,0,2,8,24,0
2026-06-09,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,-0.3087,20.9933,-3.62365652,-3.31495652,21.302,8,6,1,1,5,8,0
2026-06-09,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,-4.998218,8.2234,-0.8939913,4.1042267,13.221618,13,9,2,2,8,13,0
2026-06-09,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,16.294561,61.060779,7.2681703,-9.0263907,44.766218,11,9,1,1,6,11,0
2026-06-09,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,1.57912197,34.62899997,0.89465214,-0.68446983,33.049878,19,13,2,4,12,19,0
2026-06-09,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,11.750451,28.466976,12.05567165,0.30522065,16.716525,15,11,1,3,8,15,0
2026-06-09,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,-6.200427,7.254617,0.87244309,7.07287009,13.455044,28,19,3,6,18,28,0
2026-06-10,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,1.127394,15.2678,5.23866957,4.11127557,14.140406,11,6,2,3,8,11,0
2026-06-10,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,7.040706,22.9552,5.63215652,-1.40854948,15.914494,15,11,1,3,11,15,0
2026-06-10,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,4.9969,27.054,3.34878261,-1.64811739,22.0571,12,8,0,4,8,12,0
2026-06-10,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,19.839,97.9384,5.85274783,-13.98625217,78.0994,17,12,3,2,11,17,0
2026-06-10,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,2.018202,26.502196,1.88523948,-0.13296252,24.483994,21,15,0,6,11,21,0
2026-06-10,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,0.93610205,26.90739603,2.29043951,1.35433746,25.97129398,34,24,5,5,16,34,0
2026-06-11,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,16.753368,53.5347,7.03600435,-9.71736365,36.781332,9,7,0,2,7,9,0
2026-06-11,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,2.578265,5.8019,3.97842174,1.40015674,3.223635,4,3,0,1,3,4,0
2026-06-11,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,-8.12665297,31.11630003,-7.17674345,0.94990952,39.242953,16,12,2,2,10,16,0
