DateUtc,CurrentPnl,FullFillPracticePnl,FillAdjustedPracticePnl,FillAdjustedVsCurrent,FullFillVsCurrent,Decisions,CurrentSettled,GtdLimitNotFilled,CurrentPriceAboveMaxSkipped,SimplePracticeRestingAt0.50,SimplePracticeComputable,SimplePracticeNotComputable
2026-06-04,24.7614,88.5399,29.27685652,4.51545652,63.7785,83,58,0,25,50,67,16
2026-06-05,-3.82770302,115.203379,3.05946596,6.88716898,119.03108202,157,107,9,41,101,134,23
2026-06-06,56.78626,170.456914,42.81343574,-13.97282426,113.670654,100,63,12,25,55,86,14
2026-06-07,-24.626577,75.940754,-9.76272426,14.86385274,100.567331,73,45,15,13,50,63,10
2026-06-08,6.15019501,38.83992599,35.19296947,29.04277446,32.68973098,115,87,9,19,69,111,4
2026-06-09,18.11678897,160.62807197,16.57328936,-1.54349961,142.511283,94,67,10,17,57,94,0
2026-06-10,35.95830405,216.62499203,24.24803551,-11.71026854,180.66668798,110,76,11,23,65,110,0
2026-06-11,34.65623707,197.11622105,33.00317757,-1.6530595,162.45998398,82,67,7,8,53,82,0
2026-06-12,25.99310988,156.30285702,11.33633528,-14.6567746,130.30974714,63,55,4,4,40,63,0
2026-06-13,-2.15752798,25.11650002,-4.97089128,-2.8133633,27.274028,11,10,0,1,8,11,0
