created_utc	submitted_utc	expires_utc	updated_utc	market_end_utc	status	response_status	cancel_status	order_type	post_only	price	size_shares	filled_size	remaining_size	average_fill_price	filled_notional_usd	cost_basis_usd	decision_source	decision_order_ttl_seconds	configured_order_ttl_seconds	market_end_expire_before_seconds	decision_gtd_expiration_utc	decision_cancel_deadline_utc	clob_wire_gtd_expiration_utc	instant_best_bid	instant_best_ask	instant_spread	quote_age_ms	decision_delay_ms	seconds_expire_before_market_end	actual_local_ttl_seconds	updated_after_expiry_seconds	raw_response_excerpt	market_slug	order_id	live_order_id
2026-06-13T11:55:01.1021300Z	2026-06-13T11:55:03.0330680Z	2026-06-13T11:59:00.0000000Z	2026-06-13T11:59:06.0273380Z	2026-06-13T12:00:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.5	6	0	6		0	0	simple_up_instant	239	120	60	2026-06-13T11:59:00.0000000+00:00	2026-06-13T11:59:00.0000000+00:00	2026-06-13T12:00:00.0000000+00:00	0.5	0.51	0.01	0	1102.1302	60	238.89787	6.027338	{"canceled": [], "not_canceled": {"0x077fa907fa711897c0f82bdce4c6fcea0e5c54b8ca49a4105c526a18095e11f6": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781351700	0x077fa907fa711897c0f82bdce4c6fcea0e5c54b8ca49a4105c526a18095e11f6	162f0e0b-4845-4336-87ed-261104f3fc7f
2026-06-13T12:30:12.5154720Z	2026-06-13T12:30:16.3670020Z	2026-06-13T12:34:00.0000000Z	2026-06-13T12:34:39.2785310Z	2026-06-13T12:35:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.5	6	0	6		0	0	simple_up_instant	228	120	60	2026-06-13T12:34:00.0000000+00:00	2026-06-13T12:34:00.0000000+00:00	2026-06-13T12:35:00.0000000+00:00	0.7	0.71	0.01	0	12515.4729	60	227.484528	39.278531	{"canceled": [], "not_canceled": {"0x7d4da8782a54157b3b144403beddafe328ca3b068cd0cd2bcb2fb4284b9b8a05": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781353800	0x7d4da8782a54157b3b144403beddafe328ca3b068cd0cd2bcb2fb4284b9b8a05	b238f394-2457-4305-b673-750436fa314c
2026-06-13T12:45:03.2952530Z	2026-06-13T12:45:06.3283190Z	2026-06-13T12:49:00.0000000Z	2026-06-13T12:49:03.1863050Z	2026-06-13T12:50:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.46	6.53	0	6.53		0	0	simple_up_instant	237	120	60	2026-06-13T12:49:00.0000000+00:00	2026-06-13T12:49:00.0000000+00:00	2026-06-13T12:50:00.0000000+00:00	0.45	0.46	0.01	4	3295.2531	60	236.704747	3.186305	{"canceled": [], "not_canceled": {"0xc1aa08bf04b5663add281c80875b1c5afe06f260fe0c5326b0a6105791619b2e": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781354700	0xc1aa08bf04b5663add281c80875b1c5afe06f260fe0c5326b0a6105791619b2e	048fc1ad-2a5d-432c-835f-ee1b595d1899
2026-06-13T13:05:03.6608080Z	2026-06-13T13:05:06.4356610Z	2026-06-13T13:09:00.0000000Z	2026-06-13T13:09:03.4779120Z	2026-06-13T13:10:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.5	6	0	6		0	0	simple_up_instant	237	120	60	2026-06-13T13:09:00.0000000+00:00	2026-06-13T13:09:00.0000000+00:00	2026-06-13T13:10:00.0000000+00:00	0.49	0.5	0.01	59	3660.8082	60	236.339192	3.477912	{"canceled": [], "not_canceled": {"0x65a0c6c7d1ad4683a32390a7f13c165fe5ae96aaacb038168748bbc94bbba652": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781355900	0x65a0c6c7d1ad4683a32390a7f13c165fe5ae96aaacb038168748bbc94bbba652	08d15d2b-3660-4140-9281-e70980779947
2026-06-13T14:30:14.0683810Z	2026-06-13T14:30:15.4507820Z	2026-06-13T14:34:00.0000000Z	2026-06-13T14:34:09.0051960Z	2026-06-13T14:35:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.5	6	0	6		0	0	simple_up_instant	226	120	60	2026-06-13T14:34:00.0000000+00:00	2026-06-13T14:34:00.0000000+00:00	2026-06-13T14:35:00.0000000+00:00	0.66	0.67	0.01	7	14068.3819	60	225.931619	9.005196	{"canceled": [], "not_canceled": {"0xb6da127a4625c3d8dbc2a57b46ebf264dffcdba2c8178980443950a544f81136": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781361000	0xb6da127a4625c3d8dbc2a57b46ebf264dffcdba2c8178980443950a544f81136	c19fa60d-3a3c-424a-ac3f-d5a01eb12682
2026-06-13T14:45:00.7776940Z	2026-06-13T14:45:02.3617480Z	2026-06-13T14:49:00.0000000Z	2026-06-13T14:49:03.5569270Z	2026-06-13T14:50:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.47	6.39	0	6.39		0	0	simple_up_instant	240	120	60	2026-06-13T14:49:00.0000000+00:00	2026-06-13T14:49:00.0000000+00:00	2026-06-13T14:50:00.0000000+00:00	0.46	0.47	0.01	3	777.6943	60	239.222306	3.556927	{"canceled": [], "not_canceled": {"0x3a52a0bfb4753f3cf7eea6285f9c6feca19c8d213cadb378dfe990427a0dadee": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781361900	0x3a52a0bfb4753f3cf7eea6285f9c6feca19c8d213cadb378dfe990427a0dadee	7dfbafc3-d2a4-48ca-be96-51974ae3279a
2026-06-13T14:55:01.8808320Z	2026-06-13T14:55:03.2336110Z	2026-06-13T14:59:00.0000000Z	2026-06-13T14:59:07.4118330Z	2026-06-13T15:00:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.5	6	0	6		0	0	simple_up_instant	239	120	60	2026-06-13T14:59:00.0000000+00:00	2026-06-13T14:59:00.0000000+00:00	2026-06-13T15:00:00.0000000+00:00	0.55	0.56	0.01	7	1880.8322	60	238.119168	7.411833	{"canceled": [], "not_canceled": {"0x9445a96e7e66a9eccde72bfa0f01b564eac3fe2d9331e5a01d893342a80101fd": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781362500	0x9445a96e7e66a9eccde72bfa0f01b564eac3fe2d9331e5a01d893342a80101fd	9b13a40f-2b9d-4040-8a68-1a9bf414dc73
2026-06-13T18:15:00.0348540Z	2026-06-13T18:15:01.7083070Z	2026-06-13T18:19:00.0000000Z	2026-06-13T18:19:10.4512400Z	2026-06-13T18:20:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.5	6	0	6		0	0	simple_up_instant	240	120	60	2026-06-13T18:19:00.0000000+00:00	2026-06-13T18:19:00.0000000+00:00	2026-06-13T18:20:00.0000000+00:00	0.51	0.52	0.01	1	34.8543	60	239.965146	10.45124	{"canceled": [], "not_canceled": {"0xb80cbca06ed08dc67b46a19bd0f909a256943331763515417cdedd1195641fa5": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781374500	0xb80cbca06ed08dc67b46a19bd0f909a256943331763515417cdedd1195641fa5	d3b39e4c-9186-4a8e-b363-55cd6ae8fbe0
2026-06-13T19:40:05.6972070Z	2026-06-13T19:40:08.8377910Z	2026-06-13T19:44:00.0000000Z	2026-06-13T19:44:08.7655800Z	2026-06-13T19:45:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.5	6	0	6		0	0	simple_up_instant	235	120	60	2026-06-13T19:44:00.0000000+00:00	2026-06-13T19:44:00.0000000+00:00	2026-06-13T19:45:00.0000000+00:00	0.58	0.59	0.01	184	5697.2075	60	234.302793	8.76558	{"canceled": [], "not_canceled": {"0x6d5137f7715a9827c5f4c47e091d944177b9a9234fba2f1c883bba1082c3172b": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781379600	0x6d5137f7715a9827c5f4c47e091d944177b9a9234fba2f1c883bba1082c3172b	5e4fcb5c-54d5-4d84-9b04-e676768f8496
2026-06-13T23:15:04.8422690Z	2026-06-13T23:15:06.0873550Z	2026-06-13T23:19:00.0000000Z	2026-06-13T23:19:03.9212430Z	2026-06-13T23:20:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.49	6.13	0	6.13		0	0	simple_up_instant	236	120	60	2026-06-13T23:19:00.0000000+00:00	2026-06-13T23:19:00.0000000+00:00	2026-06-13T23:20:00.0000000+00:00	0.48	0.49	0.01	811	4842.2692	60	235.157731	3.921243	{"canceled": [], "not_canceled": {"0xfe5f5b35352370378e0e42c87236a90fcca7c76380141fc5b02f61c82b25ae55": "order can't be found - already canceled or matched"}}	btc-updown-5m-1781392500	0xfe5f5b35352370378e0e42c87236a90fcca7c76380141fc5b02f61c82b25ae55	2d107be4-a544-452f-9931-87edb1c19e6a
