asset_symbol,market_start_utc,market_end_utc,winning_outcome,source,market_id,market_slug,up_count,down_count,diff
BTC,2026-06-08T14:00:00.0000000+00:00,2026-06-08T14:05:00.0000000+00:00,Down,GammaClosedMarket,2462267,btc-updown-5m-1780927200,0,1,-1
BTC,2026-06-08T14:05:00.0000000+00:00,2026-06-08T14:10:00.0000000+00:00,Up,GammaClosedMarket,2462280,btc-updown-5m-1780927500,1,1,0
BTC,2026-06-08T14:10:00.0000000+00:00,2026-06-08T14:15:00.0000000+00:00,Up,GammaClosedMarket,2462291,btc-updown-5m-1780927800,2,1,1
BTC,2026-06-08T14:15:00.0000000+00:00,2026-06-08T14:20:00.0000000+00:00,Down,GammaClosedMarket,2462302,btc-updown-5m-1780928100,2,2,0
BTC,2026-06-08T14:20:00.0000000+00:00,2026-06-08T14:25:00.0000000+00:00,Down,GammaClosedMarket,2462322,btc-updown-5m-1780928400,2,3,-1
BTC,2026-06-08T14:25:00.0000000+00:00,2026-06-08T14:30:00.0000000+00:00,Down,GammaClosedMarket,2462332,btc-updown-5m-1780928700,2,4,-2
BTC,2026-06-08T14:30:00.0000000+00:00,2026-06-08T14:35:00.0000000+00:00,Up,GammaClosedMarket,2462352,btc-updown-5m-1780929000,3,4,-1
BTC,2026-06-08T14:35:00.0000000+00:00,2026-06-08T14:40:00.0000000+00:00,Down,GammaClosedMarket,2462398,btc-updown-5m-1780929300,3,5,-2
BTC,2026-06-08T14:40:00.0000000+00:00,2026-06-08T14:45:00.0000000+00:00,Up,GammaClosedMarket,2462412,btc-updown-5m-1780929600,4,5,-1
BTC,2026-06-08T14:45:00.0000000+00:00,2026-06-08T14:50:00.0000000+00:00,Down,GammaClosedMarket,2462424,btc-updown-5m-1780929900,4,6,-2
BTC,2026-06-08T14:50:00.0000000+00:00,2026-06-08T14:55:00.0000000+00:00,Up,GammaClosedMarket,2462431,btc-updown-5m-1780930200,5,6,-1
BTC,2026-06-08T14:55:00.0000000+00:00,2026-06-08T15:00:00.0000000+00:00,Up,GammaClosedMarket,2462449,btc-updown-5m-1780930500,6,6,0
BTC,2026-06-08T15:00:00.0000000+00:00,2026-06-08T15:05:00.0000000+00:00,Down,GammaClosedMarket,2462463,btc-updown-5m-1780930800,6,7,-1
BTC,2026-06-08T15:05:00.0000000+00:00,2026-06-08T15:10:00.0000000+00:00,Up,GammaClosedMarket,2462476,btc-updown-5m-1780931100,7,7,0
BTC,2026-06-08T15:10:00.0000000+00:00,2026-06-08T15:15:00.0000000+00:00,Up,GammaClosedMarket,2462493,btc-updown-5m-1780931400,8,7,1
BTC,2026-06-08T15:15:00.0000000+00:00,2026-06-08T15:20:00.0000000+00:00,Down,GammaClosedMarket,2462509,btc-updown-5m-1780931700,8,8,0
BTC,2026-06-08T15:20:00.0000000+00:00,2026-06-08T15:25:00.0000000+00:00,Down,GammaClosedMarket,2462519,btc-updown-5m-1780932000,8,9,-1
BTC,2026-06-08T15:25:00.0000000+00:00,2026-06-08T15:30:00.0000000+00:00,Down,GammaClosedMarket,2462527,btc-updown-5m-1780932300,8,10,-2
BTC,2026-06-08T15:30:00.0000000+00:00,2026-06-08T15:35:00.0000000+00:00,Down,GammaClosedMarket,2462539,btc-updown-5m-1780932600,8,11,-3
BTC,2026-06-08T15:35:00.0000000+00:00,2026-06-08T15:40:00.0000000+00:00,Down,GammaClosedMarket,2462591,btc-updown-5m-1780932900,8,12,-4
BTC,2026-06-08T15:40:00.0000000+00:00,2026-06-08T15:45:00.0000000+00:00,Up,GammaClosedMarket,2462601,btc-updown-5m-1780933200,9,12,-3
BTC,2026-06-08T15:45:00.0000000+00:00,2026-06-08T15:50:00.0000000+00:00,Down,GammaClosedMarket,2462609,btc-updown-5m-1780933500,9,13,-4
BTC,2026-06-08T15:50:00.0000000+00:00,2026-06-08T15:55:00.0000000+00:00,Up,GammaClosedMarket,2462624,btc-updown-5m-1780933800,10,13,-3
BTC,2026-06-08T15:55:00.0000000+00:00,2026-06-08T16:00:00.0000000+00:00,Down,GammaClosedMarket,2462832,btc-updown-5m-1780934100,10,14,-4
BTC,2026-06-08T16:00:00.0000000+00:00,2026-06-08T16:05:00.0000000+00:00,Up,GammaClosedMarket,2462858,btc-updown-5m-1780934400,11,14,-3
BTC,2026-06-08T16:05:00.0000000+00:00,2026-06-08T16:10:00.0000000+00:00,Down,GammaClosedMarket,2462863,btc-updown-5m-1780934700,11,15,-4
BTC,2026-06-08T16:10:00.0000000+00:00,2026-06-08T16:15:00.0000000+00:00,Down,GammaClosedMarket,2462881,btc-updown-5m-1780935000,11,16,-5
BTC,2026-06-08T16:15:00.0000000+00:00,2026-06-08T16:20:00.0000000+00:00,Up,GammaClosedMarket,2462892,btc-updown-5m-1780935300,12,16,-4
BTC,2026-06-08T16:20:00.0000000+00:00,2026-06-08T16:25:00.0000000+00:00,Up,GammaClosedMarket,2462910,btc-updown-5m-1780935600,13,16,-3
BTC,2026-06-08T16:25:00.0000000+00:00,2026-06-08T16:30:00.0000000+00:00,Down,GammaClosedMarket,2462916,btc-updown-5m-1780935900,13,17,-4
BTC,2026-06-08T16:30:00.0000000+00:00,2026-06-08T16:35:00.0000000+00:00,Down,GammaClosedMarket,2462928,btc-updown-5m-1780936200,13,18,-5
BTC,2026-06-08T16:35:00.0000000+00:00,2026-06-08T16:40:00.0000000+00:00,Up,GammaClosedMarket,2463010,btc-updown-5m-1780936500,14,18,-4
BTC,2026-06-08T16:40:00.0000000+00:00,2026-06-08T16:45:00.0000000+00:00,Down,GammaClosedMarket,2463220,btc-updown-5m-1780936800,14,19,-5
BTC,2026-06-08T16:45:00.0000000+00:00,2026-06-08T16:50:00.0000000+00:00,Down,GammaClosedMarket,2463377,btc-updown-5m-1780937100,14,20,-6
BTC,2026-06-08T16:50:00.0000000+00:00,2026-06-08T16:55:00.0000000+00:00,Down,GammaClosedMarket,2463386,btc-updown-5m-1780937400,14,21,-7
BTC,2026-06-08T16:55:00.0000000+00:00,2026-06-08T17:00:00.0000000+00:00,Down,GammaClosedMarket,2463570,btc-updown-5m-1780937700,14,22,-8
BTC,2026-06-08T17:00:00.0000000+00:00,2026-06-08T17:05:00.0000000+00:00,Down,GammaClosedMarket,2463586,btc-updown-5m-1780938000,14,23,-9
BTC,2026-06-08T17:05:00.0000000+00:00,2026-06-08T17:10:00.0000000+00:00,Up,GammaClosedMarket,2463604,btc-updown-5m-1780938300,15,23,-8
BTC,2026-06-08T17:10:00.0000000+00:00,2026-06-08T17:15:00.0000000+00:00,Down,GammaClosedMarket,2463616,btc-updown-5m-1780938600,15,24,-9
BTC,2026-06-08T17:15:00.0000000+00:00,2026-06-08T17:20:00.0000000+00:00,Up,GammaClosedMarket,2463629,btc-updown-5m-1780938900,16,24,-8
BTC,2026-06-08T17:20:00.0000000+00:00,2026-06-08T17:25:00.0000000+00:00,Up,GammaClosedMarket,2463645,btc-updown-5m-1780939200,17,24,-7
BTC,2026-06-08T17:25:00.0000000+00:00,2026-06-08T17:30:00.0000000+00:00,Up,GammaClosedMarket,2463653,btc-updown-5m-1780939500,18,24,-6
BTC,2026-06-08T17:30:00.0000000+00:00,2026-06-08T17:35:00.0000000+00:00,Down,GammaClosedMarket,2463671,btc-updown-5m-1780939800,18,25,-7
BTC,2026-06-08T17:35:00.0000000+00:00,2026-06-08T17:40:00.0000000+00:00,Down,GammaClosedMarket,2463717,btc-updown-5m-1780940100,18,26,-8
BTC,2026-06-08T17:40:00.0000000+00:00,2026-06-08T17:45:00.0000000+00:00,Down,GammaClosedMarket,2463724,btc-updown-5m-1780940400,18,27,-9
BTC,2026-06-08T17:45:00.0000000+00:00,2026-06-08T17:50:00.0000000+00:00,Up,GammaClosedMarket,2463740,btc-updown-5m-1780940700,19,27,-8
