"sample_number","sample_utc","asset","market_slug","market_id","market_start_utc","market_end_utc","seconds_to_start","seconds_from_start","seconds_to_end","outcome","token_id","best_bid","best_bid_size","best_ask","best_ask_size","spread","bid_levels","ask_levels","top5_bid_size","top5_ask_size","total_bid_size","total_ask_size","book_timestamp","book_market","binance_price","start_reference_price","move_from_start_bps","error"
"1","2026-06-18T18:32:59.5096930+00:00","SOL","sol-updown-5m-1781807700","2585048","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","120.49","-120.49","420.49","Up","5718934818440668581581968206003614529786960382720153627545271500748299494477","0.49","137.09","0.5","10.05","0.01","49","50","667.15","285.55","16070.85","16016.67","1781807571693","0xec56a49dcd3ced1b7ab0924e4d158edc4ea782e17ff825d53c88e252b0a2d6ab","68.73000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","SOL","sol-updown-5m-1781807700","2585048","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","120.49","-120.49","420.49","Down","3229234571258476502341848318045383428101862893422608253097155093276200828639","0.5","10.05","0.51","137.09","0.01","50","49","285.55","667.15","16016.67","16070.85","1781807571693","0xec56a49dcd3ced1b7ab0924e4d158edc4ea782e17ff825d53c88e252b0a2d6ab","68.73000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","BTC","btc-updown-5m-1781807700","2585050","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","120.49","-120.49","420.49","Up","46402257018358606725498828349823690581856500639012482948187776046510407334125","0.5","971.94","0.51","216.12","0.01","50","49","2861.43","2392.25","73977.96","53298.08","1781807580231","0xfeb2801b5d1aaf991653b68c0833dc054e1289057bd055bd569e9b2c527774ef","62782.00000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","BTC","btc-updown-5m-1781807700","2585050","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","120.49","-120.49","420.49","Down","35139634345922391080903425544822142400697904488413383462188748186763652240871","0.49","216.12","0.5","966.94","0.01","49","50","2382.25","2856.43","53278.08","73987.96","1781807580354","0xfeb2801b5d1aaf991653b68c0833dc054e1289057bd055bd569e9b2c527774ef","62782.00000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","ETH","eth-updown-5m-1781807700","2585051","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","120.49","-120.49","420.49","Up","74461203961757261493458244738780826360022321825564372263353660790035729456590","0.48","201.44","0.49","85.05","0.01","48","51","1339.22","394.20","25687.32","25604.60","1781807579049","0xa91660566b52c51d7b67f790922ac2cbb9c1a984530c2f1e8c638582fe5b9987","1685.52000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","ETH","eth-updown-5m-1781807700","2585051","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","120.49","-120.49","420.49","Down","75286087574843676929308633186286345137325290048145693264847879249489792447013","0.51","85.05","0.52","201.44","0.01","51","48","394.20","1339.22","25604.60","25687.32","1781807579049","0xa91660566b52c51d7b67f790922ac2cbb9c1a984530c2f1e8c638582fe5b9987","1685.52000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","BTC","btc-updown-5m-1781808000","2585540","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","420.49","-420.49","720.49","Up","68879465934683457163131433626470896869720839796689695720987328811090538744534","0.5","183.02","0.51","216.26","0.01","50","49","1019.60","1447.82","45442.81","45309.79","1781807572136","0x37dff2886c68fce27cd0e881f9ba4b661221c1681afbb9b5ccf46d9807da43e7","62782.00000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","BTC","btc-updown-5m-1781808000","2585540","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","420.49","-420.49","720.49","Down","90994024001936624995449612087221105721743657631296606584972031902449014752715","0.49","216.26","0.5","183.02","0.01","49","50","1447.82","1019.60","45309.79","45442.81","1781807572136","0x37dff2886c68fce27cd0e881f9ba4b661221c1681afbb9b5ccf46d9807da43e7","62782.00000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","ETH","eth-updown-5m-1781808000","2585542","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","420.49","-420.49","720.49","Up","49849740713050321516107817410296468449911255652199205726679896866087747161393","0.49","1010","0.51","10","0.02","49","49","1440.28","290.28","25526.34","24537.72","1781807505261","0xc05fc868141ee0eae60f092abb7ecfb0de2dfb564074f18fefa847aadbfba555","1685.52000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","ETH","eth-updown-5m-1781808000","2585542","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","420.49","-420.49","720.49","Down","17591791386811154609095965976303693564520569177422496092498652550151428769695","0.49","10","0.51","1010","0.02","49","49","290.28","1440.28","24537.72","25526.34","1781807505261","0xc05fc868141ee0eae60f092abb7ecfb0de2dfb564074f18fefa847aadbfba555","1685.52000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","SOL","sol-updown-5m-1781808000","2585543","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","420.49","-420.49","720.49","Up","33883635556343746924049866166209953032521320774560384687032719094764384424169","0.48","5.07","0.52","3.14","0.04","48","48","464.26","462.33","12530.00","12458.07","1781807547101","0x8ea26f6fb06e218ad5a9ed6ab3e8175ea846920303fde49cb2f463f33415c44b","68.73000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","SOL","sol-updown-5m-1781808000","2585543","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","420.49","-420.49","720.49","Down","84425178885795678785795856280303190499382832162788080471884105518012716799398","0.48","3.14","0.52","5.07","0.04","48","48","462.33","464.26","12458.07","12530.00","1781807547101","0x8ea26f6fb06e218ad5a9ed6ab3e8175ea846920303fde49cb2f463f33415c44b","68.73000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","BTC","btc-updown-5m-1781808300","2585640","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","720.49","-720.49","1020.49","Up","96824105467343580693139780796131495794995377592943523159760401295298802171896","0.5","180.6","0.51","253.62","0.01","50","49","846.98","1254.07","42000.72","41518.81","1781807576381","0x276fe565b84e6f769293da985dc3b180e0cbecbff90c2eaa0bd8dadba73ab8c8","62782.00000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","BTC","btc-updown-5m-1781808300","2585640","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","720.49","-720.49","1020.49","Down","26034517743168909246241273147224929566684869610305877377037263223183270955032","0.49","253.62","0.5","180.6","0.01","49","50","1254.07","846.98","41518.81","42000.72","1781807576381","0x276fe565b84e6f769293da985dc3b180e0cbecbff90c2eaa0bd8dadba73ab8c8","62782.00000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","ETH","eth-updown-5m-1781808300","2585643","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","720.49","-720.49","1020.49","Up","102474497961668922711347552769699220123299855671283242332791480799824046437372","0.49","10","0.51","10","0.02","49","49","445.28","295.28","23344.85","23329.85","1781807556249","0x840a534e31b8aa9e3be0f55d32ac4df7d6ce18a9f83dbd0d9692bff516647896","1685.52000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","ETH","eth-updown-5m-1781808300","2585643","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","720.49","-720.49","1020.49","Down","33125718133241705192250673813857380107029209118508563554468406354215970429790","0.49","10","0.51","10","0.02","49","49","295.28","445.28","23329.85","23344.85","1781807556249","0x840a534e31b8aa9e3be0f55d32ac4df7d6ce18a9f83dbd0d9692bff516647896","1685.52000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","SOL","sol-updown-5m-1781808300","2585647","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","720.49","-720.49","1020.49","Up","78180369598222530494496686105271237794359355229256172907874710701699819593202","0.49","5","0.51","5","0.02","49","49","329.13","179.13","11398.35","11398.35","1781807547261","0x1f845170ad7636d870a6fd8677ea6ba340c9ae41df2ae093d51870e11f629bb5","68.73000000",,,""
"1","2026-06-18T18:32:59.5096930+00:00","SOL","sol-updown-5m-1781808300","2585647","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","720.49","-720.49","1020.49","Down","38718264108816871162926615169095462346059506567975488925103461747350867366676","0.49","5","0.51","5","0.02","49","49","179.13","329.13","11398.35","11398.35","1781807547261","0x1f845170ad7636d870a6fd8677ea6ba340c9ae41df2ae093d51870e11f629bb5","68.73000000",,,""
"2","2026-06-18T18:33:17.3151216+00:00","SOL","sol-updown-5m-1781807700","2585048","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","102.685","-102.685","402.685","Up","5718934818440668581581968206003614529786960382720153627545271500748299494477","0.49","188.11","0.5","10.05","0.01","49","50","633.17","265.55","15981.87","15956.67","1781807588523","0xec56a49dcd3ced1b7ab0924e4d158edc4ea782e17ff825d53c88e252b0a2d6ab","68.71000000",,,""
