row_type	sheet_name	asset_symbol	direction	strategy_code	strategy_name	report_date	bet_count	win_count	loss_count	pnl_current_usd	pnl_no_above_0_5_usd	pnl_market_above_0_5_usd	above_market_orders	self_capped_orders
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_1_instant	BTC Up or Down 5m Down 1 Diff Instant	2026-06-08	79	37	42	-23.71780000	-19.30210000	-23.71780000	42	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_1_instant	BTC Up or Down 5m Down 1 Diff Instant	2026-06-09	67	31	36	-17.20210000	-28.22700000	-17.20210000	24	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_10_instant	BTC Up or Down 5m Down 10 Diff Instant	2026-06-09	20	7	13	-14.48050000	-14.48050000	-14.48050000	0	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_2_instant	BTC Up or Down 5m Down 2 Diff Instant	2026-06-08	48	22	26	-18.56640000	-11.53280000	-18.56640000	29	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_2_instant	BTC Up or Down 5m Down 2 Diff Instant	2026-06-09	47	19	28	-24.59140000	-30.71190000	-24.59140000	12	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_3_instant	BTC Up or Down 5m Down 3 Diff Instant	2026-06-08	30	11	19	-28.34340000	-18.62260000	-28.34340000	18	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_3_instant	BTC Up or Down 5m Down 3 Diff Instant	2026-06-09	39	13	26	-36.65010000	-35.82120000	-36.65010000	5	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_4_instant	BTC Up or Down 5m Down 4 Diff Instant	2026-06-08	22	8	14	-19.80390000	-12.80050000	-19.80390000	12	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_4_instant	BTC Up or Down 5m Down 4 Diff Instant	2026-06-09	36	12	24	-34.17630000	-33.34740000	-34.17630000	5	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_5_instant	BTC Up or Down 5m Down 5 Diff Instant	2026-06-08	15	6	9	-9.35080000	-8.79820000	-9.35080000	7	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_5_instant	BTC Up or Down 5m Down 5 Diff Instant	2026-06-09	32	10	22	-32.44210000	-32.84410000	-32.44210000	3	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_6_instant	BTC Up or Down 5m Down 6 Diff Instant	2026-06-08	6	2	4	-5.99320000	-8.00680000	-5.99320000	3	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_6_instant	BTC Up or Down 5m Down 6 Diff Instant	2026-06-09	27	9	18	-22.59310000	-24.84310000	-22.59310000	1	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_7_instant	BTC Up or Down 5m Down 7 Diff Instant	2026-06-08	3	1	2	-2.33730000	-5.00530000	-2.33730000	1	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_7_instant	BTC Up or Down 5m Down 7 Diff Instant	2026-06-09	24	8	16	-20.48080000	-20.48080000	-20.48080000	0	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_8_instant	BTC Up or Down 5m Down 8 Diff Instant	2026-06-08	1	0	1	-3.00370000	-3.00370000	-3.00370000	0	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_8_instant	BTC Up or Down 5m Down 8 Diff Instant	2026-06-09	23	7	16	-23.48080000	-23.48080000	-23.48080000	0	0
DATA	BTC_DOWN	BTC	DOWN	btc_up_down_5m_down_diff_9_instant	BTC Up or Down 5m Down 9 Diff Instant	2026-06-09	22	7	15	-20.48380000	-20.48380000	-20.48380000	0	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_1_instant	BTC Up or Down 5m Up 1 Diff Instant	2026-06-08	28	14	14	-6.33700000	-16.47640000	-6.33700000	20	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_1_instant	BTC Up or Down 5m Up 1 Diff Instant	2026-06-09	55	29	26	22.41420000	29.02620000	22.41420000	7	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_2_instant	BTC Up or Down 5m Up 2 Diff Instant	2026-06-08	12	7	5	2.30550000	0.52620000	2.30550000	10	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_2_instant	BTC Up or Down 5m Up 2 Diff Instant	2026-06-09	36	19	17	16.94960000	16.94960000	16.94960000	0	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_3_instant	BTC Up or Down 5m Up 3 Diff Instant	2026-06-08	7	4	3	1.21300000	0.52620000	1.21300000	5	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_3_instant	BTC Up or Down 5m Up 3 Diff Instant	2026-06-09	23	13	10	14.04860000	14.04860000	14.04860000	0	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_4_instant	BTC Up or Down 5m Up 4 Diff Instant	2026-06-08	1	0	1	-3.00390000	0	-3.00390000	1	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_4_instant	BTC Up or Down 5m Up 4 Diff Instant	2026-06-09	13	8	5	11.90180000	11.90180000	11.90180000	0	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_5_instant	BTC Up or Down 5m Up 5 Diff Instant	2026-06-09	8	5	3	7.98330000	7.98330000	7.98330000	0	0
DATA	BTC_UP	BTC	UP	btc_up_down_5m_up_diff_6_instant	BTC Up or Down 5m Up 6 Diff Instant	2026-06-09	2	1	1	0.55840000	0.55840000	0.55840000	0	0
DATA	ETH_DOWN	ETH	DOWN	eth_up_down_5m_down_diff_1_instant	ETH Up or Down 5m Down 1 Diff Instant	2026-06-08	40	19	21	-8.96060000	-3.97110000	-8.96060000	22	0
