"asset_symbol","market_start_epoch","market_start_utc","market_start_sofia","up_count","down_count","diff","processed_market_count","service_started_at_utc","service_started_at_sofia","db_now_utc"
"BTC","1780953300","2026-06-08 21:15:00 UTC","2026-06-09 00:15","0","2","-2","2","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780953600","2026-06-08 21:20:00 UTC","2026-06-09 00:20","1","2","-1","3","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780953900","2026-06-08 21:25:00 UTC","2026-06-09 00:25","2","2","0","4","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780954200","2026-06-08 21:30:00 UTC","2026-06-09 00:30","2","3","-1","5","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780954500","2026-06-08 21:35:00 UTC","2026-06-09 00:35","3","3","0","6","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780954800","2026-06-08 21:40:00 UTC","2026-06-09 00:40","4","3","1","7","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780955100","2026-06-08 21:45:00 UTC","2026-06-09 00:45","4","4","0","8","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780955400","2026-06-08 21:50:00 UTC","2026-06-09 00:50","4","5","-1","9","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780955700","2026-06-08 21:55:00 UTC","2026-06-09 00:55","4","6","-2","10","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780956000","2026-06-08 22:00:00 UTC","2026-06-09 01:00","4","7","-3","11","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780956300","2026-06-08 22:05:00 UTC","2026-06-09 01:05","4","8","-4","12","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780956600","2026-06-08 22:10:00 UTC","2026-06-09 01:10","4","9","-5","13","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780956900","2026-06-08 22:15:00 UTC","2026-06-09 01:15","4","10","-6","14","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780957200","2026-06-08 22:20:00 UTC","2026-06-09 01:20","5","10","-5","15","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780957500","2026-06-08 22:25:00 UTC","2026-06-09 01:25","6","10","-4","16","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780957800","2026-06-08 22:30:00 UTC","2026-06-09 01:30","6","11","-5","17","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780958100","2026-06-08 22:35:00 UTC","2026-06-09 01:35","7","11","-4","18","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780958400","2026-06-08 22:40:00 UTC","2026-06-09 01:40","7","12","-5","19","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780958700","2026-06-08 22:45:00 UTC","2026-06-09 01:45","8","12","-4","20","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780959000","2026-06-08 22:50:00 UTC","2026-06-09 01:50","9","12","-3","21","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780959300","2026-06-08 22:55:00 UTC","2026-06-09 01:55","10","12","-2","22","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780959600","2026-06-08 23:00:00 UTC","2026-06-09 02:00","10","13","-3","23","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780959900","2026-06-08 23:05:00 UTC","2026-06-09 02:05","11","13","-2","24","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780960200","2026-06-08 23:10:00 UTC","2026-06-09 02:10","12","13","-1","25","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780960500","2026-06-08 23:15:00 UTC","2026-06-09 02:15","12","14","-2","26","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780960800","2026-06-08 23:20:00 UTC","2026-06-09 02:20","13","14","-1","27","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780961100","2026-06-08 23:25:00 UTC","2026-06-09 02:25","13","15","-2","28","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780961400","2026-06-08 23:30:00 UTC","2026-06-09 02:30","13","16","-3","29","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
