"asset_symbol","market_start_utc","sampled_at_utc","counter_start_market_start_utc","up_count","down_count","diff","processed_market_count"
"BTC","2026-06-08T07:40:00Z","2026-06-08T07:54:56.297Z","2026-06-08T07:50:00Z","0","0","0","0"
"ETH","2026-06-08T07:40:00Z","2026-06-08T07:54:56.297Z","2026-06-08T07:50:00Z","0","0","0","0"
"SOL","2026-06-08T07:40:00Z","2026-06-08T07:54:56.297Z","2026-06-08T07:50:00Z","0","0","0","0"
"BTC","2026-06-08T07:45:00Z","2026-06-08T07:59:59.941Z","2026-06-08T07:50:00Z","0","0","0","0"
"ETH","2026-06-08T07:45:00Z","2026-06-08T07:59:59.941Z","2026-06-08T07:50:00Z","0","0","0","0"
"SOL","2026-06-08T07:45:00Z","2026-06-08T07:59:59.941Z","2026-06-08T07:50:00Z","0","0","0","0"
"BTC","2026-06-08T07:50:00Z","2026-06-08T08:04:58.952Z","2026-06-08T07:50:00Z","0","0","0","0"
"ETH","2026-06-08T07:50:00Z","2026-06-08T08:04:58.952Z","2026-06-08T07:50:00Z","0","0","0","0"
"SOL","2026-06-08T07:50:00Z","2026-06-08T08:04:58.952Z","2026-06-08T07:50:00Z","0","0","0","0"
"BTC","2026-06-08T07:55:00Z","2026-06-08T08:09:50.320Z","2026-06-08T07:50:00Z","1","0","1","1"
"ETH","2026-06-08T07:55:00Z","2026-06-08T08:09:50.320Z","2026-06-08T07:50:00Z","1","0","1","1"
"SOL","2026-06-08T07:55:00Z","2026-06-08T08:09:50.320Z","2026-06-08T07:50:00Z","1","0","1","1"
"BTC","2026-06-08T08:00:00Z","2026-06-08T08:14:53.373Z","2026-06-08T07:50:00Z","1","1","0","2"
"ETH","2026-06-08T08:00:00Z","2026-06-08T08:14:53.373Z","2026-06-08T07:50:00Z","1","1","0","2"
"SOL","2026-06-08T08:00:00Z","2026-06-08T08:14:53.373Z","2026-06-08T07:50:00Z","1","1","0","2"
"BTC","2026-06-08T08:05:00Z","2026-06-08T08:19:58.113Z","2026-06-08T07:50:00Z","2","1","1","3"
"ETH","2026-06-08T08:05:00Z","2026-06-08T08:19:58.113Z","2026-06-08T07:50:00Z","2","1","1","3"
"SOL","2026-06-08T08:05:00Z","2026-06-08T08:19:58.113Z","2026-06-08T07:50:00Z","2","1","1","3"
"BTC","2026-06-08T08:10:00Z","2026-06-08T08:24:55.989Z","2026-06-08T07:50:00Z","2","2","0","4"
"ETH","2026-06-08T08:10:00Z","2026-06-08T08:24:55.989Z","2026-06-08T07:50:00Z","2","2","0","4"
"SOL","2026-06-08T08:10:00Z","2026-06-08T08:24:55.989Z","2026-06-08T07:50:00Z","2","2","0","4"
"BTC","2026-06-08T08:15:00Z","2026-06-08T08:29:53.518Z","2026-06-08T07:50:00Z","2","3","-1","5"
"ETH","2026-06-08T08:15:00Z","2026-06-08T08:29:53.518Z","2026-06-08T07:50:00Z","2","3","-1","5"
"SOL","2026-06-08T08:15:00Z","2026-06-08T08:29:53.518Z","2026-06-08T07:50:00Z","2","3","-1","5"
"BTC","2026-06-08T08:20:00Z","2026-06-08T08:34:58.249Z","2026-06-08T07:50:00Z","2","4","-2","6"
"ETH","2026-06-08T08:20:00Z","2026-06-08T08:34:58.249Z","2026-06-08T07:50:00Z","2","4","-2","6"
"SOL","2026-06-08T08:20:00Z","2026-06-08T08:34:58.249Z","2026-06-08T07:50:00Z","2","4","-2","6"
"BTC","2026-06-08T08:25:00Z","2026-06-08T08:39:49.170Z","2026-06-08T07:50:00Z","3","4","-1","7"
"ETH","2026-06-08T08:25:00Z","2026-06-08T08:39:49.170Z","2026-06-08T07:50:00Z","3","4","-1","7"
"SOL","2026-06-08T08:25:00Z","2026-06-08T08:39:49.170Z","2026-06-08T07:50:00Z","3","4","-1","7"
"BTC","2026-06-08T08:30:00Z","2026-06-08T08:43:02.886Z","2026-06-08T07:50:00Z","4","4","0","8"
"ETH","2026-06-08T08:30:00Z","2026-06-08T08:43:02.886Z","2026-06-08T07:50:00Z","4","4","0","8"
"SOL","2026-06-08T08:30:00Z","2026-06-08T08:43:02.886Z","2026-06-08T07:50:00Z","4","4","0","8"
"BTC","2026-06-08T08:35:00Z","2026-06-08T08:49:55.922Z","2026-06-08T07:50:00Z","4","5","-1","9"
"ETH","2026-06-08T08:35:00Z","2026-06-08T08:49:55.922Z","2026-06-08T07:50:00Z","4","5","-1","9"
"SOL","2026-06-08T08:35:00Z","2026-06-08T08:49:55.922Z","2026-06-08T07:50:00Z","4","5","-1","9"
"BTC","2026-06-08T08:40:00Z","2026-06-08T08:54:59.420Z","2026-06-08T07:50:00Z","5","5","0","10"
"ETH","2026-06-08T08:40:00Z","2026-06-08T08:54:59.420Z","2026-06-08T07:50:00Z","4","6","-2","10"
"SOL","2026-06-08T08:40:00Z","2026-06-08T08:54:59.420Z","2026-06-08T07:50:00Z","5","5","0","10"
"BTC","2026-06-08T08:45:00Z","2026-06-08T08:59:57.317Z","2026-06-08T07:50:00Z","5","6","-1","11"
"ETH","2026-06-08T08:45:00Z","2026-06-08T08:59:57.317Z","2026-06-08T07:50:00Z","4","7","-3","11"
"SOL","2026-06-08T08:45:00Z","2026-06-08T08:59:57.317Z","2026-06-08T07:50:00Z","5","6","-1","11"
"BTC","2026-06-08T08:50:00Z","2026-06-08T09:04:53.255Z","2026-06-08T07:50:00Z","5","7","-2","12"
"ETH","2026-06-08T08:50:00Z","2026-06-08T09:04:53.255Z","2026-06-08T07:50:00Z","4","8","-4","12"
"SOL","2026-06-08T08:50:00Z","2026-06-08T09:04:53.255Z","2026-06-08T07:50:00Z","5","7","-2","12"
"BTC","2026-06-08T08:55:00Z","2026-06-08T09:09:55.931Z","2026-06-08T07:50:00Z","6","7","-1","13"
"ETH","2026-06-08T08:55:00Z","2026-06-08T09:09:55.931Z","2026-06-08T07:50:00Z","4","9","-5","13"
"SOL","2026-06-08T08:55:00Z","2026-06-08T09:09:55.931Z","2026-06-08T07:50:00Z","6","7","-1","13"
"BTC","2026-06-08T09:00:00Z","2026-06-08T09:14:55.891Z","2026-06-08T07:50:00Z","7","7","0","14"
"ETH","2026-06-08T09:00:00Z","2026-06-08T09:14:55.891Z","2026-06-08T07:50:00Z","5","9","-4","14"
"SOL","2026-06-08T09:00:00Z","2026-06-08T09:14:55.891Z","2026-06-08T07:50:00Z","7","7","0","14"
