asset_symbol,market_start_utc,sampled_at_utc,counter_start_market_start_utc,up_count,down_count,diff,diff_count,processed_market_count,counter_initialized,history_fetch_failed
"BTC","2026-06-09T00:00:00Z","2026-06-09T00:09:56Z","2026-06-08T21:10:00Z",17,18,-1,-78,35,true,false
"ETH","2026-06-09T00:00:00Z","2026-06-09T00:09:56Z","2026-06-08T21:10:00Z",16,19,-3,-34,35,true,false
"SOL","2026-06-09T00:00:00Z","2026-06-09T00:09:56Z","2026-06-08T21:10:00Z",16,19,-3,-156,35,true,false
"BTC","2026-06-09T00:05:00Z","2026-06-09T00:14:59Z","2026-06-08T21:10:00Z",17,19,-2,-80,36,true,false
"ETH","2026-06-09T00:05:00Z","2026-06-09T00:14:59Z","2026-06-08T21:10:00Z",16,20,-4,-38,36,true,false
"SOL","2026-06-09T00:05:00Z","2026-06-09T00:14:59Z","2026-06-08T21:10:00Z",16,20,-4,-160,36,true,false
"BTC","2026-06-09T00:10:00Z","2026-06-09T00:19:59Z","2026-06-08T21:10:00Z",17,20,-3,-83,37,true,false
"ETH","2026-06-09T00:10:00Z","2026-06-09T00:19:59Z","2026-06-08T21:10:00Z",17,20,-3,-41,37,true,false
"SOL","2026-06-09T00:10:00Z","2026-06-09T00:19:59Z","2026-06-08T21:10:00Z",16,21,-5,-165,37,true,false
"BTC","2026-06-09T00:15:00Z","2026-06-09T00:24:55Z","2026-06-08T21:10:00Z",17,21,-4,-87,38,true,false
"ETH","2026-06-09T00:15:00Z","2026-06-09T00:24:55Z","2026-06-08T21:10:00Z",18,20,-2,-43,38,true,false
"SOL","2026-06-09T00:15:00Z","2026-06-09T00:24:55Z","2026-06-08T21:10:00Z",17,21,-4,-169,38,true,false
"BTC","2026-06-09T00:20:00Z","2026-06-09T00:29:55Z","2026-06-08T21:10:00Z",17,22,-5,-92,39,true,false
"ETH","2026-06-09T00:20:00Z","2026-06-09T00:29:55Z","2026-06-08T21:10:00Z",18,21,-3,-46,39,true,false
"SOL","2026-06-09T00:20:00Z","2026-06-09T00:29:55Z","2026-06-08T21:10:00Z",17,22,-5,-174,39,true,false
"BTC","2026-06-09T00:25:00Z","2026-06-09T00:34:56Z","2026-06-08T21:10:00Z",17,23,-6,-98,40,true,false
"ETH","2026-06-09T00:25:00Z","2026-06-09T00:34:56Z","2026-06-08T21:10:00Z",18,22,-4,-50,40,true,false
"SOL","2026-06-09T00:25:00Z","2026-06-09T00:34:56Z","2026-06-08T21:10:00Z",17,23,-6,-180,40,true,false
"BTC","2026-06-09T00:30:00Z","2026-06-09T00:39:54Z","2026-06-08T21:10:00Z",18,23,-5,-103,41,true,false
"ETH","2026-06-09T00:30:00Z","2026-06-09T00:39:54Z","2026-06-08T21:10:00Z",18,23,-5,-55,41,true,false
"SOL","2026-06-09T00:30:00Z","2026-06-09T00:39:54Z","2026-06-08T21:10:00Z",17,24,-7,-187,41,true,false
"BTC","2026-06-09T00:35:00Z","2026-06-09T00:44:52Z","2026-06-08T21:10:00Z",18,24,-6,-109,42,true,false
"ETH","2026-06-09T00:35:00Z","2026-06-09T00:44:52Z","2026-06-08T21:10:00Z",18,24,-6,-61,42,true,false
"SOL","2026-06-09T00:35:00Z","2026-06-09T00:44:52Z","2026-06-08T21:10:00Z",17,25,-8,-195,42,true,false
"BTC","2026-06-09T00:40:00Z","2026-06-09T00:49:44Z","2026-06-08T21:10:00Z",19,24,-5,-114,43,true,false
"ETH","2026-06-09T00:40:00Z","2026-06-09T00:49:44Z","2026-06-08T21:10:00Z",19,24,-5,-66,43,true,false
"SOL","2026-06-09T00:40:00Z","2026-06-09T00:49:44Z","2026-06-08T21:10:00Z",18,25,-7,-202,43,true,false
"BTC","2026-06-09T00:45:00Z","2026-06-09T00:54:58Z","2026-06-08T21:10:00Z",19,25,-6,-120,44,true,false
"ETH","2026-06-09T00:45:00Z","2026-06-09T00:54:58Z","2026-06-08T21:10:00Z",19,25,-6,-72,44,true,false
"SOL","2026-06-09T00:45:00Z","2026-06-09T00:54:58Z","2026-06-08T21:10:00Z",18,26,-8,-210,44,true,false
"BTC","2026-06-09T00:50:00Z","2026-06-09T00:59:57Z","2026-06-08T21:10:00Z",20,25,-5,-125,45,true,false
"ETH","2026-06-09T00:50:00Z","2026-06-09T00:59:57Z","2026-06-08T21:10:00Z",20,25,-5,-77,45,true,false
"SOL","2026-06-09T00:50:00Z","2026-06-09T00:59:57Z","2026-06-08T21:10:00Z",19,26,-7,-217,45,true,false
"BTC","2026-06-09T00:55:00Z","2026-06-09T01:04:59Z","2026-06-08T21:10:00Z",21,25,-4,-129,46,true,false
"ETH","2026-06-09T00:55:00Z","2026-06-09T01:04:59Z","2026-06-08T21:10:00Z",20,26,-6,-83,46,true,false
"SOL","2026-06-09T00:55:00Z","2026-06-09T01:04:59Z","2026-06-08T21:10:00Z",19,27,-8,-225,46,true,false
"BTC","2026-06-09T01:00:00Z","2026-06-09T01:09:56Z","2026-06-08T21:10:00Z",22,25,-3,-132,47,true,false
"ETH","2026-06-09T01:00:00Z","2026-06-09T01:09:56Z","2026-06-08T21:10:00Z",21,26,-5,-88,47,true,false
"SOL","2026-06-09T01:00:00Z","2026-06-09T01:09:56Z","2026-06-08T21:10:00Z",20,27,-7,-232,47,true,false
"BTC","2026-06-09T01:05:00Z","2026-06-09T01:14:58Z","2026-06-08T21:10:00Z",23,25,-2,-134,48,true,false
"ETH","2026-06-09T01:05:00Z","2026-06-09T01:14:58Z","2026-06-08T21:10:00Z",21,27,-6,-94,48,true,false
"SOL","2026-06-09T01:05:00Z","2026-06-09T01:14:58Z","2026-06-08T21:10:00Z",21,27,-6,-238,48,true,false
"BTC","2026-06-09T01:10:00Z","2026-06-09T01:19:59Z","2026-06-08T21:10:00Z",24,25,-1,-135,49,true,false
"ETH","2026-06-09T01:10:00Z","2026-06-09T01:19:59Z","2026-06-08T21:10:00Z",22,27,-5,-99,49,true,false
"SOL","2026-06-09T01:10:00Z","2026-06-09T01:19:59Z","2026-06-08T21:10:00Z",22,27,-5,-243,49,true,false
"BTC","2026-06-09T01:15:00Z","2026-06-09T01:24:55Z","2026-06-08T21:10:00Z",25,25,0,-135,50,true,false
"ETH","2026-06-09T01:15:00Z","2026-06-09T01:24:55Z","2026-06-08T21:10:00Z",23,27,-4,-103,50,true,false
"SOL","2026-06-09T01:15:00Z","2026-06-09T01:24:55Z","2026-06-08T21:10:00Z",23,27,-4,-247,50,true,false
"BTC","2026-06-09T01:20:00Z","2026-06-09T01:29:56Z","2026-06-08T21:10:00Z",26,25,1,-134,51,true,false
"ETH","2026-06-09T01:20:00Z","2026-06-09T01:29:56Z","2026-06-08T21:10:00Z",24,27,-3,-106,51,true,false
"SOL","2026-06-09T01:20:00Z","2026-06-09T01:29:56Z","2026-06-08T21:10:00Z",24,27,-3,-250,51,true,false
"BTC","2026-06-09T01:25:00Z","2026-06-09T01:34:42Z","2026-06-08T21:10:00Z",26,26,0,-134,52,true,false
"ETH","2026-06-09T01:25:00Z","2026-06-09T01:34:42Z","2026-06-08T21:10:00Z",24,28,-4,-110,52,true,false
"SOL","2026-06-09T01:25:00Z","2026-06-09T01:34:42Z","2026-06-08T21:10:00Z",25,27,-2,-252,52,true,false
"BTC","2026-06-09T01:30:00Z","2026-06-09T01:39:42Z","2026-06-08T21:10:00Z",27,26,1,-133,53,true,false
"ETH","2026-06-09T01:30:00Z","2026-06-09T01:39:42Z","2026-06-08T21:10:00Z",25,28,-3,-113,53,true,false
"SOL","2026-06-09T01:30:00Z","2026-06-09T01:39:42Z","2026-06-08T21:10:00Z",26,27,-1,-253,53,true,false
"BTC","2026-06-09T01:35:00Z","2026-06-09T01:44:54Z","2026-06-08T21:10:00Z",27,27,0,-133,54,true,false
"ETH","2026-06-09T01:35:00Z","2026-06-09T01:44:54Z","2026-06-08T21:10:00Z",25,29,-4,-117,54,true,false
"SOL","2026-06-09T01:35:00Z","2026-06-09T01:44:54Z","2026-06-08T21:10:00Z",26,28,-2,-255,54,true,false
