asset_symbol	market_start_utc	sampled_at_utc	counter_start_market_start_utc	up_count	down_count	diff	diff_count	processed_market_count	counter_initialized	last_included_market_start_utc	high_water_market_start_utc	history_fetch_failed
BTC	2026-06-09T00:00:00Z	2026-06-09T00:09:56.998Z	2026-06-08T21:10:00Z	17	18	-1	-78	35	True	2026-06-09T00:00:00Z	2026-06-09T00:00:00Z	False
ETH	2026-06-09T00:00:00Z	2026-06-09T00:09:56.998Z	2026-06-08T21:10:00Z	16	19	-3	-34	35	True	2026-06-09T00:00:00Z	2026-06-09T00:00:00Z	False
SOL	2026-06-09T00:00:00Z	2026-06-09T00:09:56.998Z	2026-06-08T21:10:00Z	16	19	-3	-156	35	True	2026-06-09T00:00:00Z	2026-06-09T00:00:00Z	False
BTC	2026-06-09T00:05:00Z	2026-06-09T00:14:59.775Z	2026-06-08T21:10:00Z	17	19	-2	-80	36	True	2026-06-09T00:05:00Z	2026-06-09T00:05:00Z	False
ETH	2026-06-09T00:05:00Z	2026-06-09T00:14:59.775Z	2026-06-08T21:10:00Z	16	20	-4	-38	36	True	2026-06-09T00:05:00Z	2026-06-09T00:05:00Z	False
SOL	2026-06-09T00:05:00Z	2026-06-09T00:14:59.775Z	2026-06-08T21:10:00Z	16	20	-4	-160	36	True	2026-06-09T00:05:00Z	2026-06-09T00:05:00Z	False
BTC	2026-06-09T00:10:00Z	2026-06-09T00:19:59.274Z	2026-06-08T21:10:00Z	17	20	-3	-83	37	True	2026-06-09T00:10:00Z	2026-06-09T00:10:00Z	False
ETH	2026-06-09T00:10:00Z	2026-06-09T00:19:59.274Z	2026-06-08T21:10:00Z	17	20	-3	-41	37	True	2026-06-09T00:10:00Z	2026-06-09T00:10:00Z	False
SOL	2026-06-09T00:10:00Z	2026-06-09T00:19:59.274Z	2026-06-08T21:10:00Z	16	21	-5	-165	37	True	2026-06-09T00:10:00Z	2026-06-09T00:10:00Z	False
BTC	2026-06-09T00:15:00Z	2026-06-09T00:24:55.822Z	2026-06-08T21:10:00Z	17	21	-4	-87	38	True	2026-06-09T00:15:00Z	2026-06-09T00:15:00Z	False
