asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,capped_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 5 Diff Down Progress","Down","Up",5,52230,863,16268,16238,30,8147,8091,50.17243503,99392,99155,1213,1.2233372,6.10966314,10,4095,704,128,97,31,0,"2025-12-29T13:50:00.0000000+00:00","2026-06-26T22:40:00.0000000+00:00"
"BTC","BTC Up or Down 5m 4 Diff Down Progress","Down","Up",4,52230,950,18014,17982,32,9027,8955,50.2002002,112625,112370,1200,1.06790069,6.25208171,10,4781,824,140,106,34,0,"2025-12-29T11:05:00.0000000+00:00","2026-06-27T05:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 6 Diff Down Progress","Down","Up",6,52230,829,14645,14615,30,7353,7262,50.31132398,87219,87001,1197,1.37584625,5.95554797,10,3563,644,121,93,28,0,"2025-12-29T14:25:00.0000000+00:00","2026-06-26T22:35:00.0000000+00:00"
"BTC","BTC Up or Down 5m 3 Diff Down Progress","Down","Up",3,52230,1017,19912,19877,35,9971,9906,50.16350556,126912,126639,1137,0.89782768,6.37364403,10,5625,982,148,115,33,0,"2025-12-29T10:40:00.0000000+00:00","2026-06-27T06:15:00.0000000+00:00"
"BTC","BTC Up or Down 5m 7 Diff Down Progress","Down","Up",7,52230,787,13087,13059,28,6588,6471,50.44796692,76137,75939,1107,1.45774898,5.81775808,10,3104,610,112,84,26,2,"2025-12-29T20:00:00.0000000+00:00","2026-06-26T22:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 2 Diff Down Progress","Down","Up",2,52230,1076,21934,21897,37,10967,10930,50.08448646,142260,141971,1055,0.74310951,6.4858211,10,6586,1169,156,119,36,1,"2025-12-29T10:35:00.0000000+00:00","2026-06-27T06:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 8 Diff Down Progress","Down","Up",8,52230,722,11636,11609,27,5860,5749,50.47807735,66154,65974,1014,1.53696911,5.68528704,10,2685,566,106,82,24,0,"2025-12-29T20:35:00.0000000+00:00","2026-06-26T22:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,52230,1228,24157,24117,40,12111,12006,50.21768877,158759,158452,1006,0.63489259,6.57196672,10,7658,1323,166,128,38,0,"2025-12-29T00:20:00.0000000+00:00","2026-06-27T06:35:00.0000000+00:00"
"BTC","BTC Up or Down 5m 9 Diff Down Progress","Down","Up",9,52230,737,10228,10204,24,5194,5010,50.90160721,57203,57040,920,1.61290323,5.59278451,10,2310,517,97,74,23,0,"2025-12-29T20:40:00.0000000+00:00","2026-06-26T21:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 10 Diff Down Progress","Down","Up",10,52230,666,8878,8854,24,4511,4343,50.94872374,49285,49136,762,1.55079779,5.55136292,10,1950,470,90,68,22,0,"2025-12-29T20:45:00.0000000+00:00","2026-06-26T21:25:00.0000000+00:00"
