asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,above_10_multiplier_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,52230,1228,24157,24117,40,12111,12006,50.21768877,212011,211564,1776,0.83946229,8.77637952,49,7658,1571,166,135,31,0,"2025-12-29T00:20:00.0000000+00:00","2026-06-27T06:35:00.0000000+00:00"
"BTC","BTC Up or Down 5m 2 Diff Down Progress","Down","Up",2,52230,1076,21934,21897,37,10967,10930,50.08448646,187854,187447,1671,0.89145198,8.56451172,48,6586,1455,156,127,27,2,"2025-12-29T10:35:00.0000000+00:00","2026-06-27T06:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 3 Diff Down Progress","Down","Up",3,52230,1017,19912,19877,35,9971,9906,50.16350556,165920,165550,1634,0.98701299,8.33266372,47,5625,1348,148,122,26,0,"2025-12-29T10:40:00.0000000+00:00","2026-06-27T06:15:00.0000000+00:00"
"BTC","BTC Up or Down 5m 4 Diff Down Progress","Down","Up",4,52230,950,18014,17982,32,9027,8955,50.2002002,146008,145673,1569,1.07706988,8.10525147,46,4781,1242,140,113,27,0,"2025-12-29T11:05:00.0000000+00:00","2026-06-27T05:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 5 Diff Down Progress","Down","Up",5,52230,863,16268,16238,30,8147,8091,50.17243503,127994,127691,1497,1.1723614,7.8678387,45,4095,1143,128,103,25,0,"2025-12-29T13:50:00.0000000+00:00","2026-06-26T22:40:00.0000000+00:00"
"BTC","BTC Up or Down 5m 6 Diff Down Progress","Down","Up",6,52230,829,14645,14615,30,7353,7262,50.31132398,111726,111453,1441,1.29292168,7.62895186,44,3563,1056,121,97,24,0,"2025-12-29T14:25:00.0000000+00:00","2026-06-26T22:35:00.0000000+00:00"
"BTC","BTC Up or Down 5m 7 Diff Down Progress","Down","Up",7,52230,787,13087,13059,28,6588,6471,50.44796692,97081,96838,1350,1.39408084,7.41812486,43,3104,976,112,87,23,2,"2025-12-29T20:00:00.0000000+00:00","2026-06-26T22:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 8 Diff Down Progress","Down","Up",8,52230,722,11636,11609,27,5860,5749,50.47807735,83994,83779,1233,1.47172919,7.21845995,42,2685,894,106,84,22,0,"2025-12-29T20:35:00.0000000+00:00","2026-06-26T22:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 9 Diff Down Progress","Down","Up",9,52230,737,10228,10204,24,5194,5010,50.90160721,72358,72170,1122,1.5546626,7.07450137,41,2310,817,97,77,19,1,"2025-12-29T20:40:00.0000000+00:00","2026-06-26T21:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 10 Diff Down Progress","Down","Up",10,52230,666,8878,8854,24,4511,4343,50.94872374,62130,61966,938,1.51373334,6.99819779,40,1950,746,90,71,18,1,"2025-12-29T20:45:00.0000000+00:00","2026-06-26T21:25:00.0000000+00:00"
