asset,strategy_name,trigger_side,target_outcome,threshold,day_utc,entries,settled_entries,flat_entries,wins,losses,total_stake_units,settled_stake_units,pnl_units,capped_entries,max_multiplier
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2025-12-29",152,152,0,75,77,652,652,32,1,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2025-12-30",60,60,0,36,24,255,255,69,0,9
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2025-12-31",128,128,0,69,59,389,389,63,0,7
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-01",69,64,5,36,28,250,242,36,0,8
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-02",34,34,0,22,12,81,81,19,0,5
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-03",26,26,0,17,9,39,39,15,0,3
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-05",4,4,0,4,0,4,4,4,0,1
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-06",236,235,1,115,120,2026,2016,2,124,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-07",288,288,0,144,144,2880,2880,0,287,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-08",288,288,0,148,140,2544,2544,96,189,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-09",230,230,0,123,107,867,867,115,0,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-10",15,15,0,11,4,21,21,11,0,3
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-11",4,4,0,4,0,4,4,4,0,1
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-12",153,152,1,85,67,880,878,70,15,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-13",84,84,0,47,37,307,307,41,0,8
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-14",82,82,0,48,34,187,187,43,0,6
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-15",230,230,0,119,111,1079,1079,97,7,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-16",288,288,0,138,150,2731,2731,-89,246,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-17",288,283,5,132,151,2880,2830,-190,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-18",288,283,5,135,148,2880,2830,-130,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-19",288,288,0,142,146,2880,2880,-40,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-20",288,288,0,135,153,2880,2880,-180,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-21",288,287,1,147,140,2880,2870,70,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-22",288,288,0,155,133,2880,2880,220,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-23",288,288,0,150,138,2880,2880,120,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-24",288,272,16,122,150,2880,2720,-280,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-25",288,283,5,138,145,2880,2830,-70,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-26",288,288,0,148,140,2880,2880,80,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-27",288,287,1,138,149,2880,2870,-110,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-28",288,288,0,127,161,2880,2880,-340,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-29",288,288,0,132,156,2880,2880,-240,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-30",288,288,0,145,143,2880,2880,20,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-01-31",288,287,1,132,155,2880,2870,-230,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-01",288,288,0,143,145,2880,2880,-20,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-02",288,288,0,137,151,2880,2880,-140,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-03",288,288,0,139,149,2880,2880,-100,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-04",288,288,0,132,156,2880,2880,-240,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-05",288,288,0,128,160,2880,2880,-320,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-06",288,288,0,160,128,2880,2880,320,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-07",288,287,1,150,137,2880,2870,130,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-08",288,288,0,152,136,2880,2880,160,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-09",288,288,0,148,140,2880,2880,80,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-10",288,288,0,140,148,2880,2880,-80,288,10
"BTC","BTC Up or Down 5m 1 Diff Down Progress","Down","Up",1,"2026-02-11",288,288,0,141,147,2880,2880,-60,288,10
