asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,open_at_end,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,capped_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 37 Diff Up Progress","Up","Down",37,52230,2,"false",14663,14640,23,7358,7282,50.25956284,109105,108917,1349,1.2385578,7.44083748,10,9169,679,54,35,16,3,"2026-03-14T22:00:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 38 Diff Up Progress","Up","Down",38,52230,2,"false",14642,14620,22,7349,7271,50.26675787,106594,106413,1289,1.21131817,7.28001639,10,9012,670,54,35,16,3,"2026-03-14T23:40:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 39 Diff Up Progress","Up","Down",39,52230,1,"false",13406,13384,22,6712,6672,50.14943216,102620,102444,1112,1.08547109,7.65478144,10,8858,659,48,30,16,2,"2026-04-17T14:00:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 40 Diff Up Progress","Up","Down",40,52230,1,"false",13397,13375,22,6708,6667,50.15327103,100507,100336,1068,1.06442354,7.50220199,10,8680,648,48,31,16,1,"2026-04-17T14:45:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 41 Diff Up Progress","Up","Down",41,52230,1,"false",13390,13368,22,6705,6663,50.15709156,98478,98312,1032,1.04971926,7.35459298,10,8484,636,48,31,16,1,"2026-04-17T15:20:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 42 Diff Up Progress","Up","Down",42,52230,1,"false",13333,13311,22,6677,6634,50.16152055,96476,96314,994,1.03204103,7.2358809,10,8276,622,48,29,17,2,"2026-04-17T20:05:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 46 Diff Up Progress","Up","Down",46,52230,1,"false",13303,13281,22,6664,6617,50.17694451,89102,88947,983,1.10515251,6.69788769,10,7273,593,48,29,17,2,"2026-04-17T22:35:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 44 Diff Up Progress","Up","Down",44,52230,1,"false",13321,13299,22,6672,6627,50.16918565,92776,92617,963,1.03976592,6.96464229,10,7774,611,48,29,16,3,"2026-04-17T21:05:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 43 Diff Up Progress","Up","Down",43,52230,1,"false",13332,13310,22,6677,6633,50.16528926,94614,94454,952,1.00789802,7.09675968,10,8030,618,48,29,17,2,"2026-04-17T20:10:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 45 Diff Up Progress","Up","Down",45,52230,1,"false",13316,13294,22,6670,6624,50.17301038,90952,90795,945,1.04080621,6.83027936,10,7518,603,48,28,17,3,"2026-04-17T21:30:00.0000000+00:00","2026-06-03T03:05:00.0000000+00:00"
