asset,strategy_name,trigger_side,target_outcome,day_utc,entries,settled_entries,flat_entries,wins,losses,total_stake_units,settled_stake_units,pnl_units,shifts_applied,max_multiplier
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2025-12-29,32,32,0,19,13,73,73,15,10,5
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-01-29,17,17,0,9,8,36,36,4,6,3
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-01-30,17,17,0,9,8,52,52,6,4,6
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-01-31,41,41,0,23,18,87,87,13,15,4
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-02-01,2,2,0,2,0,4,4,4,0,2
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-02-02,77,77,0,39,38,392,392,16,18,12
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-02-03,22,22,0,13,9,59,59,11,6,6
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-02-04,75,75,0,47,28,160,160,42,24,4
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-02-05,52,52,0,24,28,107,107,-11,25,4
BTC,BTC Up or Down 5m Diff Down Shift Progress,Down,Up,2026-02-06,46,46,0,25,21,204,204,24,8,9
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2025-12-29,61,61,0,28,33,256,256,12,9,9
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2025-12-30,63,63,0,33,30,162,162,20,16,6
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2025-12-31,8,8,0,5,3,16,16,4,3,2
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-01,22,22,0,10,12,49,49,-3,8,4
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-02,62,62,0,35,27,181,181,29,16,8
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-03,4,4,0,1,3,8,8,-4,3,2
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-04,26,26,0,18,8,53,53,21,7,3
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-05,20,20,0,10,10,40,40,0,10,2
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-10,26,24,2,14,10,52,48,8,10,2
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-11,72,72,0,38,34,193,193,27,15,6
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-12,16,16,0,8,8,32,32,0,8,2
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-13,37,37,0,19,18,148,148,10,9,8
BTC,BTC Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-14,44,44,0,23,21,112,112,12,13,5
ETH,ETH Up or Down 5m Diff Down Shift Progress,Down,Up,2025-12-29,9,9,0,7,2,19,19,11,1,3
ETH,ETH Up or Down 5m Diff Down Shift Progress,Down,Up,2026-06-23,14,14,0,7,7,32,32,2,5,4
ETH,ETH Up or Down 5m Diff Down Shift Progress,Down,Up,2026-06-24,90,90,0,42,48,561,561,17,13,14
ETH,ETH Up or Down 5m Diff Down Shift Progress,Down,Up,2026-06-25,54,54,0,30,24,117,117,17,19,4
ETH,ETH Up or Down 5m Diff Down Shift Progress,Down,Up,2026-06-26,6,6,0,4,2,12,12,4,2,2
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2025-12-29,91,91,0,44,47,614,614,18,13,14
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2025-12-30,250,249,1,114,135,2706,2704,6,26,21
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2025-12-31,9,9,0,8,1,31,31,27,2,7
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-01,10,10,0,4,6,21,21,-3,5,3
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-02,46,46,0,26,20,144,144,20,11,8
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-03,34,34,0,20,14,69,69,13,13,3
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-04,53,53,0,30,23,114,114,18,19,4
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-05,60,59,1,27,32,215,211,9,12,7
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-06,58,58,0,29,29,152,152,0,18,6
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-07,10,10,0,8,2,29,29,21,3,6
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-11,64,63,1,35,28,134,132,20,22,3
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-13,44,44,0,22,22,120,120,10,12,6
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-14,99,99,0,48,51,589,589,19,15,15
ETH,ETH Up or Down 5m Diff Up Shift Progress,Up,Down,2026-01-15,61,61,0,30,31,240,240,12,14,8
