asset,strategy_name,diff_group,threshold,target_outcome,signal_markets,max_abs_diff_seen,instant_bets,instant_wins,instant_losses,instant_win_rate,instant_pnl_per_1usd,instant_roi_pct,instant_avg_entry_price,instant_price_above_cap,instant_missing_entry_price,instant_unsettled,strong_bets,strong_wins,strong_losses,strong_win_rate,strong_pnl_per_1usd,strong_roi_pct,strong_avg_entry_price,strong_price_above_cap,strong_missing_entry_price,strong_unsettled,binance_bets,binance_wins,binance_losses,binance_win_rate,binance_pnl_per_1usd,binance_roi_pct,binance_avg_entry_price,binance_price_above_cap,binance_missing_entry_price,binance_unsettled
"BTC","BTC Up or Down 5m Down 1 Diff Instant","Down",1,"Up",3239,17,2797,1384,1413,49.48158742,-67.95685801,-2.42963382,0.50675366,119,1,322,2917,1466,1451,50.25711347,15,0.51422695,0.5,0,0,322,3232,1605,1627,49.65965347,-22,-0.68069307,0.5,0,0,7
"BTC","BTC Up or Down 5m Down 2 Diff Instant","Down",2,"Up",1860,17,1676,818,858,48.80668258,-85.11763058,-5.07861758,0.51119332,70,0,114,1746,870,876,49.82817869,-6,-0.34364261,0.5,0,0,114,1855,925,930,49.86522911,-5,-0.26954178,0.5,0,0,5
"BTC","BTC Up or Down 5m Down 3 Diff Instant","Down",3,"Up",1080,17,965,478,487,49.53367876,-39.34425209,-4.07712457,0.51374093,40,0,75,1005,509,496,50.64676617,13,1.29353234,0.5,0,0,75,1077,539,538,50.04642526,1,0.09285051,0.5,0,0,3
"BTC","BTC Up or Down 5m Down 4 Diff Instant","Down",4,"Up",568,17,511,245,266,47.94520548,-39.42643842,-7.71554568,0.5160274,21,0,36,532,262,270,49.2481203,-8,-1.5037594,0.5,0,0,36,565,279,286,49.38053097,-7,-1.23893805,0.5,0,0,3
"BTC","BTC Up or Down 5m Down 5 Diff Instant","Down",5,"Up",361,17,324,163,161,50.30864198,-6.95641501,-2.14704167,0.50996914,13,0,24,337,173,164,51.33531157,9,2.67062315,0.5,0,0,24,359,186,173,51.81058496,13,3.62116992,0.5,0,0,2
"BTC","BTC Up or Down 5m Down 6 Diff Instant","Down",6,"Up",246,17,220,111,109,50.45454545,-4.15833228,-1.89015104,0.51104545,8,0,18,228,118,110,51.75438596,8,3.50877193,0.5,0,0,18,244,125,119,51.2295082,6,2.45901639,0.5,0,0,2
"BTC","BTC Up or Down 5m Down 7 Diff Instant","Down",7,"Up",182,17,160,80,80,50,-3.2522035,-2.03262719,0.50925,7,0,15,167,86,81,51.49700599,5,2.99401198,0.5,0,0,15,182,93,89,51.0989011,4,2.1978022,0.5,0,0,0
"BTC","BTC Up or Down 5m Down 8 Diff Instant","Down",8,"Up",131,17,115,60,55,52.17391304,1.58548452,1.37868219,0.50756522,6,0,10,121,65,56,53.71900826,9,7.43801653,0.5,0,0,10,131,72,59,54.96183206,13,9.92366412,0.5,0,0,0
"BTC","BTC Up or Down 5m Down 9 Diff Instant","Down",9,"Up",99,17,87,50,37,57.47126437,8.97277938,10.31353952,0.50965517,4,0,8,91,54,37,59.34065934,17,18.68131868,0.5,0,0,8,99,59,40,59.5959596,19,19.19191919,0.5,0,0,0
"BTC","BTC Up or Down 5m Down 10 Diff Instant","Down",10,"Up",79,17,69,39,30,56.52173913,5.6135444,8.13557159,0.51072464,4,0,6,73,43,30,58.90410959,13,17.80821918,0.5,0,0,6,79,46,33,58.2278481,13,16.4556962,0.5,0,0,0
"BTC","BTC Up or Down 5m Down 15 Diff Instant","Down",15,"Up",5,17,5,3,2,60,0.50755142,10.1510284,0.528,0,0,0,5,3,2,60,1,20,0.5,0,0,0,5,3,2,60,1,20,0.5,0,0,0
"BTC","BTC Up or Down 5m Down 20 Diff Instant","Down",20,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 25 Diff Instant","Down",25,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 30 Diff Instant","Down",30,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 35 Diff Instant","Down",35,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 40 Diff Instant","Down",40,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 45 Diff Instant","Down",45,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 50 Diff Instant","Down",50,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 55 Diff Instant","Down",55,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 60 Diff Instant","Down",60,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 65 Diff Instant","Down",65,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 70 Diff Instant","Down",70,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 75 Diff Instant","Down",75,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 80 Diff Instant","Down",80,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 85 Diff Instant","Down",85,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 90 Diff Instant","Down",90,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 95 Diff Instant","Down",95,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 100 Diff Instant","Down",100,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 105 Diff Instant","Down",105,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 110 Diff Instant","Down",110,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 115 Diff Instant","Down",115,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 120 Diff Instant","Down",120,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 125 Diff Instant","Down",125,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 130 Diff Instant","Down",130,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"BTC","BTC Up or Down 5m Down 135 Diff Instant","Down",135,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
