asset,strategy_name,diff_group,threshold,target_outcome,signal_markets,max_abs_diff_seen,instant_bets,instant_wins,instant_losses,instant_win_rate,instant_pnl_per_1usd,instant_roi_pct,instant_avg_entry_price,instant_price_above_cap,instant_missing_entry_price,instant_unsettled,strong_bets,strong_wins,strong_losses,strong_win_rate,strong_pnl_per_1usd,strong_roi_pct,strong_avg_entry_price,strong_price_above_cap,strong_missing_entry_price,strong_unsettled,binance_bets,binance_wins,binance_losses,binance_win_rate,binance_pnl_per_1usd,binance_roi_pct,binance_avg_entry_price,binance_price_above_cap,binance_missing_entry_price,binance_unsettled
"BTC","BTC Up or Down 5m Down 1 Diff Instant","Down",1,"Up",3144,77,2671,1314,1357,49.19505803,-13.29823038,-0.49787459,0.49385998,165,1,307,2837,1429,1408,50.37010927,21,0.74021854,0.5,0,0,307,3141,1583,1558,50.39796243,25,0.79592486,0.5,0,0,3
"BTC","BTC Up or Down 5m Down 2 Diff Instant","Down",2,"Up",3010,77,2557,1261,1296,49.31560422,-4.20957599,-0.16462949,0.49401251,158,1,294,2716,1370,1346,50.44182622,24,0.88365243,0.5,0,0,294,3007,1517,1490,50.44895244,27,0.89790489,0.5,0,0,3
"BTC","BTC Up or Down 5m Down 3 Diff Instant","Down",3,"Up",2860,77,2433,1201,1232,49.36292643,-0.76150586,-0.03129905,0.49355528,155,1,271,2589,1309,1280,50.5600618,29,1.1201236,0.5,0,0,271,2857,1439,1418,50.36751838,21,0.73503675,0.5,0,0,3
"BTC","BTC Up or Down 5m Down 4 Diff Instant","Down",4,"Up",2752,77,2336,1138,1198,48.71575342,-26.55958219,-1.13696842,0.49296661,153,1,262,2490,1244,1246,49.95983936,-2,-0.08032129,0.5,0,0,262,2750,1374,1376,49.96363636,-2,-0.07272727,0.5,0,0,2
"BTC","BTC Up or Down 5m Down 5 Diff Instant","Down",5,"Up",2678,77,2275,1107,1168,48.65934066,-28.02371959,-1.23181185,0.49297143,148,1,254,2424,1211,1213,49.95874587,-2,-0.08250825,0.5,0,0,254,2676,1337,1339,49.96263079,-2,-0.07473842,0.5,0,0,2
"BTC","BTC Up or Down 5m Down 6 Diff Instant","Down",6,"Up",2592,77,2207,1080,1127,48.93520616,-12.5449514,-0.56841647,0.49314907,142,1,242,2350,1179,1171,50.17021277,8,0.34042553,0.5,0,0,242,2590,1291,1299,49.84555985,-8,-0.30888031,0.5,0,0,2
"BTC","BTC Up or Down 5m Down 7 Diff Instant","Down",7,"Up",2495,77,2128,1042,1086,48.96616541,-9.80381417,-0.46070555,0.49297932,139,1,227,2268,1138,1130,50.17636684,8,0.35273369,0.5,0,0,227,2493,1242,1251,49.81949458,-9,-0.36101083,0.5,0,0,2
"BTC","BTC Up or Down 5m Down 8 Diff Instant","Down",8,"Up",2384,77,2035,1003,1032,49.28746929,3.80034702,0.18674924,0.49338084,137,1,211,2173,1098,1075,50.52922227,23,1.05844455,0.5,0,0,211,2382,1193,1189,50.08396306,4,0.16792611,0.5,0,0,2
"BTC","BTC Up or Down 5m Down 9 Diff Instant","Down",9,"Up",2278,77,1938,955,983,49.27760578,-0.05305925,-0.00273784,0.49363777,130,1,209,2069,1044,1025,50.45915901,19,0.91831803,0.5,0,0,209,2276,1138,1138,50,0,0,0.5,0,0,2
"BTC","BTC Up or Down 5m Down 10 Diff Instant","Down",10,"Up",2197,77,1864,911,953,48.87339056,-14.67366804,-0.78721395,0.49376073,123,1,209,1988,995,993,50.05030181,2,0.10060362,0.5,0,0,209,2196,1090,1106,49.63570128,-16,-0.72859745,0.5,0,0,1
