created_utc	submitted_utc	expires_utc	updated_utc	market_end_utc	status	response_status	cancel_status	order_type	post_only	price	size_shares	filled_size	remaining_size	average_fill_price	filled_notional_usd	cost_basis_usd	decision_source	decision_order_ttl_seconds	configured_order_ttl_seconds	market_end_expire_before_seconds	decision_gtd_expiration_utc	decision_cancel_deadline_utc	clob_wire_gtd_expiration_utc	instant_best_bid	instant_best_ask	instant_spread	quote_age_ms	decision_delay_ms	seconds_expire_before_market_end	actual_local_ttl_seconds	updated_after_expiry_seconds	raw_response_excerpt	market_slug	order_id	live_order_id
2026-06-16T06:20:00.1777220Z	2026-06-16T06:20:12.7778410Z	2026-06-16T06:24:00.0000000Z	2026-06-16T06:24:00.5035970Z	2026-06-16T06:25:00.0000000Z	Cancelled	live	cancelled	GTD	False	0.61	6.56	0	6.56		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	240	120	60	2026-06-16T06:24:00.0000000+00:00	2026-06-16T06:24:00.0000000+00:00	2026-06-16T06:25:00.0000000+00:00	0.6	0.61	0.01	979	177.7224	60	239.822278	0.503597	{"canceled": ["0xf15535614a9a1afc945f2f577ffaf570ab5a048da5c1f65db2b14c3a5f794dc5"], "not_canceled": {}}	eth-updown-5m-1781590800	0xf15535614a9a1afc945f2f577ffaf570ab5a048da5c1f65db2b14c3a5f794dc5	1b16ed89-b2a8-4533-9120-cbb2fd552e89
2026-06-16T14:05:00.6568260Z	2026-06-16T14:05:19.0990470Z	2026-06-16T14:09:00.0000000Z	2026-06-16T14:09:02.7313490Z	2026-06-16T14:10:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.4	7.5	0	7.5		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	240	120	60	2026-06-16T14:09:00.0000000+00:00	2026-06-16T14:09:00.0000000+00:00	2026-06-16T14:10:00.0000000+00:00	0.39	0.4	0.01	1	656.8262	60	239.343174	2.731349	{"canceled": [], "not_canceled": {"0x70cde172c3c9c9a65aa71771b3257772d592db66c9f22849c594b9c97cbd25bd": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781618700	0x70cde172c3c9c9a65aa71771b3257772d592db66c9f22849c594b9c97cbd25bd	c7696dbc-b2e2-495f-bb41-f3452b7f46a5
2026-06-16T16:30:06.2307500Z	2026-06-16T16:31:15.1989950Z	2026-06-16T16:34:00.0000000Z	2026-06-16T16:34:03.4683220Z	2026-06-16T16:35:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.57	7.02	0	7.02		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	234	120	60	2026-06-16T16:34:00.0000000+00:00	2026-06-16T16:34:00.0000000+00:00	2026-06-16T16:35:00.0000000+00:00	0.56	0.57	0.01	1	6230.7508	60	233.76925	3.468322	{"canceled": [], "not_canceled": {"0x9e2d47939538c2f636cea20fd6753b78ecdcd958b622104d6df227416ca65c82": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781627400	0x9e2d47939538c2f636cea20fd6753b78ecdcd958b622104d6df227416ca65c82	b12ddb00-40d9-4cd2-9ae2-7f2ff81cd336
2026-06-16T17:25:03.6149680Z	2026-06-16T17:25:44.9163240Z	2026-06-16T17:29:00.0000000Z	2026-06-16T17:29:13.7668280Z	2026-06-16T17:30:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.57	7.02	0	7.02		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	237	120	60	2026-06-16T17:29:00.0000000+00:00	2026-06-16T17:29:00.0000000+00:00	2026-06-16T17:30:00.0000000+00:00	0.56	0.57	0.01	17	3614.9682	60	236.385032	13.766828	{"canceled": [], "not_canceled": {"0xa151a275d3d4580634773ce912123bd178c0fb5b599d5264608cc07914a2c5a8": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781630700	0xa151a275d3d4580634773ce912123bd178c0fb5b599d5264608cc07914a2c5a8	891fb058-a1ad-4080-ac9d-f9623923828b
2026-06-16T22:15:04.4531740Z	2026-06-16T22:15:10.7484860Z	2026-06-16T22:19:00.0000000Z	2026-06-16T22:19:05.1352330Z	2026-06-16T22:20:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.45	6.67	0	6.67		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	236	120	60	2026-06-16T22:19:00.0000000+00:00	2026-06-16T22:19:00.0000000+00:00	2026-06-16T22:20:00.0000000+00:00	0.44	0.45	0.01	1	4453.1749	60	235.546826	5.135233	{"canceled": [], "not_canceled": {"0xd85d6c8d7274ebbcb68c381f09367799441a18f624f0e81f0b4338c28370503d": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781648100	0xd85d6c8d7274ebbcb68c381f09367799441a18f624f0e81f0b4338c28370503d	540c065c-fec7-4ac7-b7bc-348689abbbc8
2026-06-17T05:07:54.9262270Z	2026-06-17T05:08:03.7629270Z	2026-06-17T05:09:00.0000000Z	2026-06-17T05:09:03.5043520Z	2026-06-17T05:10:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.97	6.19	0	6.19		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	66	120	60	2026-06-17T05:09:00.0000000+00:00	2026-06-17T05:09:00.0000000+00:00	2026-06-17T05:10:00.0000000+00:00	0.96	0.97	0.01	1	174926.2279	60	65.073773	3.504352	{"canceled": [], "not_canceled": {"0xb0b31609a277fa1a92a4fd0e82d5d11ab55427e7555abfaa45a4c522759ec124": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781672700	0xb0b31609a277fa1a92a4fd0e82d5d11ab55427e7555abfaa45a4c522759ec124	d1cf0010-37f6-4e06-a9a2-fd6a5b5164c5
2026-06-17T09:50:13.7355740Z	2026-06-17T09:50:18.6542000Z	2026-06-17T09:54:00.0000000Z	2026-06-17T09:54:03.6085690Z	2026-06-17T09:55:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.47	6.39	0	6.39		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	227	120	60	2026-06-17T09:54:00.0000000+00:00	2026-06-17T09:54:00.0000000+00:00	2026-06-17T09:55:00.0000000+00:00	0.46	0.47	0.01	1	13735.5748	60	226.264426	3.608569	{"canceled": [], "not_canceled": {"0x4d7a6b87aa55edd2acb008f5e8034568baa3ea6b7fc586df1a5f199b7609ff18": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781689800	0x4d7a6b87aa55edd2acb008f5e8034568baa3ea6b7fc586df1a5f199b7609ff18	667b18dd-5adc-4716-8a98-b469725a2bd4
2026-06-17T13:15:03.4071920Z	2026-06-17T13:15:07.1797730Z	2026-06-17T13:19:00.0000000Z	2026-06-17T13:19:02.5521740Z	2026-06-17T13:20:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.58	6.9	0	6.9		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	237	120	60	2026-06-17T13:19:00.0000000+00:00	2026-06-17T13:19:00.0000000+00:00	2026-06-17T13:20:00.0000000+00:00	0.52	0.53	0.01	1	3407.1929	60	236.592808	2.552174	{"canceled": [], "not_canceled": {"0xfe46f316b43fa6541b4276e04571db244013088103b30d844e5d61816dd08950": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781702100	0xfe46f316b43fa6541b4276e04571db244013088103b30d844e5d61816dd08950	a2b9abcd-2330-412a-a2dd-976dcb7fc584
2026-06-17T14:56:27.2226940Z	2026-06-17T14:56:49.0405480Z	2026-06-17T14:59:00.0000000Z	2026-06-17T14:59:02.8231710Z	2026-06-17T15:00:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.75	6.67	0	6.67		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	153	120	60	2026-06-17T14:59:00.0000000+00:00	2026-06-17T14:59:00.0000000+00:00	2026-06-17T15:00:00.0000000+00:00	0.74	0.75	0.01	1	87222.694	60	152.777306	2.823171	{"canceled": [], "not_canceled": {"0x384408b7f1c3ef00ffebc6b174fd993bab1da7e76db99c2c3cbf69f390fadb82": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781708100	0x384408b7f1c3ef00ffebc6b174fd993bab1da7e76db99c2c3cbf69f390fadb82	384cd29b-b259-4871-ae5e-4b961422cd43
2026-06-17T16:05:07.8155700Z	2026-06-17T16:05:22.5132450Z	2026-06-17T16:09:00.0000000Z	2026-06-17T16:09:01.2590480Z	2026-06-17T16:10:00.0000000Z	CancelFailed	live	order can't be found - already canceled or matched	GTD	False	0.44	6.82	0	6.82		0	0	clob_close_book_price_evidence_previous_crypto_move_threshold	233	120	60	2026-06-17T16:09:00.0000000+00:00	2026-06-17T16:09:00.0000000+00:00	2026-06-17T16:10:00.0000000+00:00	0.43	0.44	0.01	1	7815.5705	60	232.18443	1.259048	{"canceled": [], "not_canceled": {"0x6a4976c4663e84fec806b9b70b60f5dbfba25092934739eeb5b84ada0c0cf27a": "order can't be found - already canceled or matched"}}	eth-updown-5m-1781712300	0x6a4976c4663e84fec806b9b70b60f5dbfba25092934739eeb5b84ada0c0cf27a	3c813312-af86-4020-bc86-c5a4f7c7bd89
