updated_at_utc	settled_at_utc	status	settlement_source	rows_count	won_count	lost_count	positive_pnl_usd	loss_abs_pnl_usd	realized_pnl_usd
2026-06-17T22:32:19.4964000+00:00	2026-06-17T22:32:19.4964000+00:00	Matched	gamma_resolved_metadata	1	0	1	0	2.001564	-2.001564
2026-06-17T22:18:08.4727310+00:00	2026-06-17T22:18:08.4727310+00:00	Matched	gamma_resolved_metadata	1	1	0	49.5	0	49.5
2026-06-17T21:31:42.2949070+00:00	2026-06-17T21:31:42.2949070+00:00	Matched	gamma_resolved_metadata	1	1	0	1.79707	0	1.79707
2026-06-17T21:02:39.1768370+00:00	2026-06-17T21:02:39.1768370+00:00	Matched	gamma_resolved_metadata	1	0	1	0	2.001	-2.001
2026-06-17T20:59:09.7967430+00:00	2026-06-17T20:59:09.7967430+00:00	Matched	gamma_resolved_metadata	1	0	1	0	1.955	-1.955
2026-06-17T18:54:40.4846160+00:00	2026-06-17T18:54:40.4846160+00:00	Matched	gamma_resolved_metadata	1	1	0	2.4548	0	2.4548
2026-06-17T18:47:04.4738990+00:00	2026-06-17T18:47:04.4738990+00:00	Matched	gamma_resolved_metadata	1	0	1	0	2.002	-2.002
2026-06-17T18:18:23.3814540+00:00	2026-06-17T18:18:23.3814540+00:00	Matched	gamma_resolved_metadata	1	1	0	3.974667	0	3.974667
2026-06-17T18:01:37.8140140+00:00	2026-06-17T18:01:37.8140140+00:00	Matched	gamma_resolved_metadata	1	1	0	1.0251	0	1.0251
2026-06-17T17:42:19.7662710+00:00	2026-06-17T17:42:19.7662710+00:00	Matched	gamma_resolved_metadata	1	1	0	3.9786	0	3.9786
2026-06-17T17:40:47.9151040+00:00	2026-06-17T17:40:47.9151040+00:00	Matched	gamma_resolved_metadata	1	0	1	0	2.9196	-2.9196
2026-06-17T17:35:13.2613620+00:00	2026-06-17T17:35:13.2613620+00:00	Matched	gamma_resolved_metadata	1	0	1	0	2.9316	-2.9316
2026-06-17T17:27:09.4208990+00:00	2026-06-17T17:27:09.4208990+00:00	Matched	gamma_resolved_metadata	1	0	1	0	3.0008	-3.0008
2026-06-17T16:39:28.4243670+00:00	2026-06-17T16:39:28.4243670+00:00	Matched	gamma_resolved_metadata	1	1	0	2.1754	0	2.1754
2026-06-17T16:31:39.8459980+00:00	2026-06-17T16:31:39.8459980+00:00	Matched	gamma_resolved_metadata	1	1	0	1.856	0	1.856
2026-06-17T16:25:29.9156340+00:00	2026-06-17T16:25:29.9156340+00:00	Matched	gamma_resolved_metadata	1	0	1	0	3.002346	-3.002346
2026-06-17T16:11:04.1726180+00:00	2026-06-17T16:11:04.1726180+00:00	Matched	gamma_resolved_metadata	1	0	1	0	3.00222	-3.00222
2026-06-17T15:57:28.0586610+00:00	2026-06-17T15:57:28.0586610+00:00	Matched	gamma_resolved_metadata	1	1	0	3.5035	0	3.5035
2026-06-17T15:51:57.6501920+00:00	2026-06-17T15:51:57.6501920+00:00	Matched	gamma_resolved_metadata	1	0	1	0	4.004	-4.004
2026-06-17T15:49:31.8090770+00:00	2026-06-17T15:49:31.8090770+00:00	Matched	gamma_resolved_metadata	1	0	1	0	3.0051	-3.0051
2026-06-17T15:45:43.9447770+00:00	2026-06-17T15:45:43.9447770+00:00	Matched	gamma_resolved_metadata	1	0	1	0	4.002	-4.002
2026-06-17T15:32:58.9797920+00:00	2026-06-17T15:32:58.9797920+00:00	Matched	gamma_resolved_metadata	1	1	0	3.6423	0	3.6423
2026-06-17T15:25:51.0621270+00:00	2026-06-17T15:25:51.0621270+00:00	Matched	gamma_resolved_metadata	1	1	0	2.0638	0	2.0638
2026-06-17T14:52:56.7773620+00:00	2026-06-17T14:52:56.7773620+00:00	Matched	gamma_resolved_metadata	1	1	0	0.0476	0	0.0476
2026-06-17T14:26:03.5003840+00:00	2026-06-17T14:26:03.5003840+00:00	Matched	gamma_resolved_metadata	1	1	0	5.2514	0	5.2514
2026-06-17T13:58:06.5438830+00:00	2026-06-17T13:58:06.5438830+00:00	Matched	gamma_resolved_metadata	1	1	0	3	0	3
2026-06-17T13:52:39.4462100+00:00	2026-06-17T13:52:39.4462100+00:00	Matched	gamma_resolved_metadata	1	0	1	0	1.0008	-1.0008
2026-06-17T13:49:38.4654270+00:00	2026-06-17T13:49:38.4654270+00:00	Matched	gamma_resolved_metadata	1	0	1	0	4.004	-4.004
2026-06-17T13:44:19.6921260+00:00	2026-06-17T13:44:19.6921260+00:00	Matched	gamma_resolved_metadata	1	0	1	0	3.0012	-3.0012
2026-06-17T13:37:19.1576550+00:00	2026-06-17T13:37:19.1576550+00:00	Matched	gamma_resolved_metadata	1	0	1	0	4.1354	-4.1354
2026-06-17T13:01:28.9802820+00:00	2026-06-17T13:01:28.9802820+00:00	Matched	gamma_resolved_metadata	1	1	0	2.346392	0	2.346392
