id	created_at_utc	submitted_at_utc	updated_at_utc	settled_at_utc	status	response_status	settlement_source	condition_id	outcome	price	filled_size	cost_basis_usd	settlement_value_usd	realized_pnl_usd	won	winning_outcome	order_type	post_only
7d9960a3-61ea-4f89-b3d3-43f1935dd4da	2026-06-17T22:13:14.7979550+00:00	2026-06-17T22:13:27.6266740+00:00	2026-06-17T22:18:08.4727310+00:00	2026-06-17T22:18:08.4727310+00:00	Matched	matched	gamma_resolved_metadata	0xb8a25d31f268b94eef25c126e0753e1d556487f9b48e655cae1ba6caecd886f0	Down	0.02	50	0.5	50	49.5	True	Down	GTD	False
8bf856a9-0e93-4fba-9e7a-36a3ea400e0a	2026-06-17T06:35:11.1343080+00:00	2026-06-17T06:35:18.4144300+00:00	2026-06-17T06:45:43.5137920+00:00	2026-06-17T06:45:43.5137920+00:00	Matched	matched	gamma_resolved_metadata	0x52e317a1c0ade8cf76b17e9d1a4fef9c3c78c3b7f619844fb8f49c2622b1c568	Down	0.37	8.11	2.7574	8.11	5.3526	True	Down	GTD	False
c888499c-53cd-4a2a-9eb7-980e7268d0af	2026-06-17T14:15:08.1630910+00:00	2026-06-17T14:15:30.4220370+00:00	2026-06-17T14:26:03.5003840+00:00	2026-06-17T14:26:03.5003840+00:00	Matched	matched	gamma_resolved_metadata	0xc3c93562b77325b74cf3fe12ec3bd330abedac5b23f239016ef9f78773a581fe	Down	0.44	6.82	1.5686	6.82	5.2514	True	Down	GTD	False
ba412943-e2f1-4c7f-9ca2-d1c4d86dab8c	2026-06-17T11:10:12.6790380+00:00	2026-06-17T11:10:17.1139500+00:00	2026-06-17T11:20:31.9075720+00:00	2026-06-17T11:20:31.9075720+00:00	Matched	matched	gamma_resolved_metadata	0x7713585e88db8f7db5ffefdd7a64728083ef9a0e697a295484f8e5d040dbf40e	Down	0.39	7.7	2.849	7.7	4.851	True	Down	GTD	False
644f6fbc-2e12-4019-9cc3-9a363160f672	2026-06-17T00:10:06.2136460+00:00	2026-06-17T00:10:11.9295490+00:00	2026-06-17T01:33:55.0503360+00:00	2026-06-17T01:33:55.0503360+00:00	Matched	matched	gamma_resolved_metadata	0x25e75fb325855359aeb9ded23768af85684fd032123f76523d55389ce59fd67f	Down	0.4	7.5	3	7.5	4.5	True	Down	GTD	False
44182a4a-1b46-4fa5-8cf1-ac16d90e8444	2026-06-17T07:15:07.0931390+00:00	2026-06-17T07:15:22.8401320+00:00	2026-06-17T07:24:50.8486660+00:00	2026-06-17T07:24:50.8486660+00:00	Matched	data_api_current_position_reconciled	gamma_resolved_metadata	0xeb458654b4526d60f4911a3443a476c1e91ffa0b0653f0e51e37838b835e802a	Down	0.41	7.32	3.0012	7.32	4.3188	True	Down	GTD	False
330a214f-82bb-474f-982c-e1666a65f64b	2026-06-16T05:41:46.4876480+00:00	2026-06-16T05:42:01.1088970+00:00	2026-06-16T05:48:13.9908680+00:00	2026-06-16T05:48:13.9908680+00:00	Matched	data_api_current_position_reconciled	gamma_resolved_metadata	0x0f4005f11db87e989cf77b254bf69760b6e60a6118492a17f764f4ba66757204	Down	0.41	7.32	3.0012	7.32	4.3188	True	Down	GTD	False
8425b61b-8e8d-46d2-9218-c0794e1eb8bb	2026-06-16T12:20:09.0681480+00:00	2026-06-16T12:20:22.8632470+00:00	2026-06-16T12:30:39.5921110+00:00	2026-06-16T12:30:39.5921110+00:00	Matched	matched	gamma_resolved_metadata	0x547dc3390ded6de0f6aa933ec115865b8615ead352675f6e4316c616940c0ee5	Down	0.44	6.82	2.6598	6.82	4.1602	True	Down	GTD	False
ac3f20fa-3cf0-4901-9b3d-09078b3173e7	2026-06-16T20:20:06.6514850+00:00	2026-06-16T20:20:17.3896980+00:00	2026-06-16T20:29:17.8925840+00:00	2026-06-16T20:29:17.8925840+00:00	Matched	matched	gamma_resolved_metadata	0x0cf1028beea2392abdc3f4b41de3f9f8436ffc32e69ef7083e7b19e7447be47a	Down	0.42	7.15	3.003	7.15	4.147	True	Down	GTD	False
11db6657-db87-4e46-b8e0-1bcead5062da	2026-06-16T19:35:01.3222710+00:00	2026-06-16T19:35:10.7149740+00:00	2026-06-16T19:45:23.7925920+00:00	2026-06-16T19:45:23.7925920+00:00	Matched	matched	gamma_resolved_metadata	0x7cf1b492e2081e830fd377ee0964f44f5d70782aed3d155554a9822ad8917e46	Down	0.42	7.15	3.003	7.15	4.147	True	Down	GTD	False
7cd8f4e4-f7d3-444f-9cac-26d3bdd2d007	2026-06-17T17:35:46.1547610+00:00	2026-06-17T17:35:57.2849850+00:00	2026-06-17T17:42:19.7662710+00:00	2026-06-17T17:42:19.7662710+00:00	Matched	data_api_current_position_reconciled	gamma_resolved_metadata	0x19d5fc889c3bc0fb355ce9fa34c735d7b2990760bfe9810db241f24784c40c75	Down	0.43	6.98	3.0014	6.98	3.9786	True	Down	GTD	False
a87b5460-9fb1-41f6-8c69-f133720afdfa	2026-06-17T18:10:11.1481320+00:00	2026-06-17T18:10:23.4888260+00:00	2026-06-17T18:18:23.3814540+00:00	2026-06-17T18:18:23.3814540+00:00	Matched	data_api_current_position_reconciled	gamma_resolved_metadata	0x606fb585c289bc642574f87a0dd3986ffe7b3cd4e519956f53debf10970bd001	Down	0.43	6.9731	2.998433	6.9731	3.974667	True	Down	GTD	False
c865378f-4bf2-4df1-837a-c768be39238d	2026-06-17T02:50:17.3229030+00:00	2026-06-17T02:50:20.9673110+00:00	2026-06-17T03:51:05.6834890+00:00	2026-06-17T03:51:05.6834890+00:00	Matched	data_api_current_position_reconciled	gamma_resolved_metadata	0xd306c941da6dedee33788e31e230a655bbfe9a7e5250c8ab40fe9e9349d7b189	Down	0.34	5.89	2.0026	5.89	3.8874	True	Down	GTD	False
59975678-db92-4a97-88a4-fd0393d02c48	2026-06-16T09:35:04.2585690+00:00	2026-06-16T09:35:10.4572370+00:00	2026-06-16T09:45:19.5028990+00:00	2026-06-16T09:45:19.5028990+00:00	Matched	matched	gamma_resolved_metadata	0xbe15dc7e9c8f15465424c3e2f28fe6ae6882279eddb3ce80bfc4ec4131adb0a6	Down	0.45	6.67	3.0015	6.67	3.6685	True	Down	GTD	False
94722315-af0e-43e1-818b-ac392c2aec97	2026-06-17T15:25:07.5241330+00:00	2026-06-17T15:25:20.2883470+00:00	2026-06-17T15:32:58.9797920+00:00	2026-06-17T15:32:58.9797920+00:00	Matched	matched	gamma_resolved_metadata	0x4b9890d92c135a6a907bed2aa7259667e352d95fb2cc222a55bbf883aaf51021	Down	0.47	6.39	2.7477	6.39	3.6423	True	Down	GTD	False
f63ead6c-08be-497a-b91c-be10b0c91e34	2026-06-16T22:30:09.5320100+00:00	2026-06-16T22:30:16.6811780+00:00	2026-06-17T00:51:26.7050710+00:00	2026-06-17T00:51:26.7050710+00:00	Matched	matched	gamma_resolved_metadata	0xbf7b034585d8d2f32cf6364b1b2655361dee9b66c0c849e2f8174c5e81481eb4	Down	0.36	5.56	1.946	5.56	3.614	True	Down	GTD	False
2926885c-9a60-4868-90f0-1fb19844084f	2026-06-16T23:05:33.4428930+00:00	2026-06-16T23:05:42.7980340+00:00	2026-06-17T01:17:04.7911960+00:00	2026-06-17T01:17:04.7911960+00:00	Matched	matched	gamma_resolved_metadata	0xe302d7f3cadfd5ff9f752f75f9b2b555d77944fab570f055a40b7f41fd2646b4	Down	0.46	6.53	3.0038	6.53	3.5262	True	Down	GTD	False
406d58f8-a4b8-4c1b-84ba-9d7a0fd64f45	2026-06-16T05:05:03.6100140+00:00	2026-06-16T05:05:12.7532500+00:00	2026-06-16T05:15:14.9396730+00:00	2026-06-16T05:15:14.9396730+00:00	Matched	matched	gamma_resolved_metadata	0x12c4183f8223cbf604dd8c1524afd978b2a8246f021dd2345fde8e7d184718b9	Down	0.46	6.53	3.0038	6.53	3.5262	True	Down	GTD	False
5172aff4-984c-4da0-8644-161f1ebeca83	2026-06-17T15:52:06.8815530+00:00	2026-06-17T15:52:16.6844040+00:00	2026-06-17T15:57:28.0586610+00:00	2026-06-17T15:57:28.0586610+00:00	Matched	matched	gamma_resolved_metadata	0x830f508d7cfd76e2700e5cf0f6447bc8261f57cc731eec7529d11676fba572b1	Down	0.56	7.15	3.6465	7.15	3.5035	True	Down	GTD	False
39754ee3-0b88-4645-a8c4-6a8308b60981	2026-06-16T07:35:00.0502640+00:00	2026-06-16T07:35:13.1119770+00:00	2026-06-16T07:45:24.6860680+00:00	2026-06-16T07:45:24.6860680+00:00	Matched	matched	gamma_resolved_metadata	0x44b4f885549dc74a5b93b3214510238cc8f3e9713b73a7bd90e5255ad6b54912	Down	0.55	7.28	4.004	7.28	3.276	True	Down	GTD	False
1575db41-4fd4-49c8-82ef-4e4b434a83fc	2026-06-16T15:55:02.6777050+00:00	2026-06-16T15:55:41.6556520+00:00	2026-06-16T16:21:59.2920660+00:00	2026-06-16T16:21:59.2920660+00:00	Matched	data_api_current_position_reconciled	gamma_resolved_metadata	0xc589cfc490512500895cd3bf4cfb3e5d77b026e7e9f560a86a400bbcf9fd5916	Down	0.48	6.25	3	6.25	3.25	True	Down	GTD	False
0dad0b44-3550-4b5c-bf69-5a5ca9766d64	2026-06-17T03:00:19.7039920+00:00	2026-06-17T03:00:23.5597160+00:00	2026-06-17T03:50:14.0435130+00:00	2026-06-17T03:50:14.0435130+00:00	Matched	matched	gamma_resolved_metadata	0x6412c80ffa8101621876c789c07ed236c084981ce837a89c7bf0605046774ca2	Down	0.56	7.15	4.004	7.15	3.146	True	Down	GTD	False
52af1682-ba7a-4976-8723-0d872ba8acf6	2026-06-16T06:43:18.1958960+00:00	2026-06-16T06:43:29.7820690+00:00	2026-06-16T06:48:43.2265530+00:00	2026-06-16T06:48:43.2265530+00:00	Matched	matched	gamma_resolved_metadata	0x260494d708185c29f4ac394399da622ca306a4486ebe6b3a5edcccb612d2833a	Down	0.56	7.15	4.004	7.15	3.146	True	Down	GTD	False
85757e79-8355-48dd-b57d-9f043037a4ba	2026-06-17T13:52:27.3011510+00:00	2026-06-17T13:52:29.7067900+00:00	2026-06-17T13:58:06.5438830+00:00	2026-06-17T13:58:06.5438830+00:00	Matched	data_api_current_position_reconciled	gamma_resolved_metadata	0xd71703d18ca5b4f60ee9722cd1d7a8e6c62839d6abbc1c20531b6034b015544b	Down	0.5	6	3	6	3	True	Down	GTD	False
