key	value
captured_at_utc	2026-06-17T22:34:41.5274849+00:00
database	polycopytrader
server_address	192.168.0.101/32
server_time_utc	2026-06-17T22:34:40Z
strategy_id	b7c50005-0000-4000-8080-000000000109
strategy_code	eth_up_down_5m_down_bps_9_instant
strategy_name	ETH Up or Down 5m Down 9 bps Instant
enabled	True
live_stakes	True
auto_live_paused	False
live_enabled_at_utc	2026-06-16T02:24:34.6018640+00:00
live_available_balance	146.05717
live_orders_count	145
live_filled_orders_count	131
live_settled_orders_count	130
live_won_orders_count	63
live_lost_orders_count	67
live_stake_usd	396.03783
live_settlement_value_usd	442.095
live_positive_pnl_usd	227.98203
live_loss_abs_pnl_usd	181.92486
live_realized_pnl_usd	46.05717
live_avg_win_pnl_usd	3.61876238
live_avg_loss_pnl_usd	-2.71529642
live_profit_factor	1.25316589
live_last_order_utc	2026-06-17T22:32:49.1957610+00:00
live_last_settlement_utc	2026-06-17T22:32:19.4964000+00:00
max_live_order_updated_at_utc	2026-06-17T22:32:57.9859220+00:00
source_breakdown_tsv	D:\My\Business\PolyMarket\outputs\eth-down-9-live-realized-audit-2026-06-18\settlement-source-breakdown.tsv
status_breakdown_tsv	D:\My\Business\PolyMarket\outputs\eth-down-9-live-realized-audit-2026-06-18\status-breakdown.tsv
recent_updates_tsv	D:\My\Business\PolyMarket\outputs\eth-down-9-live-realized-audit-2026-06-18\recent-settlement-updates.tsv
settled_orders_tsv	D:\My\Business\PolyMarket\outputs\eth-down-9-live-realized-audit-2026-06-18\settled-live-orders.tsv
