Live preflight rejected diagnostic captured at 2026-06-15T11:04:47.0045619+00:00
strategy_code=btc_up_down_5m_up_simple

## Status summary
status	response_status	count	filled_size	remaining_size	filled_notional_usd	latest_created_utc
Matched	data_api_current_position_reconciled	193	1194.74000000	3.19000000	571.16641800	2026-06-15T11:00:07Z
PreflightRejected	preflight_rejected	17	0.00000000	108.02000000	0.00000000	2026-06-15T10:50:02Z
CancelFailed	live	49	0.00000000	296.92000000	0.00000000	2026-06-15T10:05:45Z
Matched	matched	153	968.45000000	9.67000000	425.16750000	2026-06-15T10:00:03Z
Rejected	BadRequest	1	0.00000000	6.00000000	0.00000000	2026-06-14T15:00:02Z
Cancelled	live	2	0.00000000	12.00000000	0.00000000	2026-06-14T07:10:02Z

## PreflightRejected validation summaries
validation_summary	count	latest_created_utc
API error lockout is active.	17	2026-06-15T10:50:02Z

## Latest PreflightRejected orders
created_utc	updated_utc	response_status	outcome	price	size_shares	notional_usd	filled_size	remaining_size	market_slug	validation_summary
2026-06-15T10:50:02Z	2026-06-15T10:50:43Z	preflight_rejected	Up	0.36000000	5.56000000	2.00160000	0.00000000	5.56000000	btc-updown-5m-1781520600	API error lockout is active.
2026-06-15T10:45:01Z	2026-06-15T10:45:02Z	preflight_rejected	Up	0.48000000	6.25000000	3.00000000	0.00000000	6.25000000	btc-updown-5m-1781520300	API error lockout is active.
2026-06-15T10:40:02Z	2026-06-15T10:40:04Z	preflight_rejected	Up	0.50000000	6.00000000	3.00000000	0.00000000	6.00000000	btc-updown-5m-1781520000	API error lockout is active.
2026-06-15T10:35:01Z	2026-06-15T10:35:02Z	preflight_rejected	Up	0.49000000	6.13000000	3.00370000	0.00000000	6.13000000	btc-updown-5m-1781519700	API error lockout is active.
2026-06-15T10:30:00Z	2026-06-15T10:30:01Z	preflight_rejected	Up	0.49000000	6.13000000	3.00370000	0.00000000	6.13000000	btc-updown-5m-1781519400	API error lockout is active.
2026-06-15T10:25:00Z	2026-06-15T10:25:05Z	preflight_rejected	Up	0.47000000	6.39000000	3.00330000	0.00000000	6.39000000	btc-updown-5m-1781519100	API error lockout is active.
2026-06-15T10:20:46Z	2026-06-15T10:20:58Z	preflight_rejected	Up	0.50000000	6.00000000	3.00000000	0.00000000	6.00000000	btc-updown-5m-1781518800	API error lockout is active.
2026-06-15T07:20:01Z	2026-06-15T07:20:02Z	preflight_rejected	Up	0.41000000	7.32000000	3.00120000	0.00000000	7.32000000	btc-updown-5m-1781508000	API error lockout is active.
2026-06-15T07:15:53Z	2026-06-15T07:15:55Z	preflight_rejected	Up	0.50000000	6.00000000	3.00000000	0.00000000	6.00000000	btc-updown-5m-1781507700	API error lockout is active.
2026-06-15T07:10:01Z	2026-06-15T07:10:08Z	preflight_rejected	Up	0.40000000	7.50000000	3.00000000	0.00000000	7.50000000	btc-updown-5m-1781507400	API error lockout is active.
2026-06-15T07:05:23Z	2026-06-15T07:05:36Z	preflight_rejected	Up	0.50000000	6.00000000	3.00000000	0.00000000	6.00000000	btc-updown-5m-1781507100	API error lockout is active.
2026-06-15T06:35:03Z	2026-06-15T06:35:39Z	preflight_rejected	Up	0.50000000	6.00000000	3.00000000	0.00000000	6.00000000	btc-updown-5m-1781505300	API error lockout is active.
2026-06-15T06:25:24Z	2026-06-15T06:25:27Z	preflight_rejected	Up	0.46000000	6.53000000	3.00380000	0.00000000	6.53000000	btc-updown-5m-1781504700	API error lockout is active.
2026-06-14T11:50:02Z	2026-06-14T11:50:03Z	preflight_rejected	Up	0.28000000	7.15000000	2.00200000	0.00000000	7.15000000	btc-updown-5m-1781437800	API error lockout is active.
2026-06-14T11:45:00Z	2026-06-14T11:45:01Z	preflight_rejected	Up	0.47000000	6.39000000	3.00330000	0.00000000	6.39000000	btc-updown-5m-1781437500	API error lockout is active.
2026-06-14T11:40:01Z	2026-06-14T11:40:09Z	preflight_rejected	Up	0.45000000	6.67000000	3.00150000	0.00000000	6.67000000	btc-updown-5m-1781437200	API error lockout is active.
2026-06-14T11:35:42Z	2026-06-14T11:35:43Z	preflight_rejected	Up	0.50000000	6.00000000	3.00000000	0.00000000	6.00000000	btc-updown-5m-1781436900	API error lockout is active.

## Recent Polymarket API errors
created_utc	component	operation	message
2026-06-15T11:01:43Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Query was cancelled
2026-06-15T11:01:42Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	Heartbeat	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T10:53:58Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:53:46Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:50:44Z	PolymarketMarketWebSocket:shard-004	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T10:50:36Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:42:39Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Query was cancelled
2026-06-15T10:42:38Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	Heartbeat	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T10:36:38Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:36:36Z	PolymarketMarketWebSocket:shard-004	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:36:36Z	PolymarketMarketWebSocket:shard-005	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:34:00Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:33:59Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
2026-06-15T10:33:59Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
2026-06-15T10:33:59Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
2026-06-15T10:33:57Z	PolymarketMarketWebSocket:shard-006	ConnectionLoop	Query was cancelled
2026-06-15T10:33:57Z	PolymarketMarketWebSocket:shard-006	Heartbeat	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T10:33:56Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
2026-06-15T10:33:56Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
2026-06-15T10:33:56Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
2026-06-15T10:33:56Z	PolymarketGammaClient	GetClosedMarketBySlug	No such host is known. (gamma-api.polymarket.com:443)
2026-06-15T10:33:56Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:33:56Z	PolymarketMarketWebSocket:shard-005	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:33:56Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
2026-06-15T10:33:54Z	PolymarketMarketWebSocket:shard-004	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:33:54Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Query was cancelled
2026-06-15T10:33:54Z	PolymarketMarketWebSocket:shard-001	ConnectionLoop	Unable to connect to the remote server
2026-06-15T10:33:53Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	Heartbeat	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T10:33:53Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
2026-06-15T10:33:53Z	PolymarketClobPublicClient	GetOrderBook	No such host is known. (clob.polymarket.com:443)
