Live preflight rejected diagnostic captured at 2026-06-15T06:57:01.5027213+00:00
strategy_code=btc_up_down_5m_up_simple

## Status summary
status	response_status	count	filled_size	remaining_size	filled_notional_usd	latest_created_utc
Matched	matched	144	913.41000000	9.67000000	404.00800000	2026-06-15T06:55:06Z
PreflightRejected	preflight_rejected	6	0.00000000	38.74000000	0.00000000	2026-06-15T06:35:03Z
Matched	data_api_current_position_reconciled	176	1086.87590000	3.18410000	522.14869600	2026-06-15T06:20:35Z
CancelFailed	live	45	0.00000000	272.92000000	0.00000000	2026-06-15T05:50:05Z
Rejected	BadRequest	1	0.00000000	6.00000000	0.00000000	2026-06-14T15:00:02Z
Cancelled	live	2	0.00000000	12.00000000	0.00000000	2026-06-14T07:10:02Z

## PreflightRejected validation summaries
validation_summary	count	latest_created_utc
API error lockout is active.	6	2026-06-15T06:35:03Z

## Latest PreflightRejected orders
created_utc	updated_utc	response_status	outcome	price	size_shares	notional_usd	filled_size	remaining_size	market_slug	validation_summary
2026-06-15T06:35:03Z	2026-06-15T06:35:39Z	preflight_rejected	Up	0.50000000	6.00000000	3.00000000	0.00000000	6.00000000	btc-updown-5m-1781505300	API error lockout is active.
2026-06-15T06:25:24Z	2026-06-15T06:25:27Z	preflight_rejected	Up	0.46000000	6.53000000	3.00380000	0.00000000	6.53000000	btc-updown-5m-1781504700	API error lockout is active.
2026-06-14T11:50:02Z	2026-06-14T11:50:03Z	preflight_rejected	Up	0.28000000	7.15000000	2.00200000	0.00000000	7.15000000	btc-updown-5m-1781437800	API error lockout is active.
2026-06-14T11:45:00Z	2026-06-14T11:45:01Z	preflight_rejected	Up	0.47000000	6.39000000	3.00330000	0.00000000	6.39000000	btc-updown-5m-1781437500	API error lockout is active.
2026-06-14T11:40:01Z	2026-06-14T11:40:09Z	preflight_rejected	Up	0.45000000	6.67000000	3.00150000	0.00000000	6.67000000	btc-updown-5m-1781437200	API error lockout is active.
2026-06-14T11:35:42Z	2026-06-14T11:35:43Z	preflight_rejected	Up	0.50000000	6.00000000	3.00000000	0.00000000	6.00000000	btc-updown-5m-1781436900	API error lockout is active.

## Recent Polymarket API errors
created_utc	component	operation	message
2026-06-15T06:39:57Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:28:10Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:23:53Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	The operation was canceled.
2026-06-15T06:23:53Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	Heartbeat	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:23:30Z	PolymarketMarketWebSocket:shard-006	ConnectionLoop	Query was cancelled
2026-06-15T06:23:30Z	PolymarketMarketWebSocket:shard-006	Heartbeat	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:23:22Z	PolymarketMarketWebSocket:shard-003	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:23:22Z	PolymarketMarketWebSocket:shard-004	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:23:22Z	PolymarketMarketWebSocket:shard-001	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:23:22Z	PolymarketMarketWebSocket:shard-005	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:23:22Z	PolymarketMarketWebSocket:shard-002	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:18:42Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	Unable to connect to the remote server
2026-06-15T06:07:11Z	PolymarketMarketWebSocket:shard-006	ConnectionLoop	Query was cancelled
2026-06-15T06:07:11Z	PolymarketMarketWebSocket:shard-006	Heartbeat	The remote party closed the WebSocket connection without completing the close handshake.
2026-06-15T06:01:45Z	PolymarketMarketWebSocket:crypto-updown-5m-critical	ConnectionLoop	The remote party closed the WebSocket connection without completing the close handshake.
