settlement_date_utc	strategy_code	settled_orders	pnl_usd
2026-06-05	btc_up_down_5m_down_bps_50_instant	7	-6.90580000
2026-06-05	btc_up_down_5m_up_bps_50_instant	7	-6.28770000
2026-06-05	eth_up_down_5m_down_bps_50_instant	7	7.27445200
2026-06-05	eth_up_down_5m_up_bps_50_instant	3	-3.10640000
2026-06-05	sol_up_down_5m_down_bps_50_instant	8	1.56084500
2026-06-05	sol_up_down_5m_up_bps_50_instant	3	-3.10430000
2026-06-06	btc_up_down_5m_down_bps_50_instant	4	6.17000000
2026-06-06	btc_up_down_5m_up_bps_50_instant	3	10.63580000
2026-06-06	eth_up_down_5m_down_bps_50_instant	10	11.43709100
2026-06-06	eth_up_down_5m_up_bps_50_instant	12	17.95889000
2026-06-06	sol_up_down_5m_down_bps_50_instant	14	9.07036000
2026-06-06	sol_up_down_5m_up_bps_50_instant	20	1.51411900
2026-06-07	btc_up_down_5m_down_bps_50_instant	5	1.71180000
2026-06-07	btc_up_down_5m_up_bps_50_instant	5	-10.60080000
2026-06-07	eth_up_down_5m_down_bps_50_instant	11	-12.19330000
2026-06-07	eth_up_down_5m_up_bps_50_instant	4	1.00440000
2026-06-07	sol_up_down_5m_down_bps_50_instant	14	-16.87147700
2026-06-07	sol_up_down_5m_up_bps_50_instant	6	12.32280000
2026-06-08	btc_up_down_5m_down_bps_50_instant	9	7.82440600
2026-06-08	btc_up_down_5m_up_bps_50_instant	9	-2.42180000
2026-06-08	eth_up_down_5m_down_bps_50_instant	16	-14.20677100
2026-06-08	eth_up_down_5m_up_bps_50_instant	17	-6.61210000
2026-06-08	sol_up_down_5m_down_bps_50_instant	14	9.63670000
2026-06-08	sol_up_down_5m_up_bps_50_instant	22	11.92976000
2026-06-09	btc_up_down_5m_down_bps_50_instant	6	-0.30870000
2026-06-09	btc_up_down_5m_up_bps_50_instant	9	-4.99821800
2026-06-09	eth_up_down_5m_down_bps_50_instant	9	16.29456100
2026-06-09	eth_up_down_5m_up_bps_50_instant	13	1.57912200
2026-06-09	sol_up_down_5m_down_bps_50_instant	10	7.05345100
2026-06-09	sol_up_down_5m_up_bps_50_instant	17	-6.27062700
