sampled_at_utc,seconds_after_start,strategy_code,outcome,action,best_ask,previous_max_best_ask,current_max_best_ask,maker_limit_price,places_order,order_sequence,reason
"2026-05-21T15:35:25.1750840+00:00",25.1750845,"btc_up_down_5m_down_maker","Down","baseline",0.35,,0.35,,"false",0,"baseline"
"2026-05-21T15:35:25.1750840+00:00",25.1750845,"btc_up_down_5m_up_maker","Up","baseline",0.66,,0.66,,"false",0,"baseline"
"2026-05-21T15:35:30.3805580+00:00",30.3805584,"btc_up_down_5m_down_maker","Down","no_order",0.29,0.35,0.35,,"false",0,"below_or_equal_previous_max_at_30s_slot"
"2026-05-21T15:35:30.3805580+00:00",30.3805584,"btc_up_down_5m_up_maker","Up","place_order",0.72,0.66,0.72,0.71,"true",1,"new_high_at_30s_slot"
"2026-05-21T15:35:35.6610320+00:00",35.6610329,"btc_up_down_5m_down_maker","Down","between_slots",0.29,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:35:35.6610320+00:00",35.6610329,"btc_up_down_5m_up_maker","Up","between_slots",0.73,0.72,0.72,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:35:40.9243430+00:00",40.9243431,"btc_up_down_5m_down_maker","Down","between_slots",0.27,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:35:40.9243430+00:00",40.9243431,"btc_up_down_5m_up_maker","Up","between_slots",0.73,0.72,0.72,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:35:46.1882720+00:00",46.1882725,"btc_up_down_5m_down_maker","Down","between_slots",0.25,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:35:46.1882720+00:00",46.1882725,"btc_up_down_5m_up_maker","Up","between_slots",0.76,0.72,0.72,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:35:51.5243500+00:00",51.5243503,"btc_up_down_5m_down_maker","Down","between_slots",0.25,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
