sampled_at_utc,seconds_after_start,seconds_to_close,binance_price_usd,btc_move_from_start_bps,up_best_bid,up_best_ask,up_mid,up_price_proxy,up_book_source,up_book_age_ms,down_best_bid,down_best_ask,down_mid,down_price_proxy,down_book_source,down_book_age_ms
"2026-05-21T15:35:25.1750840+00:00",25.1750845,274.8249155,77141.52,0,0.65,0.66,0.655,0.655,"websocket_cache",673.6657,0.34,0.35,0.345,0.345,"websocket_cache",602.0311
"2026-05-21T15:35:30.3805580+00:00",30.3805584,269.6194416,77150.9,1.215947,0.71,0.72,0.715,0.715,"websocket_cache",1826.1598,0.28,0.29,0.285,0.285,"websocket_cache",1749.4688
"2026-05-21T15:35:35.6610320+00:00",35.6610329,264.3389671,77156.65,1.96133029,0.71,0.73,0.72,0.72,"websocket_cache",1685.1492,0.27,0.29,0.28,0.28,"websocket_cache",1593.9117
"2026-05-21T15:35:40.9243430+00:00",40.9243431,259.0756569,77156.66,1.96262661,0.72,0.73,0.725,0.725,"websocket_cache",581.3758,0.24,0.27,0.255,0.255,"websocket_cache",512.6994
"2026-05-21T15:35:46.1882720+00:00",46.1882725,253.8117275,77156.66,1.96262661,0.75,0.76,0.755,0.755,"websocket_cache",1936.5617,0.24,0.25,0.245,0.245,"websocket_cache",1845.3999
"2026-05-21T15:35:51.5243500+00:00",51.5243503,248.4756497,77156.66,1.96262661,0.75,0.76,0.755,0.755,"websocket_cache",1204.0801,0.24,0.25,0.245,0.245,"websocket_cache",1128.6576
"2026-05-21T15:35:56.6921700+00:00",56.6921708,243.3078292,77162.86,2.76634425,0.77,0.78,0.775,0.775,"websocket_cache",426.3712,0.22,0.23,0.225,0.225,"websocket_cache",359.1639
"2026-05-21T15:36:01.9246510+00:00",61.9246515,238.0753485,77155.15,1.76688248,0.75,0.76,0.755,0.755,"websocket_cache",1780.6424,0.24,0.25,0.245,0.245,"websocket_cache",1688.2245
"2026-05-21T15:36:07.1249270+00:00",67.1249274,232.8750726,77139.71,-0.2346337,0.7,0.72,0.71,0.71,"websocket_cache",1397.7308,0.28,0.31,0.295,0.295,"websocket_cache",1325.1769
"2026-05-21T15:36:12.3188020+00:00",72.3188025,227.6811975,77134.71,-0.88279308,0.62,0.63,0.625,0.625,"websocket_cache",570.5611,0.37,0.38,0.375,0.375,"websocket_cache",500.1099
"2026-05-21T15:36:17.5461530+00:00",77.546153,222.453847,77140.01,-0.19574413,0.68,0.69,0.685,0.685,"websocket_cache",1994.471,0.31,0.32,0.315,0.315,"websocket_cache",1928.5895
"2026-05-21T15:36:22.9894100+00:00",82.9894101,217.0105899,77145.52,0.51852751,0.7,0.71,0.705,0.705,"websocket_cache",760.03,0.29,0.3,0.295,0.295,"websocket_cache",672.455
"2026-05-21T15:36:28.2332950+00:00",88.2332952,211.7667048,77142.04,0.06740858,0.67,0.71,0.69,0.69,"websocket_cache",89.4556,0.31,0.33,0.32,0.32,"websocket_cache",1.1733
"2026-05-21T15:36:33.4863720+00:00",93.4863727,206.5136273,77129.88,-1.50891504,0.52,0.53,0.525,0.525,"websocket_cache",1546.741,0.47,0.48,0.475,0.475,"websocket_cache",1451.5958
"2026-05-21T15:36:38.8215430+00:00",98.8215437,201.1784563,77107.84,-4.3660016,0.42,0.45,0.435,0.435,"websocket_cache",907.775,0.55,0.57,0.56,0.56,"websocket_cache",812.6861
"2026-05-21T15:36:44.2512550+00:00",104.2512558,195.7487442,77091.81,-6.44400058,0.44,0.45,0.445,0.445,"websocket_cache",285.1909,0.55,0.56,0.555,0.555,"websocket_cache",197.9764
"2026-05-21T15:36:49.6080380+00:00",109.6080388,190.3919612,77101.03,-5.24879468,0.41,0.42,0.415,0.415,"websocket_cache",733.8908,0.58,0.59,0.585,0.585,"websocket_cache",669.135
"2026-05-21T15:36:54.8730200+00:00",114.8730201,185.1269799,77082.3,-7.67679973,0.37,0.38,0.375,0.375,"websocket_cache",216.2225,0.62,0.63,0.625,0.625,"websocket_cache",141.1616
"2026-05-21T15:37:00.1444870+00:00",120.1444876,179.8555124,77082.29,-7.67809605,0.36,0.38,0.37,0.37,"websocket_cache",1387.1144,0.62,0.64,0.63,0.63,"websocket_cache",1302.007
"2026-05-21T15:37:05.3442650+00:00",125.344265,174.655735,77069.78,-9.29979083,0.31,0.33,0.32,0.32,"websocket_cache",654.5541,0.67,0.69,0.68,0.68,"websocket_cache",579.4765
"2026-05-21T15:37:10.5962540+00:00",130.5962546,169.4037454,77090.16,-6.65789318,0.43,0.44,0.435,0.435,"websocket_cache",244.9617,0.56,0.57,0.565,0.565,"websocket_cache",156.4879
"2026-05-21T15:37:15.8614000+00:00",135.8614002,164.1385998,77101.17,-5.23064622,0.47,0.48,0.475,0.475,"websocket_cache",805.0242,0.52,0.53,0.525,0.525,"websocket_cache",725.923
"2026-05-21T15:37:21.1105250+00:00",141.1105255,158.8894745,77104,-4.86378801,0.48,0.49,0.485,0.485,"websocket_cache",1862.5986,0.51,0.52,0.515,0.515,"websocket_cache",1779.7141
"2026-05-21T15:37:26.4849620+00:00",146.4849627,153.5150373,77104.01,-4.86249169,0.49,0.5,0.495,0.495,"websocket_cache",1483.5249,0.5,0.51,0.505,0.505,"websocket_cache",1416.9092
"2026-05-21T15:37:31.7533130+00:00",151.7533137,148.2466863,77104,-4.86378801,0.49,0.5,0.495,0.495,"websocket_cache",1090.3372,0.5,0.51,0.505,0.505,"websocket_cache",1000.2242
"2026-05-21T15:37:36.9593230+00:00",156.9593237,143.0406763,77104.01,-4.86249169,0.49,0.5,0.495,0.495,"websocket_cache",97.9607,0.5,0.51,0.505,0.505,"websocket_cache",29.6674
"2026-05-21T15:37:42.3346100+00:00",162.3346102,137.6653898,77112.58,-3.75154651,0.56,0.57,0.565,0.565,"websocket_cache",1587.0465,0.43,0.44,0.435,0.435,"websocket_cache",1504.342
"2026-05-21T15:37:47.6101740+00:00",167.6101743,132.3898257,77120,-2.78967798,0.56,0.57,0.565,0.565,"websocket_cache",715.7432,0.43,0.44,0.435,0.435,"websocket_cache",635.3095
"2026-05-21T15:37:52.8753610+00:00",172.8753613,127.1246387,77129.87,-1.51021136,0.68,0.69,0.685,0.685,"websocket_cache",49.7467,0.33,0.35,0.34,0.34,"websocket_cache",1769.2952
"2026-05-21T15:37:58.1415280+00:00",178.1415285,121.8584715,77129.87,-1.51021136,0.65,0.66,0.655,0.655,"websocket_cache",980.2461,0.34,0.35,0.345,0.345,"websocket_cache",909.7898
"2026-05-21T15:38:03.3422160+00:00",183.3422169,116.6577831,77131.93,-1.2431697,0.69,0.7,0.695,0.695,"websocket_cache",329.2727,0.3,0.31,0.305,0.305,"websocket_cache",236.4886
"2026-05-21T15:38:08.6545660+00:00",188.6545664,111.3454336,77131.94,-1.24187338,0.71,0.72,0.715,0.715,"websocket_cache",116.7173,0.28,0.29,0.285,0.285,"websocket_cache",44.1734
"2026-05-21T15:38:14.3164310+00:00",194.3164313,105.6835687,77134,-0.97483171,0.73,0.74,0.735,0.735,"websocket_cache",1133.9914,0.26,0.27,0.265,0.265,"websocket_cache",1047.7943
"2026-05-21T15:38:19.5477400+00:00",199.54774,100.45226,77134.01,-0.97353539,0.74,0.75,0.745,0.745,"websocket_cache",446.773,0.25,0.26,0.255,0.255,"websocket_cache",379.1748
"2026-05-21T15:38:24.8302140+00:00",204.8302142,95.1697858,77134.01,-0.97353539,0.74,0.76,0.75,0.75,"websocket_cache",1762.2242,0.24,0.25,0.245,0.245,"websocket_cache",1682.0249
"2026-05-21T15:38:30.1115910+00:00",210.1115915,89.8884085,77136.08,-0.70519741,0.76,0.77,0.765,0.765,"websocket_cache",1175.5498,0.23,0.24,0.235,0.235,"websocket_cache",1055.9581
"2026-05-21T15:38:35.3607750+00:00",215.3607753,84.6392247,77136.08,-0.70519741,0.77,0.78,0.775,0.775,"websocket_cache",12.3627,0.21,0.22,0.215,0.215,"websocket_cache",2252.6071
"2026-05-21T15:38:40.7339840+00:00",220.7339844,79.2660156,77136.08,-0.70519741,0.78,0.79,0.785,0.785,"websocket_cache",1752.8798,0.21,0.22,0.215,0.215,"websocket_cache",1679.5985
"2026-05-21T15:38:46.2073600+00:00",226.2073605,73.7926395,77136.08,-0.70519741,0.78,0.8,0.79,0.79,"websocket_cache",914.5147,0.2,0.22,0.21,0.21,"websocket_cache",841.5411
"2026-05-21T15:38:51.3705940+00:00",231.3705947,68.6294053,77120.13,-2.77282584,0.62,0.63,0.625,0.625,"websocket_cache",338.9364,0.37,0.38,0.375,0.375,"websocket_cache",267.8642
"2026-05-21T15:38:56.7401560+00:00",236.7401564,63.2598436,77128.35,-1.70725181,0.73,0.74,0.735,0.735,"websocket_cache",1692.44,0.23,0.26,0.245,0.245,"websocket_cache",1563.5765
"2026-05-21T15:39:02.1191170+00:00",242.1191174,57.8808826,77128.36,-1.7059555,0.77,0.78,0.775,0.775,"websocket_cache",589.1357,0.22,0.23,0.225,0.225,"websocket_cache",482.2652
"2026-05-21T15:39:07.2612480+00:00",247.2612487,52.7387513,77131.59,-1.28724453,0.82,0.83,0.825,0.825,"websocket_cache",75.4611,0.17,0.18,0.175,0.175,"websocket_cache",6.5217
"2026-05-21T15:39:12.5001520+00:00",252.5001523,47.4998477,77136.07,-0.70649373,0.86,0.87,0.865,0.865,"websocket_cache",1280.0446,0.12,0.14,0.13,0.13,"websocket_cache",1194.4625
"2026-05-21T15:39:17.7690700+00:00",257.7690702,42.2309298,77136.08,-0.70519741,0.92,0.93,0.925,0.925,"websocket_cache",513.7967,0.07,0.08,0.075,0.075,"websocket_cache",437.7545
"2026-05-21T15:39:23.0373260+00:00",263.0373263,36.9626737,77146.94,0.70260477,0.96,0.97,0.965,0.965,"websocket_cache",106.1494,0.03,0.04,0.035,0.035,"websocket_cache",30.9107
"2026-05-21T15:39:28.2736860+00:00",268.2736862,31.7263138,77146.94,0.70260477,0.96,0.98,0.97,0.97,"websocket_cache",1601.8365,0.03,0.04,0.035,0.035,"websocket_cache",1531.503
"2026-05-21T15:39:33.4981970+00:00",273.4981975,26.5018025,77149.85,1.07983353,0.97,0.98,0.975,0.975,"websocket_cache",665.1791,0.02,0.03,0.025,0.025,"websocket_cache",605.1801
"2026-05-21T15:39:38.7395390+00:00",278.7395391,21.2604609,77153.01,1.48947026,0.98,0.99,0.985,0.985,"websocket_cache",638.4112,0.01,0.02,0.015,0.015,"websocket_cache",493.3365
"2026-05-21T15:39:44.1881710+00:00",284.1881714,15.8118286,77160.52,2.46300566,0.99,,,0.99,"websocket_cache",1656.1086,,0.01,,0.01,"websocket_cache",1570.9351
"2026-05-21T15:39:49.3715310+00:00",289.3715311,10.6284689,77160.52,2.46300566,0.99,,,0.99,"websocket_cache",595.6296,,0.01,,0.01,"websocket_cache",527.3284
"2026-05-21T15:39:54.5288550+00:00",294.528855,5.471145,77165.82,3.1500546,0.99,,,0.99,"websocket_cache",159.6468,,0.01,,0.01,"websocket_cache",74.3267
"2026-05-21T15:39:59.8855850+00:00",299.8855853,0.1144147,77171.25,3.85395569,0.99,,,0.99,"websocket_cache",1516.6343,,0.01,,0.01,"websocket_cache",1431.9872
