"seq","market","asset","side","due","captured_at","token","best_bid","best_ask","asks_0_99_levels","depth_to_99_usd","depth_to_99_shares","five_by_6_usd","five_by_6_worst_ask","five_by_6_vwap","five_by_6_levels_used"
"1","13:45-13:50","BTC","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.4780045+03:00","83243271198884972233811318500362321021393313345828905928460276945626079710609","0.5","0.51","49","51610.0203","59521.03","30.0465","0.51","0.51","1"
"1","13:45-13:50","BTC","Up","2026-07-04 13:44:30","2026-07-04T13:44:30.0234555+03:00","111782863267134395829120589604977068997565684351554724971924274380771537692100","0.49","0.5","50","50356.8189","57295.13","30.0465","0.5","0.5","1"
"1","13:45-13:50","ETH","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.9119313+03:00","34206730091076475969350466119887795270492848323045443408131409113011749981278","0.48","0.49","51","32762.9348","35462.07","30.0465","0.5","0.497549","2"
"1","13:45-13:50","ETH","Up","2026-07-04 13:44:30","2026-07-04T13:44:30.7074997+03:00","21925770833974737139138639512325561429556177005596897245092128519682313660777","0.51","0.52","48","32680.7608","35290.83","30.0465","0.53","0.527367","2"
"1","13:45-13:50","SOL","Down","2026-07-04 13:44:30","2026-07-04T13:44:31.4207097+03:00","70501336811790809506596410594564056019623307644799907858143691608919798682946","0.47","0.49","51","23004.0945","24167.67","30.0465","0.5","0.491816","2"
"1","13:45-13:50","SOL","Up","2026-07-04 13:44:30","2026-07-04T13:44:31.1607706+03:00","85364723077627985913999648197729752340530596663666422984806727219478934435126","0.51","0.53","47","22967.5025","24113.23","30.0465","0.54","0.535544","2"
"2","13:50-13:55","BTC","Down","2026-07-04 13:49:30","2026-07-04T13:49:30.9175240+03:00","57405601712053323422682514703325455083393268292546377758541436163445962279721","0.49","0.5","50","52954.6029","61363.37","30.0465","0.5","0.5","1"
"2","13:50-13:55","BTC","Up","2026-07-04 13:49:30","2026-07-04T13:49:30.0124967+03:00","33574019149217770810653452447154467062063162288323411768764767587452736770301","0.5","0.51","49","52851.7973","61009.23","30.0465","0.51","0.51","1"
"2","13:50-13:55","ETH","Down","2026-07-04 13:49:30","2026-07-04T13:49:31.7884752+03:00","68667420326849088553145782995513830910760728065347499478916893946009063447810","0.5","0.51","49","31730.3728","34395.27","30.0465","0.51","0.51","1"
"2","13:50-13:55","ETH","Up","2026-07-04 13:49:30","2026-07-04T13:49:31.3419834+03:00","6529887655957298540466174290442574042554364241187767436285042716545908297802","0.49","0.5","50","32260.9638","35444.37","30.0465","0.5","0.5","1"
"2","13:50-13:55","SOL","Down","2026-07-04 13:49:30","2026-07-04T13:49:32.8124714+03:00","18628033675067404066598016448701426740220660736872156816735095356847371911559","0.49","0.5","50","23084.1945","24302.67","30.0465","0.5","0.5","1"
"2","13:50-13:55","SOL","Up","2026-07-04 13:49:30","2026-07-04T13:49:32.3177835+03:00","41809617978761625075871408700812865502929855168052659656803000412137610569623","0.5","0.51","49","23002.6641","24162.99","30.0465","0.53","0.525627","3"
"3","13:55-14:00","BTC","Down","2026-07-04 13:54:30","2026-07-04T13:54:30.4359073+03:00","79476388553035075798644642718678268989040595138621869137165782873491073965497","0.5","0.51","49","52626.6765","60637.23","30.0465","0.51","0.51","1"
"3","13:55-14:00","BTC","Up","2026-07-04 13:54:30","2026-07-04T13:54:30.0124262+03:00","44076450734170429009434534200735307038838279535335813467737942698190381187017","0.49","0.5","50","53378.0539","61986.33","30.0465","0.5","0.5","1"
"3","13:55-14:00","ETH","Down","2026-07-04 13:54:30","2026-07-04T13:54:30.8472881+03:00","78858757819852043900331476067397127308344258340906942096653480292185522459478","0.49","0.5","50","32269.5428","34956.27","30.0465","0.53","0.520984","4"
"3","13:55-14:00","ETH","Up","2026-07-04 13:54:30","2026-07-04T13:54:30.6581093+03:00","14197420255657101439602438055568960351727575275508151202371108234054393712966","0.5","0.51","49","32763.6406","35951.05","30.0465","0.51","0.51","1"
"3","13:55-14:00","SOL","Down","2026-07-04 13:54:30","2026-07-04T13:54:31.2873409+03:00","100232344965416039113298239495892768323624336254240578367835913761005306668941","0.48","0.5","50","22530.348","23725.52","30.0465","0.5","0.5","1"
