"source","seq","market","asset","side","due","captured_at","token","level","price","size","notional_usd","asks_0_99_levels","depth_to_99_usd"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.4780045+03:00","83243271198884972233811318500362321021393313345828905928460276945626079710609","1","0.51","514","262.14","49","51610.0203"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.4780045+03:00","83243271198884972233811318500362321021393313345828905928460276945626079710609","2","0.52","437.17","227.3284","49","51610.0203"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.4780045+03:00","83243271198884972233811318500362321021393313345828905928460276945626079710609","3","0.53","418.45","221.7785","49","51610.0203"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.4780045+03:00","83243271198884972233811318500362321021393313345828905928460276945626079710609","4","0.54","405.55","218.997","49","51610.0203"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.4780045+03:00","83243271198884972233811318500362321021393313345828905928460276945626079710609","5","0.55","992.98","546.139","49","51610.0203"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Up","2026-07-04 13:44:30","2026-07-04T13:44:30.0234555+03:00","111782863267134395829120589604977068997565684351554724971924274380771537692100","1","0.5","144.6","72.3","50","50356.8189"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Up","2026-07-04 13:44:30","2026-07-04T13:44:30.0234555+03:00","111782863267134395829120589604977068997565684351554724971924274380771537692100","2","0.51","912.21","465.2271","50","50356.8189"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Up","2026-07-04 13:44:30","2026-07-04T13:44:30.0234555+03:00","111782863267134395829120589604977068997565684351554724971924274380771537692100","3","0.52","294","152.88","50","50356.8189"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Up","2026-07-04 13:44:30","2026-07-04T13:44:30.0234555+03:00","111782863267134395829120589604977068997565684351554724971924274380771537692100","4","0.53","84","44.52","50","50356.8189"
"direct_clob_monitor_stored_top5","1","13:45-13:50","BTC","Up","2026-07-04 13:44:30","2026-07-04T13:44:30.0234555+03:00","111782863267134395829120589604977068997565684351554724971924274380771537692100","5","0.54","85","45.9","50","50356.8189"
"direct_clob_monitor_stored_top5","1","13:45-13:50","ETH","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.9119313+03:00","34206730091076475969350466119887795270492848323045443408131409113011749981278","1","0.49","14.8","7.252","51","32762.9348"
"direct_clob_monitor_stored_top5","1","13:45-13:50","ETH","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.9119313+03:00","34206730091076475969350466119887795270492848323045443408131409113011749981278","2","0.5","155","77.5","51","32762.9348"
"direct_clob_monitor_stored_top5","1","13:45-13:50","ETH","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.9119313+03:00","34206730091076475969350466119887795270492848323045443408131409113011749981278","3","0.51","222","113.22","51","32762.9348"
"direct_clob_monitor_stored_top5","1","13:45-13:50","ETH","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.9119313+03:00","34206730091076475969350466119887795270492848323045443408131409113011749981278","4","0.52","228","118.56","51","32762.9348"
"direct_clob_monitor_stored_top5","1","13:45-13:50","ETH","Down","2026-07-04 13:44:30","2026-07-04T13:44:30.9119313+03:00","34206730091076475969350466119887795270492848323045443408131409113011749981278","5","0.53","30","15.9","51","32762.9348"
"direct_clob_monitor_stored_top5","1","13:45-13:50","ETH","Up","2026-07-04 13:44:30","2026-07-04T13:44:30.7074997+03:00","21925770833974737139138639512325561429556177005596897245092128519682313660777","1","0.52","15","7.8","48","32680.7608"
