seq,market,asset,side,due_at,snapshot_at_utc,age_seconds,outcome,ask_levels,bid_levels
1,13:45-13:50,BTC,Down,2026-07-04 13:44:30+03,,,,0,0
1,13:45-13:50,BTC,Up,2026-07-04 13:44:30+03,,,,0,0
1,13:45-13:50,ETH,Down,2026-07-04 13:44:30+03,,,,0,0
1,13:45-13:50,ETH,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.7726+03,0.773,Up,20,20
1,13:45-13:50,SOL,Down,2026-07-04 13:44:30+03,,,,0,0
1,13:45-13:50,SOL,Up,2026-07-04 13:44:30+03,2026-07-04 13:44:30.769789+03,0.770,Up,20,20
2,13:50-13:55,BTC,Down,2026-07-04 13:49:30+03,,,,0,0
2,13:50-13:55,BTC,Up,2026-07-04 13:49:30+03,,,,0,0
2,13:50-13:55,ETH,Down,2026-07-04 13:49:30+03,,,,0,0
2,13:50-13:55,ETH,Up,2026-07-04 13:49:30+03,2026-07-04 13:49:30.277602+03,0.278,Up,20,20
2,13:50-13:55,SOL,Down,2026-07-04 13:49:30+03,,,,0,0
2,13:50-13:55,SOL,Up,2026-07-04 13:49:30+03,,,,0,0
3,13:55-14:00,BTC,Down,2026-07-04 13:54:30+03,,,,0,0
3,13:55-14:00,BTC,Up,2026-07-04 13:54:30+03,,,,0,0
3,13:55-14:00,ETH,Down,2026-07-04 13:54:30+03,,,,0,0
3,13:55-14:00,ETH,Up,2026-07-04 13:54:30+03,,,,0,0
3,13:55-14:00,SOL,Down,2026-07-04 13:54:30+03,,,,0,0
3,13:55-14:00,SOL,Up,2026-07-04 13:54:30+03,2026-07-04 13:54:30.0161+03,0.016,Up,20,20
4,14:00-14:05,BTC,Down,2026-07-04 13:59:30+03,,,,0,0
4,14:00-14:05,BTC,Up,2026-07-04 13:59:30+03,,,,0,0
4,14:00-14:05,ETH,Down,2026-07-04 13:59:30+03,,,,0,0
4,14:00-14:05,ETH,Up,2026-07-04 13:59:30+03,,,,0,0
4,14:00-14:05,SOL,Down,2026-07-04 13:59:30+03,,,,0,0
4,14:00-14:05,SOL,Up,2026-07-04 13:59:30+03,2026-07-04 13:59:30.43715+03,0.437,Up,20,20
5,14:05-14:10,BTC,Down,2026-07-04 14:04:30+03,,,,0,0
5,14:05-14:10,BTC,Up,2026-07-04 14:04:30+03,,,,0,0
5,14:05-14:10,ETH,Down,2026-07-04 14:04:30+03,,,,0,0
5,14:05-14:10,ETH,Up,2026-07-04 14:04:30+03,2026-07-04 14:04:31.024803+03,1.025,Up,20,20
5,14:05-14:10,SOL,Down,2026-07-04 14:04:30+03,,,,0,0
5,14:05-14:10,SOL,Up,2026-07-04 14:04:30+03,2026-07-04 14:04:31.020342+03,1.020,Up,20,20
6,14:10-14:15,BTC,Down,2026-07-04 14:09:30+03,,,,0,0
6,14:10-14:15,BTC,Up,2026-07-04 14:09:30+03,,,,0,0
6,14:10-14:15,ETH,Down,2026-07-04 14:09:30+03,,,,0,0
6,14:10-14:15,ETH,Up,2026-07-04 14:09:30+03,2026-07-04 14:09:30.25336+03,0.253,Up,20,20
6,14:10-14:15,SOL,Down,2026-07-04 14:09:30+03,,,,0,0
6,14:10-14:15,SOL,Up,2026-07-04 14:09:30+03,2026-07-04 14:09:30.252381+03,0.252,Up,20,20
