"seq","asset","outcome","slug","token","market_start_utc","market_end_utc","due_utc","market_start_local","market_end_local","due_local","question"
"1","BTC","Up","btc-updown-5m-1783168200","47057188792555668458927093519141698230404312238331222660755657729781521896657","2026-07-04T12:30:00.0000000+00:00","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:29:30.0000000+00:00","2026-07-04 15:30:00","2026-07-04 15:35:00","2026-07-04 15:29:30","Bitcoin Up or Down - July 4, 8:30AM-8:35AM ET"
"1","BTC","Down","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177","2026-07-04T12:30:00.0000000+00:00","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:29:30.0000000+00:00","2026-07-04 15:30:00","2026-07-04 15:35:00","2026-07-04 15:29:30","Bitcoin Up or Down - July 4, 8:30AM-8:35AM ET"
"1","ETH","Up","eth-updown-5m-1783168200","11021358056880614941735444708971598829986019002372086567322114025048215262911","2026-07-04T12:30:00.0000000+00:00","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:29:30.0000000+00:00","2026-07-04 15:30:00","2026-07-04 15:35:00","2026-07-04 15:29:30","Ethereum Up or Down - July 4, 8:30AM-8:35AM ET"
"1","ETH","Down","eth-updown-5m-1783168200","111162798717997998772565766919518750708510451576340375468663957488644650541544","2026-07-04T12:30:00.0000000+00:00","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:29:30.0000000+00:00","2026-07-04 15:30:00","2026-07-04 15:35:00","2026-07-04 15:29:30","Ethereum Up or Down - July 4, 8:30AM-8:35AM ET"
"1","SOL","Up","sol-updown-5m-1783168200","3539534301764577237718587614609322279169873470470113119997070653213544436115","2026-07-04T12:30:00.0000000+00:00","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:29:30.0000000+00:00","2026-07-04 15:30:00","2026-07-04 15:35:00","2026-07-04 15:29:30","Solana Up or Down - July 4, 8:30AM-8:35AM ET"
"1","SOL","Down","sol-updown-5m-1783168200","22339917867367653993694218410852392531679371360168889811636890987471942979733","2026-07-04T12:30:00.0000000+00:00","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:29:30.0000000+00:00","2026-07-04 15:30:00","2026-07-04 15:35:00","2026-07-04 15:29:30","Solana Up or Down - July 4, 8:30AM-8:35AM ET"
"2","BTC","Up","btc-updown-5m-1783168500","50189468093894605700587764741221506504526160353704003773924071907031658693950","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:34:30.0000000+00:00","2026-07-04 15:35:00","2026-07-04 15:40:00","2026-07-04 15:34:30","Bitcoin Up or Down - July 4, 8:35AM-8:40AM ET"
"2","BTC","Down","btc-updown-5m-1783168500","9357540110369406108427336289907258900466472115958823057235096135358079111402","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:34:30.0000000+00:00","2026-07-04 15:35:00","2026-07-04 15:40:00","2026-07-04 15:34:30","Bitcoin Up or Down - July 4, 8:35AM-8:40AM ET"
"2","ETH","Up","eth-updown-5m-1783168500","89240876031890617033449772563001314724996464056439000749962373027271843726238","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:34:30.0000000+00:00","2026-07-04 15:35:00","2026-07-04 15:40:00","2026-07-04 15:34:30","Ethereum Up or Down - July 4, 8:35AM-8:40AM ET"
"2","ETH","Down","eth-updown-5m-1783168500","85501899996232535590898924752999595820741514949757606949996988198176173493492","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:34:30.0000000+00:00","2026-07-04 15:35:00","2026-07-04 15:40:00","2026-07-04 15:34:30","Ethereum Up or Down - July 4, 8:35AM-8:40AM ET"
"2","SOL","Up","sol-updown-5m-1783168500","82531476584694136702598638487082090035334971837818031014731549357600013731406","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:34:30.0000000+00:00","2026-07-04 15:35:00","2026-07-04 15:40:00","2026-07-04 15:34:30","Solana Up or Down - July 4, 8:35AM-8:40AM ET"
"2","SOL","Down","sol-updown-5m-1783168500","79026470312970728456590015634525827148158594988132748807108645354100347827230","2026-07-04T12:35:00.0000000+00:00","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:34:30.0000000+00:00","2026-07-04 15:35:00","2026-07-04 15:40:00","2026-07-04 15:34:30","Solana Up or Down - July 4, 8:35AM-8:40AM ET"
"3","BTC","Up","btc-updown-5m-1783168800","12009654180282857516724130149270116577139752123814339265534578748266460607530","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:39:30.0000000+00:00","2026-07-04 15:40:00","2026-07-04 15:45:00","2026-07-04 15:39:30","Bitcoin Up or Down - July 4, 8:40AM-8:45AM ET"
"3","BTC","Down","btc-updown-5m-1783168800","10703158254968919258785055019813940316515929172459374802250956969723948980319","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:39:30.0000000+00:00","2026-07-04 15:40:00","2026-07-04 15:45:00","2026-07-04 15:39:30","Bitcoin Up or Down - July 4, 8:40AM-8:45AM ET"
