"seq","market","asset","outcome","book_side","level","price","size","notional_usd","cumulative_size","cumulative_notional_usd","captured_at","due_local","slug","token"
"1","15:30-15:35","BTC","Down","Ask","1","0.53","394.49","209.0797","394.49","209.0797","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","2","0.54","620.47","335.0538","1014.96","544.1335","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","3","0.55","1130.65","621.8575","2145.61","1165.991","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","4","0.56","910.45","509.852","3056.06","1675.843","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","5","0.57","496","282.72","3552.06","1958.563","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","6","0.58","494.7","286.926","4046.76","2245.489","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","7","0.59","440.76","260.0484","4487.52","2505.5374","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","8","0.6","510.18","306.108","4997.7","2811.6454","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","9","0.61","467.99","285.4739","5465.69","3097.1193","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","10","0.62","355.84","220.6208","5821.53","3317.7401","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","11","0.63","760.24","478.9512","6581.77","3796.6913","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","12","0.64","842.59","539.2576","7424.36","4335.9489","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","13","0.65","1208.19","785.3235","8632.55","5121.2724","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","14","0.66","605.31","399.5046","9237.86","5520.777","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","15","0.67","810.58","543.0886","10048.44","6063.8656","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
"1","15:30-15:35","BTC","Down","Ask","16","0.68","691.14","469.9752","10739.58","6533.8408","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177"
