"seq","market","asset","outcome","captured_at","due_local","slug","token","best_ask","best_ask_size","best_ask_notional_usd","ask_levels","total_ask_size","total_ask_notional_usd","best_bid","best_bid_size","best_bid_notional_usd","bid_levels","total_bid_size","total_bid_notional_usd","error"
"1","15:30-15:35","BTC","Down","2026-07-04T15:29:30.0122092+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","42537886701742374256258287730738570471596470425410712741392971452798895104177","0.53","394.49","209.0797","47","60519.43","52660.9444","0.51","53.14","27.1014","51","63722.2","9417.7519",""
"1","15:30-15:35","BTC","Up","2026-07-04T15:29:30.3497768+03:00","2026-07-04 15:29:30","btc-updown-5m-1783168200","47057188792555668458927093519141698230404312238331222660755657729781521896657","0.49","53.14","26.0386","51","63722.2","54304.4481","0.47","375.62","176.5414","47","60500.56","7849.6167",""
"1","15:30-15:35","ETH","Down","2026-07-04T15:29:30.5807884+03:00","2026-07-04 15:29:30","eth-updown-5m-1783168200","111162798717997998772565766919518750708510451576340375468663957488644650541544","0.56","135.31","75.7736","44","34236.71","31717.6929","0.55","5","2.75","54","34825.55","2847.9116",""
"1","15:30-15:35","ETH","Up","2026-07-04T15:29:30.8051036+03:00","2026-07-04 15:29:30","eth-updown-5m-1783168200","11021358056880614941735444708971598829986019002372086567322114025048215262911","0.45","5","2.25","54","34825.55","31977.6384","0.44","135.31","59.5364","44","34236.71","2519.0171",""
"1","15:30-15:35","SOL","Down","2026-07-04T15:29:31.0238804+03:00","2026-07-04 15:29:30","sol-updown-5m-1783168200","22339917867367653993694218410852392531679371360168889811636890987471942979733","0.5","69.92","34.96","50","24251.14","23058.9687","0.49","48","23.52","49","24319.22","1229.1813",""
"1","15:30-15:35","SOL","Up","2026-07-04T15:29:31.3194288+03:00","2026-07-04 15:29:30","sol-updown-5m-1783168200","3539534301764577237718587614609322279169873470470113119997070653213544436115","0.51","48","24.48","49","24319.22","23090.0387","0.5","69.92","34.96","50","24251.14","1192.1713",""
"2","15:35-15:40","BTC","Down","2026-07-04T15:34:30.0242248+03:00","2026-07-04 15:34:30","btc-updown-5m-1783168500","9357540110369406108427336289907258900466472115958823057235096135358079111402","0.54","164.04","88.5816","46","60367.95","52533.235","0.53","5","2.65","53","63780.97","9670.1279",""
"2","15:35-15:40","BTC","Up","2026-07-04T15:34:31.5905435+03:00","2026-07-04 15:34:30","btc-updown-5m-1783168500","50189468093894605700587764741221506504526160353704003773924071907031658693950","0.48","77.81","37.3488","52","63652.97","54037.5421","0.46","164.04","75.4584","46","60255.95","7787.365",""
"2","15:35-15:40","ETH","Down","2026-07-04T15:34:31.9741222+03:00","2026-07-04 15:34:30","eth-updown-5m-1783168500","85501899996232535590898924752999595820741514949757606949996988198176173493492","0.56","199.64","111.7984","44","34790.33","32241.253","0.54","24.94","13.4676","54","36276.02","3335.522",""
"2","15:35-15:40","ETH","Up","2026-07-04T15:34:32.2875180+03:00","2026-07-04 15:34:30","eth-updown-5m-1783168500","89240876031890617033449772563001314724996464056439000749962373027271843726238","0.46","24.94","11.4724","54","36276.02","32940.498","0.44","199.64","87.8416","44","34790.33","2549.077",""
