local_hour_sofia,trades,wins,losses,win_rate_pct,pnl_usd,avg_pnl_per_trade,roi_pct,active_days,positive_days,negative_days,flat_days,avg_daily_hour_pnl,worst_daily_hour_pnl,best_daily_hour_pnl
00:00,1718,893,825,51.9790454,-4.16028462,-0.00242159,-0.0402973,178,85,93,0,-0.02337239,-48.99890769,49.46116154
01:00,1821,937,884,51.45524437,-114.63895385,-0.06295385,-1.04760698,181,90,91,0,-0.63336439,-48.99890769,43.45186154
02:00,1845,1005,840,54.47154472,526.96938462,0.28562026,4.75297061,182,99,83,0,2.89543618,-42.98960769,32.35776923
03:00,1743,924,819,53.01204819,203.85394615,0.11695579,1.94624652,179,86,93,0,1.13884886,-48.99890769,43.45186154
04:00,1710,870,840,50.87719298,-221.88184615,-0.12975547,-2.15924426,176,85,91,0,-1.26069231,-48.99890769,32.35776923
05:00,1679,876,803,52.17391304,33.74453077,0.02009799,0.33444816,181,88,93,0,0.18643387,-48.99890769,43.45186154
06:00,1702,911,791,53.52526439,300.00274615,0.17626483,2.93320076,178,92,86,0,1.68540869,-48.99890769,43.45186154
07:00,1721,894,827,51.94654271,-10.63183846,-0.00617771,-0.10280249,180,87,93,0,-0.05906577,-54.54595385,43.45186154
08:00,1758,908,850,51.64960182,-71.18709231,-0.04049323,-0.67384265,181,90,91,0,-0.39329885,-66.1023,31.89551538
09:00,1711,885,826,51.72413793,-54.54595385,-0.03187958,-0.53050398,177,84,93,0,-0.30816923,-48.99890769,43.45186154
10:00,1679,898,781,53.4842168,287.98414615,0.17152123,2.85426307,178,90,88,0,1.61788846,-30.97100769,43.91411538
11:00,1620,883,737,54.50617284,469.18765385,0.28962201,4.81956315,177,93,84,0,2.65077771,-37.44256154,37.90481538
12:00,1589,831,758,52.29704216,54.54595385,0.03432722,0.57123493,176,84,92,0,0.30992019,-37.44256154,43.45186154
13:00,1683,885,798,52.58467023,113.71444615,0.06756652,1.12436583,177,91,86,0,0.6424545,-37.44256154,43.45186154
14:00,1679,899,780,53.54377606,299.54049231,0.17840411,2.96880011,177,96,81,0,1.69231917,-37.44256154,33.28227692
15:00,1675,886,789,52.89552239,173.34519231,0.10348967,1.72215844,176,81,95,0,0.98491587,-37.44256154,55.00820769
16:00,1673,874,799,52.24148237,46.68763846,0.02790654,0.46438917,178,83,95,0,0.2622901,-48.99890769,37.90481538
17:00,1654,895,759,54.11124547,403.54760769,0.24398283,4.06008743,177,95,82,0,2.27992999,-48.99890769,43.91411538
18:00,1604,855,749,53.3042394,241.75876154,0.15072242,2.5081527,179,95,84,0,1.35060761,-48.99890769,37.90481538
19:00,1697,875,822,51.56157926,-85.97921538,-0.05066542,-0.84311681,181,80,101,0,-0.47502329,-48.99890769,43.45186154
20:00,1639,873,766,53.26418548,239.44749231,0.14609365,2.43112592,179,94,85,0,1.33769549,-37.44256154,43.45186154
21:00,1640,831,809,50.67073171,-251.92834615,-0.15361485,-2.55628518,178,80,98,0,-1.41532779,-48.99890769,31.89551538
22:00,1645,872,773,53.00911854,191.83534615,0.11661723,1.94061258,175,91,84,0,1.09620198,-37.44256154,43.45186154
23:00,1718,940,778,54.71478463,538.98798462,0.31372991,5.22073968,179,96,83,0,3.01110606,-48.99890769,55.00820769
