entry_utc,entry_local,market_start_utc,selected_window,selected_average,current_price,move_bps,start_price,close_price,winning_outcome,won,pnl_usd
2026-01-03T23:59:30.0000000+00:00,2026-01-04 01:59:30 +02:00,2026-01-04T00:00:00.0000000+00:00,45m,133.4886956,133.37,-8.89180925,133.36,133.67,Up,true,5.54704615
2026-01-04T00:19:30.0000000+00:00,2026-01-04 02:19:30 +02:00,2026-01-04T00:20:00.0000000+00:00,10m,134.48463333,134.24,-18.19043018,134.29,134.44,Up,true,5.54704615
2026-01-04T00:29:30.0000000+00:00,2026-01-04 02:29:30 +02:00,2026-01-04T00:30:00.0000000+00:00,20m,134.39237727,134.1,-21.75549526,133.97,134.32,Up,true,5.54704615
2026-01-04T00:34:30.0000000+00:00,2026-01-04 02:34:30 +02:00,2026-01-04T00:35:00.0000000+00:00,20m,134.29822879,134.17,-9.54806248,134.32,134.1,Down,false,-6.0093
2026-01-04T01:19:30.0000000+00:00,2026-01-04 03:19:30 +02:00,2026-01-04T01:20:00.0000000+00:00,20m,134.49579318,134.27,-16.78812225,134.16,134.03,Down,false,-6.0093
2026-01-04T01:24:30.0000000+00:00,2026-01-04 03:24:30 +02:00,2026-01-04T01:25:00.0000000+00:00,20m,134.41155682,134.14,-20.20338315,134.03,133.89,Down,false,-6.0093
2026-01-04T01:29:30.0000000+00:00,2026-01-04 03:29:30 +02:00,2026-01-04T01:30:00.0000000+00:00,45m,134.34919954,133.91,-32.69089347,133.89,133.88,Down,false,-6.0093
2026-01-04T01:34:30.0000000+00:00,2026-01-04 03:34:30 +02:00,2026-01-04T01:35:00.0000000+00:00,45m,134.30439259,133.89,-30.85473115,133.88,133.77,Down,false,-6.0093
2026-01-04T01:39:30.0000000+00:00,2026-01-04 03:39:30 +02:00,2026-01-04T01:40:00.0000000+00:00,90m,134.24697533,133.71,-39.99906346,133.77,133.7,Down,false,-6.0093
2026-01-04T01:44:30.0000000+00:00,2026-01-04 03:44:30 +02:00,2026-01-04T01:45:00.0000000+00:00,90m,134.20406475,133.63,-42.77551169,133.7,133.61,Down,false,-6.0093
2026-01-04T01:49:30.0000000+00:00,2026-01-04 03:49:30 +02:00,2026-01-04T01:50:00.0000000+00:00,90m,134.14732593,133.48,-49.74574941,133.61,133.82,Up,true,5.54704615
2026-01-04T01:54:30.0000000+00:00,2026-01-04 03:54:30 +02:00,2026-01-04T01:55:00.0000000+00:00,90m,134.1183509,133.75,-27.46461566,133.82,133.97,Up,true,5.54704615
2026-01-04T01:59:30.0000000+00:00,2026-01-04 03:59:30 +02:00,2026-01-04T02:00:00.0000000+00:00,90m,134.1038993,133.94,-12.22181477,133.97,133.94,Down,false,-6.0093
2026-01-04T02:04:30.0000000+00:00,2026-01-04 04:04:30 +02:00,2026-01-04T02:05:00.0000000+00:00,90m,134.08723333,133.86,-16.94667924,133.94,133.85,Down,false,-6.0093
2026-01-04T02:09:30.0000000+00:00,2026-01-04 04:09:30 +02:00,2026-01-04T02:10:00.0000000+00:00,90m,134.06882091,133.76,-23.03450615,133.85,133.68,Down,false,-6.0093
2026-01-04T02:14:30.0000000+00:00,2026-01-04 04:14:30 +02:00,2026-01-04T02:15:00.0000000+00:00,90m,134.05351393,133.69,-27.11707614,133.68,133.84,Up,true,5.54704615
2026-01-04T02:19:30.0000000+00:00,2026-01-04 04:19:30 +02:00,2026-01-04T02:20:00.0000000+00:00,90m,134.02762593,133.77,-19.22185252,133.84,133.83,Down,false,-6.0093
2026-01-04T02:24:30.0000000+00:00,2026-01-04 04:24:30 +02:00,2026-01-04T02:25:00.0000000+00:00,90m,134.00386087,133.87,-9.98932951,133.83,133.93,Up,true,5.54704615
